"raceId","year","round","positionDisplayOrder","positionNumber","positionText","constructorId","engineManufacturerId","points","positionsGained","championshipWon"
65,1958,1,1,1,"1","cooper","climax",8,,false
65,1958,1,2,2,"2","ferrari","ferrari",6,,false
65,1958,1,3,3,"3","maserati","maserati",3,,false
66,1958,2,1,1,"1","cooper","climax",16,0,false
66,1958,2,2,2,"2","ferrari","ferrari",12,0,false
66,1958,2,3,3,"3","maserati","maserati",3,0,false
66,1958,2,4,4,"4","brm","brm",2,0,false
67,1958,3,1,1,"1","cooper","climax",19,0,false
67,1958,3,2,2,"2","ferrari","ferrari",14,0,false
67,1958,3,3,3,"3","vanwall","vanwall",8,2,false
67,1958,3,4,4,"4","brm","brm",8,0,false
67,1958,3,5,5,"5","maserati","maserati",3,-2,false
68,1958,4,1,1,"1","cooper","climax",19,0,false
68,1958,4,2,2,"2","ferrari","ferrari",14,0,false
68,1958,4,3,3,"3","vanwall","vanwall",8,0,false
68,1958,4,4,4,"4","brm","brm",8,0,false
68,1958,4,5,5,"5","maserati","maserati",3,0,false
69,1958,5,1,1,"1","ferrari","ferrari",20,1,false
69,1958,5,2,2,"2","cooper","climax",19,-1,false
69,1958,5,3,3,"3","vanwall","vanwall",16,0,false
69,1958,5,4,4,"4","brm","brm",10,0,false
69,1958,5,5,5,"5","maserati","maserati",3,0,false
69,1958,5,6,6,"6","lotus","climax",3,0,false
70,1958,6,1,1,"1","ferrari","ferrari",28,0,false
70,1958,6,2,2,"2","vanwall","vanwall",22,1,false
70,1958,6,3,3,"3","cooper","climax",19,-1,false
70,1958,6,4,4,"4","brm","brm",10,0,false
70,1958,6,5,5,"5","maserati","maserati",6,0,false
70,1958,6,6,6,"6","lotus","climax",3,0,false
71,1958,7,1,1,"1","ferrari","ferrari",36,0,false
71,1958,7,2,2,"2","vanwall","vanwall",25,0,false
71,1958,7,3,3,"3","cooper","climax",23,0,false
71,1958,7,4,4,"4","brm","brm",12,0,false
71,1958,7,5,5,"5","maserati","maserati",6,0,false
71,1958,7,6,6,"6","lotus","climax",3,0,false
72,1958,8,1,1,"1","ferrari","ferrari",37,0,false
72,1958,8,2,2,"2","vanwall","vanwall",33,0,false
72,1958,8,3,3,"3","cooper","climax",29,0,false
72,1958,8,4,4,"4","brm","brm",12,0,false
72,1958,8,5,5,"5","maserati","maserati",6,0,false
72,1958,8,6,6,"6","lotus","climax",3,0,false
73,1958,9,1,1,"1","vanwall","vanwall",41,1,false
73,1958,9,2,2,"2","ferrari","ferrari",40,-1,false
73,1958,9,3,3,"3","cooper","climax",29,0,false
73,1958,9,4,4,"4","brm","brm",15,0,false
73,1958,9,5,5,"5","maserati","maserati",6,0,false
73,1958,9,6,6,"6","lotus","climax",3,0,false
74,1958,10,1,1,"1","vanwall","vanwall",46,0,true
74,1958,10,2,2,"2","ferrari","ferrari",40,0,false
74,1958,10,3,3,"3","cooper","climax",31,0,false
74,1958,10,4,4,"4","brm","brm",15,0,false
74,1958,10,5,5,"5","maserati","maserati",6,0,false
74,1958,10,6,6,"6","lotus","climax",3,0,false
75,1958,11,1,1,"1","vanwall","vanwall",48,0,true
75,1958,11,2,2,"2","ferrari","ferrari",40,0,false
75,1958,11,3,3,"3","cooper","climax",31,0,false
75,1958,11,4,4,"4","brm","brm",18,0,false
75,1958,11,5,5,"5","maserati","maserati",6,0,false
75,1958,11,6,6,"6","lotus","climax",3,0,false
76,1959,1,1,1,"1","cooper","climax",8,,false
76,1959,1,2,2,"2","ferrari","ferrari",6,,false
77,1959,2,1,1,"1","cooper","climax",8,0,false
77,1959,2,2,2,"2","ferrari","ferrari",6,0,false
78,1959,3,1,1,"1","cooper","climax",14,0,false
78,1959,3,2,2,"2","brm","brm",8,1,false
78,1959,3,3,3,"3","ferrari","ferrari",8,-1,false
78,1959,3,4,4,"4","lotus","climax",3,-1,false
79,1959,4,1,1,"1","cooper","climax",18,0,false
79,1959,4,2,2,"2","ferrari","ferrari",16,1,false
79,1959,4,3,3,"3","brm","brm",8,-1,false
79,1959,4,4,4,"4","lotus","climax",3,0,false
80,1959,5,1,1,"1","cooper","climax",26,0,false
80,1959,5,2,2,"2","ferrari","ferrari",16,0,false
80,1959,5,3,3,"3","brm","brm",14,0,false
80,1959,5,4,4,"4","lotus","climax",3,0,false
81,1959,6,1,1,"1","cooper","climax",29,0,false
81,1959,6,2,2,"2","ferrari","ferrari",24,0,false
81,1959,6,3,3,"3","brm","brm",16,0,false
81,1959,6,4,4,"4","lotus","climax",3,0,false
