"year","positionDisplayOrder","positionNumber","positionText","constructorId","engineManufacturerId","points","championshipWon"
1958,1,1,"1","vanwall","vanwall",48,true
1958,2,2,"2","ferrari","ferrari",40,false
1958,3,3,"3","cooper","climax",31,false
1958,4,4,"4","brm","brm",18,false
1958,5,5,"5","maserati","maserati",6,false
1958,6,6,"6","lotus","climax",3,false
1959,1,1,"1","cooper","climax",40,true
1959,2,2,"2","ferrari","ferrari",32,false
1959,3,3,"3","brm","brm",18,false
1959,4,4,"4","lotus","climax",5,false
1960,1,1,"1","cooper","climax",48,true
1960,2,2,"2","lotus","climax",34,false
1960,3,3,"3","ferrari","ferrari",26,false
1960,4,4,"4","brm","brm",8,false
1960,5,5,"5","cooper","maserati",3,false
1960,6,5,"5","cooper","castellotti",3,false
1960,7,7,"7","porsche","porsche",1,false
1961,1,1,"1","ferrari","ferrari",40,true
1961,2,2,"2","lotus","climax",32,false
1961,3,3,"3","porsche","porsche",22,false
1961,4,4,"4","cooper","climax",14,false
1961,5,5,"5","brm","climax",7,false
1962,1,1,"1","brm","brm",42,true
1962,2,2,"2","lotus","climax",36,false
1962,3,3,"3","cooper","climax",29,false
1962,4,4,"4","lola","climax",19,false
1962,5,5,"5","porsche","porsche",18,false
1962,6,6,"6","ferrari","ferrari",18,false
1962,7,7,"7","brabham","climax",6,false
1962,8,8,"8","lotus","brm",1,false
1963,1,1,"1","lotus","climax",54,true
1963,2,2,"2","brm","brm",36,false
1963,3,3,"3","brabham","climax",28,false
1963,4,4,"4","ferrari","ferrari",26,false
1963,5,5,"5","cooper","climax",25,false
1963,6,6,"6","brp","brm",6,false
1963,7,7,"7","porsche","porsche",5,false
1963,8,8,"8","lotus","brm",4,false
1964,1,1,"1","ferrari","ferrari",45,true
1964,2,2,"2","brm","brm",42,false
1964,3,3,"3","lotus","climax",37,false
1964,4,4,"4","brabham","climax",30,false
1964,5,5,"5","cooper","climax",16,false
1964,6,6,"6","brabham","brm",7,false
1964,7,7,"7","brp","brm",5,false
1964,8,8,"8","lotus","brm",3,false
1965,1,1,"1","lotus","climax",54,true
1965,2,2,"2","brm","brm",45,false
1965,3,3,"3","brabham","climax",27,false
1965,4,4,"4","ferrari","ferrari",26,false
1965,5,5,"5","cooper","climax",14,false
1965,6,6,"6","honda","honda",11,false
1965,7,7,"7","brabham","brm",5,false
1965,8,8,"8","lotus","brm",2,false
1966,1,1,"1","brabham","repco",42,true
1966,2,2,"2","ferrari","ferrari",31,false
1966,3,3,"3","cooper","maserati",30,false
1966,4,4,"4","brm","brm",22,false
1966,5,5,"5","lotus","brm",13,false
1966,6,6,"6","lotus","climax",8,false
1966,7,7,"7","eagle","climax",4,false
1966,8,8,"8","honda","honda",3,false
1966,9,9,"9","mclaren","ford",2,false
1966,10,10,"10","brabham","brm",1,false
1966,11,10,"10","mclaren","serenissima",1,false
1966,12,10,"10","brabham","climax",1,false
1967,1,1,"1","brabham","repco",63,true
1967,2,2,"2","lotus","ford",44,false
1967,3,3,"3","cooper","maserati",28,false
1967,4,4,"4","honda","honda",20,false
1967,5,5,"5","ferrari","ferrari",20,false
1967,6,6,"6","brm","brm",17,false
1967,7,7,"7","eagle","weslake",13,false
1967,8,8,"8","cooper","climax",6,false
1967,9,8,"8","lotus","brm",6,false
1967,10,10,"10","mclaren","brm",3,false
1967,11,11,"11","brabham","climax",2,false
1968,1,1,"1","lotus","ford",62,true
1968,2,2,"2","mclaren","ford",49,false
1968,3,3,"3","matra","ford",45,false
1968,4,4,"4","ferrari","ferrari",32,false
1968,5,5,"5","brm","brm",28,false
1968,6,6,"6","honda","honda",14,false
1968,7,7,"7","cooper","brm",14,false
1968,8,8,"8","brabham","repco",10,false
1968,9,9,"9","matra","matra",8,false
1968,10,10,"10","mclaren","brm",3,false
1969,1,1,"1","matra","ford",66,true
1969,2,2,"2","brabham","ford",49,false
1969,3,3,"3","lotus","ford",47,false
1969,4,4,"4","mclaren","ford",38,false
1969,5,5,"5","ferrari","ferrari",7,false
1969,6,5,"5","brm","brm",7,false
1970,1,1,"1","lotus","ford",59,true
1970,2,2,"2","ferrari","ferrari",52,false
1970,3,3,"3","march","ford",48,false
1970,4,4,"4","brabham","ford",35,false
1970,5,5,"5","mclaren","ford",35,false
1970,6,6,"6","brm","brm",23,false
1970,7,7,"7","matra","matra",23,false
1970,8,8,"8","surtees","ford",3,false
1971,1,1,"1","tyrrell","ford",73,true
1971,2,2,"2","brm","brm",36,false
1971,3,3,"3","ferrari","ferrari",33,false
1971,4,4,"4","march","ford",33,false
1971,5,5,"5","lotus","ford",21,false
1971,6,6,"6","mclaren","ford",10,false
1971,7,7,"7","matra","matra",9,false
1971,8,8,"8","surtees","ford",8,false
1971,9,9,"9","brabham","ford",5,false
1972,1,1,"1","lotus","ford",61,true
1972,2,2,"2","tyrrell","ford",51,false
1972,3,3,"3","mclaren","ford",47,false
1972,4,4,"4","ferrari","ferrari",33,false
1972,5,5,"5","surtees","ford",18,false
1972,6,6,"6","march","ford",15,false
1972,7,7,"7","brm","brm",14,false
1972,8,8,"8","matra","matra",12,false
1972,9,9,"9","brabham","ford",7,false
1973,1,1,"1","lotus","ford",92,true
1973,2,2,"2","tyrrell","ford",82,false
1973,3,3,"3","mclaren","ford",58,false
1973,4,4,"4","brabham","ford",22,false
1973,5,5,"5","march","ford",14,false
1973,6,6,"6","ferrari","ferrari",12,false
1973,7,7,"7","brm","brm",12,false
1973,8,8,"8","shadow","ford",9,false
1973,9,9,"9","surtees","ford",7,false
1973,10,10,"10","iso-marlboro","ford",2,false
1973,11,11,"11","tecno","tecno",1,false
1974,1,1,"1","mclaren","ford",73,true
1974,2,2,"2","ferrari","ferrari",65,false
1974,3,3,"3","tyrrell","ford",52,false
1974,4,4,"4","lotus","ford",42,false
1974,5,5,"5","brabham","ford",35,false
1974,6,6,"6","hesketh","ford",15,false
1974,7,7,"7","brm","brm",10,false
1974,8,8,"8","shadow","ford",7,false
1974,9,9,"9","march","ford",6,false
1974,10,10,"10","iso-marlboro","ford",4,false
1974,11,11,"11","surtees","ford",3,false
1974,12,12,"12","lola","ford",1,false
1975,1,1,"1","ferrari","ferrari",72.5,true
1975,2,2,"2","brabham","ford",54,false
1975,3,3,"3","mclaren","ford",53,false
1975,4,4,"4","hesketh","ford",33,false
1975,5,5,"5","tyrrell","ford",25,false
1975,6,6,"6","shadow","ford",9.5,false
1975,7,7,"7","lotus","ford",9,false
1975,8,8,"8","march","ford",7.5,false
1975,9,9,"9","frank-williams-racing-cars","ford",6,false
1975,10,10,"10","parnelli","ford",5,false
1975,11,11,"11","hill","ford",3,false
1975,12,12,"12","penske","ford",2,false
1975,13,13,"13","ensign","ford",1,false
1976,1,1,"1","ferrari","ferrari",83,true
1976,2,2,"2","mclaren","ford",74,false
1976,3,3,"3","tyrrell","ford",71,false
1976,4,4,"4","lotus","ford",29,false
1976,5,5,"5","penske","ford",20,false
1976,6,6,"6","ligier","matra",20,false
1976,7,7,"7","march","ford",19,false
1976,8,8,"8","shadow","ford",10,false
1976,9,9,"9","brabham","alfa-romeo",9,false
1976,10,10,"10","surtees","ford",7,false
1976,11,11,"11","fittipaldi","ford",3,false
1976,12,12,"12","ensign","ford",2,false
1976,13,13,"13","parnelli","ford",1,false
1977,1,1,"1","ferrari","ferrari",95,true
1977,2,2,"2","lotus","ford",62,false
1977,3,3,"3","mclaren","ford",60,false
1977,4,4,"4","wolf","ford",55,false
1977,5,5,"5","brabham","alfa-romeo",27,false
1977,6,6,"6","tyrrell","ford",27,false
1977,7,7,"7","shadow","ford",23,false
1977,8,8,"8","ligier","matra",18,false
1977,9,9,"9","fittipaldi","ford",11,false
1977,10,10,"10","ensign","ford",10,false
1977,11,11,"11","surtees","ford",6,false
1977,12,12,"12","penske","ford",1,false
1978,1,1,"1","lotus","ford",86,true
1978,2,2,"2","ferrari","ferrari",58,false
1978,3,3,"3","brabham","alfa-romeo",53,false
1978,4,4,"4","tyrrell","ford",38,false
1978,5,5,"5","wolf","ford",24,false
1978,6,6,"6","ligier","matra",19,false
1978,7,7,"7","fittipaldi","ford",17,false
1978,8,8,"8","mclaren","ford",15,false
1978,9,9,"9","williams","ford",11,false
1978,10,10,"10","arrows","ford",11,false
1978,11,11,"11","shadow","ford",6,false
1978,12,12,"12","renault","renault",3,false
1978,13,13,"13","surtees","ford",1,false
1978,14,13,"13","ensign","ford",1,false
1979,1,1,"1","ferrari","ferrari",113,true
