id,name,abbreviation,countryCode
art-grand-prix,ART Grand Prix,ART,de
campos-racing,Campos Racing,CAMP,es
dams,DAMS,DAM,fr
mp-motorsport,MP Motorsport,MPMO,nl
arden-international,Pertamina Arden,ARD,gb
prema-racing,Prema Racing,PREM,it
racing-engineering,Racing Engineering,RANE,es
rapax,Rapax,RAPA,it
russian-time,RUSSIAN TIME,RUST,ru
trident-motorsport,Trident,TRID,it
carlin,Carlin,CARL,gb
charouz-racing-system,Charouz Racing System,CHAR,cz
sauber-junior-team-by-charouz,Sauber Junior Team by Charouz,,ch
virtuosi-racing,UNI-Virtuosi,,gb
hwa,BWT HWA RACELAB,HWA,de
hitech-racing,Hitech Grand Prix,HITEC,gb
van-amersfoort-racing,Van Amersfoort Racing,VANAM,nl
invicta-racing,Invicta Racing,,gb
phm-racing,PHM AIX Racing,,de
rodin-motorsport,Rodin Motorsport,,nz
