id,name,firstName,lastName,abbreviation,countryCode
raffaele-marciello,Raffaele Marciello,Raffaele,Marciello,MARR,ch
nobuharu-matsushita,Nobuharu Matsushita,,,MATN,jp
alexander-albon,Alexander Albon,,,ALBA,th
ralph-boschung,Ralph Boschung,,,BOSR,ch
stefano-coletti,Stefano Coletti,,,COLS,mc
oliver-rowland,Oliver Rowland,,,ROW,gb
nicholas-latifi,Nicholas Latifi,,,LATN,ca
sergio-sette-camara,Sérgio Sette Câmara,,,CAMS,br
jordan-king,Jordan King,,,KIN,gb
norman-nato,Norman Nato,,,NATN,fr
sean-gelael,Sean Gelael,,,GEL,id
charles-leclerc,Charles Leclerc,,,LEC,mc
antonio-fuoco,Antonio Fuoco,,,FUO,it
louis-deletraz,Louis Delétraz,,,DELL,ch
gustav-malja,Gustav Malja,,,MALG,se
nyck-de-vries,Nyck de Vries,,,NDV,nl
johnny-cecotto-jr,Johnny Cecotto Jr.,,,CECJ,ve
luca-ghiotto,Luca Ghiotto,,,GHIL,it
artem-markelov,Artem Markelov,,,MARA,ru
nabil-jeffri,Nabil Jeffri,,,JEFN,my
sergio-canamasas,Sergio Canamasas,,,CANS,es
roberto-merhi,Roberto Merhi,,,MER,es
robert-visoiu,Robert Vișoiu,,,VISR,ro
sergey-sirotkin,Sergey Sirotkin,,,SIR,ru
alex-palou,Alex Palou,,,PALA,es
rene-binder,René Binder,,,BINR,at
lando-norris,Lando Norris,,,NORL,gb
santino-ferrucci,Santino Ferrucci,,,FERS,us
callum-ilott,Callum Ilott,,,ILO,gb
jack-aitken,Jack Aitken,,,AITJ,gb
george-russell,George Russell,,,RUSG,gb
maximilian-gunther,Maximilian Günther,,,GUNM,de
nirei-fukuzumi,Nirei Fukuzumi,,,FUKN,jp
roy-nissany,Roy Nissany,,,NISR,il
tadasuke-makino,Tadasuke Makino,,,MAKT,jp
arjun-maini,Arjun Maini,,,MAIA,in
alessio-lorandi,Alessio Lorandi,,,LORA,it
dorian-boccolacci,Dorian Boccolacci,,,BOCD,fr
niko-kari,Niko Kari,,,KARN,fi
daniel-ticktum,Daniel Ticktum,,,TICD,gb
nikita-mazepin,Nikita Mazepin,,,MAZN,ru
tatiana-calderon,Tatiana Calderón,,,CALT,co
anthoine-hubert,Anthoine Hubert,,,HUBA,fr
mahaveer-raghunathan,Mahaveer Raghunathan,,,RAGH,in
mick-schumacher,Mick Schumacher,,,MSC,de
juan-manuel-correa,Juan Manuel Correa,,,COR,us
giuliano-alesi,Giuliano Alesi,,,ALEG,fr
zhou-guanyu,Zhou Guanyu,,,ZHOU,cn
pato-o-ward,Pato O'Ward,,,OWA,mx
ryan-tveter,Ryan Tveter,,,TVER,us
marino-sato,Marino Sato,,,SATM,jp
matevos-isaakyan,Matevos Isaakyan,,,ISAM,ru
christian-lundgaard,Christian Lundgaard,,,LUND,dk
marcus-armstrong,Marcus Armstrong,,,ARMM,nz
guilherme-samaia,Guilherme Samaia,,,SAMG,br
yuki-tsunoda,Yuki Tsunoda,,,TSU,jp
jehan-daruvala,Jehan Daruvala,,,DARJ,in
pedro-piquet,Pedro Piquet,,,PIQU,br
felipe-drugovich,Felipe Drugovich,,,DRUF,br
robert-shwartzman,Robert Shwartzman,,,SHWR,il
juri-vips,Jüri Vips,,,VIPS,ee
jake-hughes,Jake Hughes,,,HUGJ,gb
theo-pourchaire,Théo Pourchaire,,,POU,fr
gianluca-petecof,Gianluca Petecof,,,PETE,br
david-beckmann,David Beckmann,,,BECD,de
liam-lawson,Liam Lawson,,,LAW,nz
matteo-nannini,Matteo Nannini,,,NAN,it
alessio-deledda,Alessio Deledda,,,DELE,it
richard-verschoor,Richard Verschoor,,,VERR,nl
lirim-zendeli,Lirim Zendeli,,,ZEND,de
oscar-piastri,Oscar Piastri,,,PIAO,au
bent-viscaal,Bent Viscaal,,,VIS,nl
enzo-fittipaldi,Enzo Fittipaldi,,,FITT,br
oliver-olli-caldwell,Oliver Olli Caldwell,,,CAL,gb
logan-sargeant,Logan Sargeant,,,SARL,us
jack-doohan,Jack Doohan,,,DOO,au
clement-novalak,Clément Novalak,,,NOV,gb
frederik-vesti,Frederik Vesti,,,VEST,dk
cem-bolukbasi,Cem Bölükbasi,,,BOL,tr
ayumu-iwasa,Ayumu Iwasa,,,IWAS,jp
dennis-hauger,Dennis Hauger,,,HAU,no
calan-williams,Calan Williams,,,WLCA,au
amaury-cordeel,Amaury Cordeel,,,COR,be
zane-maloney,Zane Maloney,,,MAL,bb
victor-martins,Victor Martins,,,MARV,fr
kush-maini,Kush Maini,,,MAIK,in
arthur-leclerc,Arthur Leclerc,,,LEC,mc
jak-crawford,Jak Crawford,,,CRA,us
isack-hadjar,Isack Hadjar,,,HADJ,fr
brad-benavides,Brad Benavides,,,BENA,gt
oliver-bearman,Oliver Bearman,,,BEA,gb
roman-stanek,Roman Stanek,,,STA,cz
josh-mason,Josh Mason,,,MASJ,gb
franco-colapinto,Franco Colapinto,,,COL,ar
paul-aron,Paul Aron,,,ARO,ee
zak-o-sullivan,Zak O'Sullivan,,,OSUL,gb
pepe-marti,Pepe Martí,,,MART,es
gabriel-bortoleto,Gabriel Bortoleto,,,BOR,br
joshua-durksen,Joshua Dürksen,,,DÜR,py
taylor-barnard,Taylor Barnard,,,BAR,gb
andrea-kimi-antonelli,Andrea Kimi Antonelli,,,ANT,it
ritomo-miyata,Ritomo Miyata,,,MIY,jp
oliver-goethe,Oliver Goethe,,,OGO,dk
niels-koolen,Niels Koolen,,,KOOL,nl
luke-browning,Luke Browning,,,BRO,gb
gabriele-mini,Gabriele Minì,,,MIN,it
christian-mansell,Christian Mansell,,,CMA,au
dino-beganovic,Dino Beganovic,,,BEG,se
cian-shields,Cian Shields,,,SHIE,gb
