raceId,year,round,driverNumber,driverId,constructorId,chassisId,engineId
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,17,raffaele-marciello,trident-motorsport,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,7,nobuharu-matsushita,art-grand-prix,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,8,alexander-albon,art-grand-prix,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,11,ralph-boschung,campos-racing,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,12,stefano-coletti,campos-racing,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,9,oliver-rowland,dams,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,10,nicholas-latifi,dams,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,14,sergio-sette-camara,mp-motorsport,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,15,jordan-king,mp-motorsport,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,20,norman-nato,arden-international,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,21,sean-gelael,arden-international,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,1,charles-leclerc,prema-racing,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,2,antonio-fuoco,prema-racing,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,3,louis-deletraz,racing-engineering,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,4,gustav-malja,racing-engineering,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,18,nyck-de-vries,rapax,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,19,johnny-cecotto-jr,rapax,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,5,luca-ghiotto,russian-time,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,6,artem-markelov,russian-time,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,16,nabil-jeffri,trident-motorsport,Dallara GP2-11,Renault GP2
25792d4f-6576-45d8-be25-3cf181c12586,2017,1,17,sergio-canamasas,trident-motorsport,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,,,,,
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,7,nobuharu-matsushita,art-grand-prix,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,8,alexander-albon,art-grand-prix,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,11,ralph-boschung,campos-racing,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,12,roberto-merhi,campos-racing,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,9,oliver-rowland,dams,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,10,nicholas-latifi,dams,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,14,sergio-sette-camara,mp-motorsport,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,15,jordan-king,mp-motorsport,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,20,norman-nato,arden-international,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,21,sean-gelael,arden-international,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,1,charles-leclerc,prema-racing,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,2,antonio-fuoco,prema-racing,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,3,louis-deletraz,racing-engineering,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,4,gustav-malja,racing-engineering,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,18,nyck-de-vries,rapax,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,19,johnny-cecotto-jr,rapax,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,5,luca-ghiotto,russian-time,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,6,artem-markelov,russian-time,Dallara GP2-11,Renault GP2
5d86d520-0d33-42f8-8cd5-81cf37482ee8,2017,2,16,nabil-jeffri,trident-motorsport,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,,,,,
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,7,nobuharu-matsushita,art-grand-prix,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,8,alexander-albon,art-grand-prix,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,11,ralph-boschung,campos-racing,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,12,robert-visoiu,campos-racing,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,9,oliver-rowland,dams,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,10,nicholas-latifi,dams,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,14,sergio-sette-camara,mp-motorsport,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,15,jordan-king,mp-motorsport,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,20,norman-nato,arden-international,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,21,sean-gelael,arden-international,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,1,charles-leclerc,prema-racing,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,2,antonio-fuoco,prema-racing,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,3,louis-deletraz,racing-engineering,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,4,gustav-malja,racing-engineering,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,18,nyck-de-vries,rapax,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,19,johnny-cecotto-jr,rapax,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,5,luca-ghiotto,russian-time,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,6,artem-markelov,russian-time,Dallara GP2-11,Renault GP2
667442c8-3b27-40ab-8b98-f24ac60236a2,2017,3,16,nabil-jeffri,trident-motorsport,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,7,nobuharu-matsushita,art-grand-prix,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,8,sergey-sirotkin,art-grand-prix,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,11,ralph-boschung,campos-racing,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,12,robert-visoiu,campos-racing,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,9,oliver-rowland,dams,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,10,nicholas-latifi,dams,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,14,sergio-sette-camara,mp-motorsport,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,15,jordan-king,mp-motorsport,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,20,norman-nato,arden-international,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,21,sean-gelael,arden-international,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,1,charles-leclerc,prema-racing,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,2,antonio-fuoco,prema-racing,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,3,louis-deletraz,racing-engineering,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,4,gustav-malja,racing-engineering,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,18,nyck-de-vries,rapax,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,19,johnny-cecotto-jr,rapax,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,5,luca-ghiotto,russian-time,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,6,artem-markelov,russian-time,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,16,nabil-jeffri,trident-motorsport,Dallara GP2-11,Renault GP2
811656dd-1804-4e03-b214-d3c2d19cda3d,2017,4,17,sergio-canamasas,trident-motorsport,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,,,,,
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,7,nobuharu-matsushita,art-grand-prix,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,8,alexander-albon,art-grand-prix,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,11,ralph-boschung,campos-racing,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,12,robert-visoiu,campos-racing,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,9,oliver-rowland,dams,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,10,nicholas-latifi,dams,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,14,sergio-sette-camara,mp-motorsport,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,15,jordan-king,mp-motorsport,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,20,norman-nato,arden-international,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,21,sean-gelael,arden-international,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,1,charles-leclerc,prema-racing,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,2,antonio-fuoco,prema-racing,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,3,louis-deletraz,racing-engineering,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,4,gustav-malja,racing-engineering,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,18,nyck-de-vries,rapax,Dallara GP2-11,Renault GP2
17a5fb15-57a3-4e5f-81c2-2a8b2d80c9a6,2017,5,19,sergio-canamasas,rapax,Dallara GP2-11,Renault GP2
