year,positionNumber,constructorId,points,championshipWon
2017,1,russian-time,395,True
2017,2,prema-racing,380,False
2017,3,dams,369,False
2017,4,art-grand-prix,226,False
2017,5,rapax,137,False
2017,6,mp-motorsport,109,False
2017,7,arden-international,108,False
2017,8,racing-engineering,87,False
2017,9,campos-racing,17,False
2017,10,trident-motorsport,9,False
2018,1,carlin,383,True
2018,2,art-grand-prix,350,False
2018,3,dams,303,False
2018,4,russian-time,234,False
2018,5,prema-racing,231,False
2018,6,charouz-racing-system,215,False
2018,7,campos-racing,132,False
2018,8,mp-motorsport,61,False
2018,9,arden-international,58,False
2018,10,trident-motorsport,37,False
2019,1,dams,418,True
2019,2,virtuosi-racing,347,False
2019,3,art-grand-prix,277,False
2019,4,carlin,236,False
2019,5,campos-racing,189,False
2019,6,sauber-junior-team-by-charouz,110,False
2019,7,mp-motorsport,96,False
2019,8,arden-international,77,False
2019,9,prema-racing,68,False
2019,10,trident-motorsport,23,False
2020,1,prema-racing,392,True
2020,2,virtuosi-racing,352.5,False
2020,3,carlin,272,False
2020,4,hitech-racing,270,False
2020,5,art-grand-prix,201,False
2020,6,mp-motorsport,167,False
2020,7,charouz-racing-system,137,False
2020,8,dams,115.5,False
2020,9,campos-racing,48,False
2020,10,hwa,13,False
2020,11,trident-motorsport,6,False
2021,1,prema-racing,444.5,True
2021,2,virtuosi-racing,288,False
2021,3,carlin,272.5,False
2021,4,hitech-racing,223,False
2021,5,art-grand-prix,190,False
2021,6,mp-motorsport,75,False
2021,7,campos-racing,66.5,False
2021,8,dams,65,False
2021,9,trident-motorsport,35,False
2021,10,charouz-racing-system,28,False
2021,11,hwa,9,False
2022,1,mp-motorsport,305,True
2022,2,carlin,297,False
2022,3,art-grand-prix,281,False
2022,4,prema-racing,241,False
2022,5,hitech-racing,207,False
2022,6,dams,161,False
2022,7,virtuosi-racing,134,False
2022,8,charouz-racing-system,130,False
2022,9,trident-motorsport,108,False
2022,10,van-amersfoort-racing,73,False
2022,11,campos-racing,67,False
2023,1,art-grand-prix,353,True
2023,2,prema-racing,322,False
2023,3,carlin,220,False
2023,4,dams,214,False
2023,5,virtuosi-racing,176,False
2023,6,mp-motorsport,172,False
2023,7,van-amersfoort-racing,121,False
2023,8,hitech-racing,112,False
2023,9,campos-racing,99,False
2023,10,trident-motorsport,43,False
2023,11,charouz-racing-system,0,False
2024,1,invicta-racing,288.5,True
2024,2,campos-racing,254,False
2024,3,mp-motorsport,220.5,False
2024,4,hitech-racing,202,False
2024,5,prema-racing,194,False
2024,6,dams,178,False
2024,7,art-grand-prix,173,False
2024,8,rodin-motorsport,171,False
2024,9,phm-racing,105,False
2024,10,trident-motorsport,105,False
2024,11,van-amersfoort-racing,78,False
2025,1,invicta-racing,316,True
2025,2,hitech-racing,278,False
2025,3,campos-racing,258,False
2025,4,dams,207,False
2025,5,mp-motorsport,207,False
2025,6,prema-racing,163,False
2025,7,rodin-motorsport,155,False
2025,8,art-grand-prix,127,False
2025,9,phm-racing,107,False
2025,10,van-amersfoort-racing,44,False
2025,11,trident-motorsport,2,False
2026,1,campos-racing,56,False
2026,2,invicta-racing,50,False
2026,3,mp-motorsport,46,False
2026,4,hitech-racing,32,False
2026,5,trident-motorsport,26,False
2026,6,art-grand-prix,25,False
2026,7,dams,22,False
2026,8,rodin-motorsport,16,False
2026,9,prema-racing,10,False
2026,10,van-amersfoort-racing,5,False
2026,11,phm-racing,0,False
