year,positionNumber,driverId,constructorId,points,championshipWon,starts,wins,podiums,poles,fastestLaps,retirements
2017,1,charles-leclerc,prema-racing,282,True,22,7,10,8,5,3
2017,2,artem-markelov,russian-time,210,False,22,5,7,3,3,1
2017,3,oliver-rowland,dams,191,False,22,2,10,1,1,2
2017,4,luca-ghiotto,russian-time,185,False,22,1,7,0,0,0
2017,5,nicholas-latifi,dams,178,False,21,1,9,1,2,1
2017,6,nobuharu-matsushita,art-grand-prix,131,False,22,2,4,2,2,1
2017,7,nyck-de-vries,rapax,114,False,13,1,4,0,0,2
2017,8,antonio-fuoco,prema-racing,98,False,22,1,5,0,1,3
2017,9,norman-nato,arden-international,91,False,22,1,3,1,0,4
2017,10,alexander-albon,art-grand-prix,86,False,20,0,2,1,1,0
2017,11,jordan-king,mp-motorsport,62,False,22,0,0,1,3,4
2017,12,sergio-sette-camara,mp-motorsport,47,False,,,,,,
2017,13,gustav-malja,racing-engineering,44,False,22,0,1,1,0,1
2017,14,sergio-canamasas,trident-motorsport,21,False,,,,,,
2017,15,sean-gelael,arden-international,17,False,,,,,,
2017,16,johnny-cecotto-jr,rapax,16,False,8,0,1,1,0,1
2017,17,louis-deletraz,racing-engineering,16,False,14,0,0,0,0,1
2017,18,roberto-merhi,campos-racing,16,False,,,,,,
2017,19,ralph-boschung,campos-racing,11,False,,,,,,
2017,20,sergey-sirotkin,art-grand-prix,9,False,,,,,,
2017,21,alex-palou,campos-racing,5,False,4,0,0,1,0,0
2017,22,santino-ferrucci,trident-motorsport,4,False,,,,,,
2017,23,nabil-jeffri,trident-motorsport,2,False,22,0,0,0,0,2
2017,24,robert-visoiu,campos-racing,1,False,,,,,,
2017,25,lando-norris,campos-racing,0,False,2,0,0,0,0,1
2017,26,callum-ilott,trident-motorsport,0,False,2,0,0,0,0,0
2017,27,stefano-coletti,campos-racing,0,False,,,,,,
2017,28,rene-binder,rapax,0,False,,,,,,
2017,29,raffaele-marciello,trident-motorsport,0,False,,,,,,
2018,1,george-russell,art-grand-prix,287,True,24,7,11,5,5,3
2018,2,lando-norris,carlin,219,False,24,1,9,1,1,2
2018,3,alexander-albon,dams,212,False,24,4,8,3,0,4
2018,4,nyck-de-vries,prema-racing,202,False,24,3,6,2,4,4
2018,5,artem-markelov,russian-time,186,False,24,3,7,3,2,2
2018,6,sergio-sette-camara,carlin,164,False,,,,,,
2018,7,antonio-fuoco,charouz-racing-system,141,False,23,2,6,1,1,1
2018,8,luca-ghiotto,campos-racing,111,False,24,0,4,0,1,3
2018,9,nicholas-latifi,dams,91,False,24,1,3,1,3,3
2018,10,louis-deletraz,charouz-racing-system,74,False,24,0,2,0,0,4
2018,11,jack-aitken,art-grand-prix,63,False,23,1,2,0,1,3
2018,12,roberto-merhi,mp-motorsport,61,False,4,0,1,1,0,0
2018,13,tadasuke-makino,russian-time,48,False,,,,,,
2018,14,maximilian-gunther,arden-international,41,False,22,1,2,2,1,3
2018,15,sean-gelael,prema-racing,29,False,,,,,,
2018,16,arjun-maini,trident-motorsport,24,False,23,0,0,0,0,4
2018,17,nirei-fukuzumi,arden-international,17,False,23,0,0,1,0,4
2018,18,ralph-boschung,mp-motorsport,17,False,20,0,0,1,2,9
2018,19,santino-ferrucci,trident-motorsport,7,False,,,,,,
2018,20,alessio-lorandi,trident-motorsport,6,False,10,0,0,0,0,2
2018,21,dorian-boccolacci,mp-motorsport,3,False,8,0,0,0,0,1
2018,22,roy-nissany,campos-racing,1,False,,,,,,
2018,23,daniel-ticktum,arden-international,0,False,2,0,0,0,0,1
2018,24,niko-kari,mp-motorsport,0,False,4,0,0,0,0,3
2019,1,nyck-de-vries,art-grand-prix,266,True,,,,,,
2019,2,nicholas-latifi,dams,214,False,22,4,8,0,3,0
2019,3,luca-ghiotto,virtuosi-racing,207,False,22,4,9,2,2,3
2019,4,sergio-sette-camara,dams,204,False,,,,,,
2019,5,jack-aitken,campos-racing,159,False,22,3,7,1,1,1
2019,6,nobuharu-matsushita,carlin,144,False,,,,,,
2019,7,zhou-guanyu,virtuosi-racing,140,False,,,,,,
2019,8,louis-deletraz,carlin,92,False,22,0,3,0,0,5
2019,9,jordan-king,mp-motorsport,79,False,20,0,2,1,2,1
2019,10,anthoine-hubert,arden-international,77,False,16,2,2,2,0,0
2019,11,callum-ilott,sauber-junior-team-by-charouz,74,False,21,0,2,3,0,2
2019,12,mick-schumacher,prema-racing,53,False,22,1,1,2,2,6
2019,13,juan-manuel-correa,sauber-junior-team-by-charouz,36,False,16,0,2,0,0,2
2019,14,dorian-boccolacci,campos-racing,30,False,2,0,0,0,0,1
2019,15,giuliano-alesi,trident-motorsport,20,False,22,0,0,1,0,6
2019,16,artem-markelov,mp-motorsport,16,False,4,0,0,0,0,3
2019,17,sean-gelael,prema-racing,15,False,,,,,,
2019,18,nikita-mazepin,art-grand-prix,11,False,22,0,0,2,0,3
2019,19,ralph-boschung,trident-motorsport,3,False,,,,,,
2019,20,mahaveer-raghunathan,mp-motorsport,1,False,20,0,0,0,0,2
2019,21,marino-sato,campos-racing,0,False,6,0,0,0,0,0
2019,22,tatiana-calderon,arden-international,0,False,,,,,,
2019,23,christian-lundgaard,trident-motorsport,0,False,2,0,0,0,0,0
2019,24,arjun-maini,campos-racing,0,False,6,0,0,0,0,1
2019,25,matevos-isaakyan,sauber-junior-team-by-charouz,0,False,4,0,0,0,0,1
2019,26,pato-o-ward,mp-motorsport,0,False,,,,,,
2019,27,ryan-tveter,trident-motorsport,0,False,,,,,,
2020,1,mick-schumacher,prema-racing,215,True,24,2,10,0,2,1
2020,2,callum-ilott,virtuosi-racing,201,False,24,3,6,6,0,2
2020,3,yuki-tsunoda,carlin,200,False,,,,,,
2020,4,robert-shwartzman,prema-racing,177,False,,,,,,
2020,5,nikita-mazepin,hitech-racing,164,False,24,2,6,0,2,0
2020,6,zhou-guanyu,virtuosi-racing,151.5,False,,,,,,
2020,7,christian-lundgaard,art-grand-prix,149,False,24,2,6,1,2,2
2020,8,louis-deletraz,charouz-racing-system,134,False,24,0,5,1,2,0
2020,9,felipe-drugovich,mp-motorsport,121,False,24,3,4,2,1,2
2020,10,luca-ghiotto,hitech-racing,106,False,23,1,4,1,2,3
2020,11,daniel-ticktum,dams,96.5,False,24,1,4,3,1,1
2020,12,jehan-daruvala,carlin,72,False,24,1,2,0,1,1
2020,13,marcus-armstrong,art-grand-prix,52,False,24,0,2,0,0,4
2020,14,jack-aitken,campos-racing,48,False,22,0,2,0,1,1
2020,15,nobuharu-matsushita,mp-motorsport,42,False,17,1,1,0,1,1
2020,16,juri-vips,dams,16,False,8,0,1,0,0,1
2020,17,giuliano-alesi,hwa,12,False,6,0,0,0,0,0
2020,18,artem-markelov,hwa,5,False,23,0,0,1,0,2
2020,19,roy-nissany,trident-motorsport,5,False,,,,,,
2020,20,pedro-piquet,charouz-racing-system,3,False,24,0,0,0,0,0
2020,21,sean-gelael,dams,3,False,,,,,,
2020,22,marino-sato,trident-motorsport,1,False,24,0,0,0,0,4
2020,23,jake-hughes,hwa,0,False,2,0,0,0,0,1
2020,24,guilherme-samaia,campos-racing,0,False,24,0,0,0,0,2
2020,25,ralph-boschung,campos-racing,0,False,,,,,,
2020,26,theo-pourchaire,hwa,0,False,,,,,,
2021,1,oscar-piastri,prema-racing,252.5,True,,,,,,
2021,2,robert-shwartzman,prema-racing,192,False,,,,,,
2021,3,zhou-guanyu,virtuosi-racing,183,False,,,,,,
2021,4,daniel-ticktum,carlin,159.5,False,23,2,7,1,1,3
2021,5,theo-pourchaire,art-grand-prix,140,False,,,,,,
2021,6,juri-vips,hitech-racing,120,False,23,2,6,1,1,4
