id,name,type,direction,placeName,lengthMeters,turns,pictureUrl,mapUrl
autodromo-enzo-e-dino-ferrari_autodromo-enzo-e-dino-ferrari-2,Autodromo Enzo e Dino Ferrari,Race Circuit,Anti Clockwise,"Imola, Emilia-Romagna, Italy",4909,21,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-1d7c83be-7939-437a-b0b2-be4833da18d1.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_F12021_AutodromoEnzoeDinoFerrari_v2.svg
autodromo-nazionale-monza_autodromo-nazionale-monza,Autodromo Nazionale Monza,Race Circuit,Clockwise,"Monza, Lombardy, Italy",5793,11,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-6c469655-adb7-4395-b913-6d8c4ce8f0a2-MON.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_Monza.svg
bahrain-international-circuit_bahrain-international-circuit,Bahrain International Circuit,Race Circuit,Clockwise,"Sakhir, Southern Governorate, Bahrain",5412,15,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-2ec7adab-816d-4b4b-b700-5000bd81f692.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_BahrainInternationalCircuit.svg
circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,Circuit de Barcelona-Catalunya,Race Circuit,Clockwise,"Barcelona, Catalunya, Spain",4655,16,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-6603e884-bb0e-4423-aff0-5aa95c6a8e96.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_CatalunyaCircuit.svg
circuit-de-monaco_circuit-de-monaco,Circuit de Monaco,Street Circuit,Clockwise,"Monte Carlo, Monaco",3337,19,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-c1dcd55b-5881-459b-902d-76050107b695.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_Circuit de Monaco.svg
circuit-de-spa-francorchamps_circuit-de-spa-francorchamps,Circuit de Spa-Francorchamps,Race Circuit,Clockwise,"Francorchamps, Liège, Belgium",7004,19,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-a590235f-7dbb-4c95-830c-a2fadd0e8dd0.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_CircuitdeSpaFrancorchamps.svg
circuit-zandvoort_circuit-zandvoort,Circuit Zandvoort,Race Circuit,Clockwise ,"Zandvoort, North Holland, Netherlands",4259,14,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-be545df0-b6e4-4564-9d86-720f5f7c9977.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_CircuitZandvoort.svg
circuito-de-madring_circuito-de-madring,Circuito de MADRING,Street Circuit,Clockwise,"Barajas, Madrid, Spain",5474,22,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-f9fa1903-7ae9-423e-b44d-c6e39e0c334b.png,
hungaroring_hungaroring,Hungaroring,Race Circuit,Clockwise,"Budapest, Hungary",4381,14,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-c418c370-e733-48f3-b97b-63dbdbac634b.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_Hungaroring.svg
melbourne-grand-prix-circuit_melbourne-grand-prix-circuit-2,Melbourne Grand Prix Circuit,Street Circuit,Clockwise,"Melbourne, Victoria, Australia",5278,14,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-cc0117d2-7b7a-46f9-9714-7a336cdf960e.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_F12022_Melbourne.svg
mugello-circuit_mugello-circuit,Mugello Circuit,Race Circuit,Clockwise,"Mugello, Tuscany, Italy",5245,15,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-f9dbaaf7-c668-4fe6-8181-b15be38515b9.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_MugelloCircuit.svg
circuit-paul-ricard_paul-ricard-circuit,Paul Ricard Circuit,Race Circuit,,"Le Castellet, Provence-Alpes-Côte d'Azur, France",5842,15,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-47fbd8c4-5b8e-4127-9eac-6c96a0cd1341.png,
red-bull-ring_red-bull-ring,Red Bull Ring,Race Circuit,Clockwise,"Spielberg, Styria, Austria",4318,10,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-9e7f1072-2b32-4e3c-b62b-ffb33a0a832d.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_CircuitRedBullRing.svg
silverstone-circuit_silverstone-circuit,Silverstone Circuit,Race Circuit,Clockwise,"Silverstone, Northamptonshire, Great Britain",5891,18,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-a65370c3-6b5c-4f13-b5f8-aa9ae1899068.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_Silverstone.svg
sochi-autodrom_sochi-autodrom,Sochi Autodrom,Race Circuit,Clockwise,"Sochi, Krasnodar Krai, Russia",5848,18,https://content.motorsportstats.com/venueProfilePicture/venueProfilePicture-cc47741c-d97b-4919-ac82-d2e45751b892.png,https://assets.motorsportstats.com/circuit/master/MSS_Circuit_Default_Sochi.svg
