id,name,abbreviation,countryCode,pictureUrl
phm-racing,AIX Racing,,de,
art-grand-prix,ART Grand Prix,ART,de,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-6883f4c3-92f4-4d32-8e9d-d91a53a16f09.jpg
campos-racing,Campos Racing,CAMP,es,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-ee3f715a-eacd-4bcd-8d54-87fa5120994d.jpg
dams,DAMS Lucas Oil,DAM,fr,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-0dcb5ece-2ae4-4342-b290-93b0f7ce75ce.jpg
hitech-racing,Hitech,HITEC,gb,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-e8179b9a-212f-453a-a820-73fa3637503d.jpg
hwa,HWA Racelab,HWA,de,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-8bb341d2-2ef5-493b-9d6e-0a1e6c1f1dfc.jpg
jenzer-motorsport,Jenzer Motorsport,JENZ,ch,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-c59c2102-3fe6-41f8-8d6c-28b1f9e3ea2b.jpg
mp-motorsport,MP Motorsport,MPMO,nl,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-6f5f2c70-9aa5-494b-b9b4-37a132d444c7.jpg
charouz-racing-system,PHM Racing by Charouz,CHAR,cz,
prema-racing,Prema Racing,PREM,it,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-17a165a9-3184-4a7b-9a38-3301b022537a.jpg
carlin,Rodin Carlin,CARL,gb,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-d88db12f-2b71-4d14-b7f6-5ab4bde459b8.jpg
rodin-motorsport,Rodin Motorsport,,nz,
sauber-junior-team-by-charouz,Sauber Junior Team by Charouz,,ch,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-dfc03ec1-551a-4e97-b138-cc1a11c9cc5e.jpg
trident-motorsport,Trident,TRID,it,https://content.motorsportstats.com/teamProfilePicture/teamProfilePicture-cd0832ef-1c07-40f7-988d-91b9049c67ba.jpg
van-amersfoort-racing,Van Amersfoort Racing,VANAM,nl,
