id,name,firstName,lastName,abbreviation,countryCode,pictureUrl
alejandro-garcia-2,Alejandro García,Alejandro,García,GARC,mx,
alessandro-famularo,Alessandro Famularo,Alessandro,Famularo,FAM,ve,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-f06f8557-6c84-40b1-b46f-a4de4c6564dc.jpg
alessandro-giusti,Alessandro Giusti,Alessandro,Giusti,GIU,fr,
alessio-deledda,Alessio Deledda,Alessio,Deledda,DELE,it,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-6ea15d3b-593c-4280-98a1-a4c0fcfbd3f4.jpg
alex-dunne,Alex Dunne,Alex,Dunne,DUN,ie,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-212c7823-ba2e-4ba4-85f4-44ad384abba5.jpg
alex-peroni,Alex Peroni,Alex,Peroni,PERA,au,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-1e417aaa-578a-4839-9595-2fb7ea22af26.jpg
alexander-smolyar,Alexander Smolyar,Alexander,Smolyar,SMO,ru,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-616fd9f3-2b5d-4315-853c-2bf6d87a2e60.jpg
amaury-cordeel,Amaury Cordeel,Amaury,Cordeel,COR,be,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-5ef33c7e-4790-4ae4-b567-d65b2bb44aac.jpg
andreas-estner,Andreas Estner,Andreas,Estner,ESTN,de,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-434fc1ca-afc5-4001-8cee-74f466f1fdf6.jpg
artem-petrov,Artem Petrov,Artem,Petrov,PETR,ru,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-9fb86c6e-ba98-4c2f-9921-1a40119ea9ee.jpg
arthur-leclerc,Arthur Leclerc,Arthur,Leclerc,LEC,mc,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-4006012d-6826-49b0-8206-08857101ea5e.jpg
arvid-lindblad,Arvid Lindblad,Arvid,Lindblad,LIND,gb,
ayrton-simmons,Ayrton Simmons,Ayrton,Simmons,SIMA,gb,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-cc7af031-0550-44aa-86e8-b45a6e5269c2.jpg
ayumu-iwasa,Ayumu Iwasa,Ayumu,Iwasa,IWAS,jp,
ben-barnicoat,Ben Barnicoat,Ben,Barnicoat,BARN,gb,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-0c4a5c90-76b4-4d58-85ab-918465fe030b.jpg
bent-viscaal,Bent Viscaal,Bent,Viscaal,VIS,nl,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-6c2262bd-1a70-4d89-bc9a-9994305ec7bd.jpg
brad-benavides,Brad Benavides,Brad,Benavides,BENA,gt,
brando-badoer,Brando Badoer,Brando,Badoer,BADO,it,
bruno-del-pino,Bruno del Pino,Bruno,del Pino,PINO,es,
caio-collet,Caio Collet,Caio,Collet,COL,br,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-29ac82cd-3774-434d-9c0b-7d7788367a1b.jpg
calan-williams,Calan Williams,Calan,Williams,WLCA,au,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-26057dd4-1cbd-45c4-bd28-1ab6b22c7eea.jpg
callum-voisin,Callum Voisin,Callum,Voisin,VOIS,ch,
cameron-das,Cameron Das,Cameron,Das,DASC,us,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-62d117a6-a941-44de-b404-f3fd87eaba1d.jpg
charles-leong,Charles Leong,Charles,Leong,LEON,mo,
charlie-wurz,Charlie Wurz,Charlie,Wurz,WURZ,at,
christian-ho,Christian Ho,Christian,Ho,HOCH,sg,
christian-lundgaard,Christian Lundgaard,Christian,Lundgaard,LUND,dk,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-c2c41d2b-84ad-4a75-be22-14e04fff2875.jpg
christian-mansell,Christian Mansell,Christian,Mansell,CMA,au,https://content.motorsportstats.com/driverProfilePicture/driverProfilePicture-f75c05b3-22c5-4103-ae5f-39d733545f7f.jpg
cian-shields,Cian Shields,Cian,Shields,SHIE,gb,
