id,raceId,year,round,sessionNumber,code,name,startTimeUtc,endTimeUtc,isRace,cancelled
fia-formula-3-championship_2019_catalunya_free-practice,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,1,,Free Practice,2019-05-10T07:15:00Z,2019-05-10T08:10:00Z,False,False
fia-formula-3-championship_2019_catalunya_qualifying,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,2,,Qualifying,2019-05-10T15:50:00Z,2019-05-10T16:20:00Z,False,False
fia-formula-3-championship_2019_catalunya_grid,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,3,,Grid,,,False,False
fia-formula-3-championship_2019_catalunya_race,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,4,,Race,2019-05-11T08:15:00Z,2019-05-11T08:55:00Z,True,False
fia-formula-3-championship_2019_catalunya_grid-2,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,5,,Grid,,,False,False
fia-formula-3-championship_2019_catalunya_race-2,6d03f76e-70cc-4dbd-bc2f-23bfbbf38a32,2019,1,6,,Race,2019-05-12T08:15:00Z,2019-05-12T08:55:00Z,True,False
fia-formula-3-championship_2019_paul-ricard_free-practice,b3fa9d64-82ef-4fb3-bd10-468d79f6c0a3,2019,2,1,,Free Practice,2019-06-21T07:25:00Z,2019-06-21T08:10:00Z,False,False
fia-formula-3-championship_2019_paul-ricard_qualifying,b3fa9d64-82ef-4fb3-bd10-468d79f6c0a3,2019,2,2,,Qualifying,2019-06-21T15:50:00Z,2019-06-21T16:20:00Z,False,False
fia-formula-3-championship_2019_paul-ricard_grid,b3fa9d64-82ef-4fb3-bd10-468d79f6c0a3,2019,2,3,,Grid,,,False,False
fia-formula-3-championship_2019_paul-ricard_feature-race,b3fa9d64-82ef-4fb3-bd10-468d79f6c0a3,2019,2,4,,Feature Race,2019-06-22T08:30:00Z,2019-06-22T09:15:00Z,True,False
fia-formula-3-championship_2019_paul-ricard_grid-2,b3fa9d64-82ef-4fb3-bd10-468d79f6c0a3,2019,2,5,,Grid,,,False,False
fia-formula-3-championship_2019_paul-ricard_sprint-race,b3fa9d64-82ef-4fb3-bd10-468d79f6c0a3,2019,2,6,,Sprint Race,2019-06-23T07:55:00Z,2019-06-23T08:40:00Z,True,False
fia-formula-3-championship_2019_red-bull-ring_free-practice,9b4df8cc-0941-41a0-a37e-ec2159b49f28,2019,3,1,,Free Practice,2019-06-28T07:35:00Z,2019-06-28T08:20:00Z,False,False
fia-formula-3-championship_2019_red-bull-ring_qualifying,9b4df8cc-0941-41a0-a37e-ec2159b49f28,2019,3,2,,Qualifying,2019-06-28T15:50:00Z,2019-06-28T16:20:00Z,False,False
fia-formula-3-championship_2019_red-bull-ring_grid,9b4df8cc-0941-41a0-a37e-ec2159b49f28,2019,3,3,,Grid,,,False,False
fia-formula-3-championship_2019_red-bull-ring_feature-race,9b4df8cc-0941-41a0-a37e-ec2159b49f28,2019,3,4,,Feature Race,2019-06-29T08:25:00Z,2019-06-29T09:10:00Z,True,False
fia-formula-3-championship_2019_red-bull-ring_grid-2,9b4df8cc-0941-41a0-a37e-ec2159b49f28,2019,3,5,,Grid,,,False,False
fia-formula-3-championship_2019_red-bull-ring_sprint-race,9b4df8cc-0941-41a0-a37e-ec2159b49f28,2019,3,6,,Sprint Race,2019-06-30T07:35:00Z,2019-06-30T08:20:00Z,True,False
fia-formula-3-championship_2019_silverstone_free-practice,8e8914b2-c12d-4140-8a72-4549781ed60a,2019,4,1,,Free Practice,2019-07-12T07:35:00Z,2019-07-12T08:20:00Z,False,False
fia-formula-3-championship_2019_silverstone_qualifying,8e8914b2-c12d-4140-8a72-4549781ed60a,2019,4,2,,Qualifying,2019-07-12T14:55:00Z,2019-07-12T15:25:00Z,False,False
fia-formula-3-championship_2019_silverstone_grid,8e8914b2-c12d-4140-8a72-4549781ed60a,2019,4,3,,Grid,,,False,False
fia-formula-3-championship_2019_silverstone_feature-race,8e8914b2-c12d-4140-8a72-4549781ed60a,2019,4,4,,Feature Race,2019-07-13T08:25:00Z,2019-07-13T09:10:00Z,True,False
fia-formula-3-championship_2019_silverstone_grid-2,8e8914b2-c12d-4140-8a72-4549781ed60a,2019,4,5,,Grid,,,False,False
fia-formula-3-championship_2019_silverstone_sprint-race,8e8914b2-c12d-4140-8a72-4549781ed60a,2019,4,6,,Sprint Race,2019-07-14T07:45:00Z,2019-07-14T08:30:00Z,True,False
fia-formula-3-championship_2019_hungaroring_free-practice,e7ffdc79-5641-4204-a1f6-12da31e791eb,2019,5,1,,Free Practice,2019-08-02T07:35:00Z,2019-08-02T08:20:00Z,False,False
fia-formula-3-championship_2019_hungaroring_qualifying,e7ffdc79-5641-4204-a1f6-12da31e791eb,2019,5,2,,Qualifying,2019-08-03T07:00:00Z,2019-08-03T07:30:00Z,False,False
fia-formula-3-championship_2019_hungaroring_grid,e7ffdc79-5641-4204-a1f6-12da31e791eb,2019,5,3,,Grid,,,False,False
fia-formula-3-championship_2019_hungaroring_feature-race,e7ffdc79-5641-4204-a1f6-12da31e791eb,2019,5,4,,Feature Race,2019-08-03T14:45:00Z,2019-08-03T15:30:00Z,True,False
fia-formula-3-championship_2019_hungaroring_grid-2,e7ffdc79-5641-4204-a1f6-12da31e791eb,2019,5,5,,Grid,,,False,False
fia-formula-3-championship_2019_hungaroring_sprint-race,e7ffdc79-5641-4204-a1f6-12da31e791eb,2019,5,6,,Sprint Race,2019-08-04T08:00:00Z,2019-08-04T08:45:00Z,True,False
fia-formula-3-championship_2019_spa-francorchamps_free-practice,bcbf1929-7b75-4fc4-a4a8-f60aa81dd771,2019,6,1,,Free Practice,2019-08-30T07:35:00Z,2019-08-30T08:20:00Z,False,False
fia-formula-3-championship_2019_spa-francorchamps_qualifying,bcbf1929-7b75-4fc4-a4a8-f60aa81dd771,2019,6,2,,Qualifying,2019-08-30T15:50:00Z,2019-08-30T16:20:00Z,False,False
fia-formula-3-championship_2019_spa-francorchamps_grid,bcbf1929-7b75-4fc4-a4a8-f60aa81dd771,2019,6,3,,Grid,,,False,False
fia-formula-3-championship_2019_spa-francorchamps_feature-race,bcbf1929-7b75-4fc4-a4a8-f60aa81dd771,2019,6,4,,Feature Race,2019-08-31T08:35:00Z,2019-08-31T09:20:00Z,True,False
