id,name,firstName,lastName,abbreviation,countryCode,pictureUrl
abbi-pulling,Abbi Pulling,Abbi,Pulling,PUL,gb,
aiva-anagnostiadis,Aiva Anagnostiadis,Aiva,Anagnostiadis,ANA,au,
alba-larsen,Alba Larsen,Alba,Larsen,LAR,dk,
alisha-palmowski,Alisha Palmowski,Alisha,Palmowski,PAL,gb,
amna-al-qubaisi,Amna Al Qubaisi,Amna,Al Qubaisi,AAL,ae,
aurelia-nobels,Aurelia Nobels,Aurelia,Nobels,NOB,br,
autumn-fisher-wcd,Autumn Fisher (WCD),Autumn,Fisher (WCD),FIS,ca,
ava-dobson,Ava Dobson,Ava,Dobson,DOB,us,
ava-dobson-wcd,Ava Dobson (WCD),Ava,Dobson (WCD),DOB,us,
bianca-bustamante,Bianca Bustamante,Bianca,Bustamante,BUS,ph,
carrie-schreiner,Carrie Schreiner,Carrie,Schreiner,SCH,de,
chiara-battig-wcd,Chiara Bättig (WCD),Chiara,Bättig (WCD),BAE,ch,
chloe-chambers,Chloe Chambers,Chloe,Chambers,CHA,us,
chloe-chong,Chloe Chong,Chloe,Chong,CHO,gb,
chloe-grant,Chloe Grant,Chloe,Grant,GRA,gb,
courtney-crone,Courtney Crone,Courtney,Crone,CRO,us,
doriane-pin,Doriane Pin,Doriane,Pin,PIN,fr,
ella-lloyd,Ella Lloyd,Ella,Lloyd,LLO,gb,
ella-stevens,Ella Stevens,Ella,Stevens,STE,gb,
emely-de-heus,Emely De Heus,Emely,De Heus,DEH,nl,
emma-felbermayr,Emma Felbermayr,Emma,Felbermayr,FEL,at,
esmee-kosterman,Esmee Kosterman,Esmee,Kosterman,KOS,nl,
esmee-kosterman-wcd,Esmee Kosterman (WCD),Esmee,Kosterman (WCD),KOS,nl,
farah-alyousef-wcd,Farah AlYousef (WCD),Farah,AlYousef (WCD),FAY,sa,
hamda-al-qubaisi,Hamda Al Qubaisi,Hamda,Al Qubaisi,HAL,ae,
jade-jacquet,Jade Jacquet,Jade,Jacquet,JAC,fr,
jessica-edgar,Jessica Edgar,Jessica,Edgar,EDG,gb,
joanne-ciconte,Joanne Ciconte,Joanne,Ciconte,CIC,au,
kaylee-countryman,Kaylee Countryman,Kaylee,Countryman,COU,us,
lena-buhler,Léna Bühler,Léna,Bühler,BUH,ch,
lia-block,Lia Block,Lia,Block,BLO,us,
lisa-billard,Lisa Billard,Lisa,Billard,BIL,fr,
lisa-billard-wcd,Lisa Billard (WCD),Lisa,Billard (WCD),BIL,fr,
logan-hannah,Logan Hannah,Logan,Hannah,HAN,ae,
lola-lovinfosse,Lola Lovinfosse,Lola,Lovinfosse,LOV,fr,
maite-caceres,Maite Cáceres,Maite,Cáceres,CAC,uy,
marta-garcia,Marta García,Marta,García,GAR,es,
mathilda-paatz,Mathilda Paatz,Mathilda,Paatz,PAA,de,
mathilda-paatz-wcd,Mathilda Paatz (WCD),Mathilda,Paatz (WCD),PAA,de,
maya-weug,Maya Weug,Maya,Weug,WEU,nl,
megan-bruce,Megan Bruce,Megan,Bruce,BRU,gb,
megan-gilkes,Megan Gilkes,Megan,Gilkes,GIL,ca,
natalia-granada,Natalia Granada,Natalia,Granada,GRA,es,
nerea-marti,Nerea Martí,Nerea,Martí,MAR,es,
nicole-havrda,Nicole Havrda,Nicole,Havrda,HAV,ca,
nina-gademan,Nina Gademan,Nina,Gademan,GAD,nl,
payton-westcott,Payton Westcott,Payton,Westcott,WES,us,
payton-westcott-wcd,Payton Westcott (WCD),Payton,Westcott (WCD),WES,us,
rachel-robertson,Rachel Robertson,Rachel,Robertson,ROB,gb,
rafaela-ferreira,Rafaela Ferreira,Rafaela,Ferreira,FER,br,
reema-juffali,Reema Juffali,Reema,Juffali,JUF,sa,
tina-hausmann,Tina Hausmann,Tina,Hausmann,HAU,ch,
wei-shi-wcd,Wei Shi (WCD),Wei,Shi (WCD),SHI,cn,
zoe-florescu-wcd,Zoe Florescu (WCD),Zoe,Florescu (WCD),FLO,ro,
