raceId,year,round,driverNumber,driverId,constructorId,chassisId,engineId
fa-1,2023,1,10,abbi-pulling,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,15,marta-garcia,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,7,lena-buhler,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,12,megan-gilkes,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,2,lola-lovinfosse,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,11,jessica-edgar,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,1,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,9,chloe-grant,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,16,bianca-bustamante,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,8,carrie-schreiner,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,14,chloe-chong,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,3,maite-caceres,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,4,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,5,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-1,2023,1,6,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,1,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,10,abbi-pulling,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,7,lena-buhler,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,4,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,16,bianca-bustamante,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,8,carrie-schreiner,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,9,chloe-grant,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,3,maite-caceres,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,6,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,2,lola-lovinfosse,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,5,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,12,megan-gilkes,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,14,chloe-chong,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,11,jessica-edgar,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-2,2023,2,15,marta-garcia,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,4,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,1,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,16,bianca-bustamante,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,15,marta-garcia,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,7,lena-buhler,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,5,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,2,lola-lovinfosse,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,10,abbi-pulling,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,14,chloe-chong,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,8,carrie-schreiner,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,6,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,9,chloe-grant,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,11,jessica-edgar,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,3,maite-caceres,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-3,2023,3,12,megan-gilkes,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,4,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,10,abbi-pulling,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,7,lena-buhler,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,5,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,15,marta-garcia,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,9,chloe-grant,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,1,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,8,carrie-schreiner,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,16,bianca-bustamante,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,6,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,11,jessica-edgar,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,2,lola-lovinfosse,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,14,chloe-chong,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,12,megan-gilkes,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-4,2023,4,3,maite-caceres,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,7,lena-buhler,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,10,abbi-pulling,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,15,marta-garcia,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,4,hamda-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,16,bianca-bustamante,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,8,carrie-schreiner,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,1,nerea-marti,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,11,jessica-edgar,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,12,megan-gilkes,rodin-carlin,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,6,amna-al-qubaisi,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,14,chloe-chong,prema-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,9,chloe-grant,art-grand-prix,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,5,emely-de-heus,mp-motorsport,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,2,lola-lovinfosse,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
fa-5,2023,5,3,maite-caceres,campos-racing,tatuus-f4-t421,autotecnica-motori-14t
