id,year,round,date,endDate,name,code,circuitId,sourceUrl
fa-1,2023,1,2023-04-28,2023-04-29,Spielberg,AT,red-bull-ring_red-bull-ring,https://www.f1academy.com/Racing-Series/Results?raceid=1
fa-2,2023,2,2023-05-05,2023-05-07,Valencia,VA,valencia,https://www.f1academy.com/Racing-Series/Results?raceid=2
fa-3,2023,3,2023-05-19,2023-05-21,Barcelona,ES,circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,https://www.f1academy.com/Racing-Series/Results?raceid=3
fa-4,2023,4,2023-06-23,2023-06-25,Zandvoort,NL,circuit-zandvoort_circuit-zandvoort,https://www.f1academy.com/Racing-Series/Results?raceid=4
fa-5,2023,5,2023-07-07,2023-07-09,Monza,IT,autodromo-nazionale-monza_autodromo-nazionale-monza,https://www.f1academy.com/Racing-Series/Results?raceid=5
fa-6,2023,6,2023-07-29,2023-07-30,Le Castellet,FR,circuit-paul-ricard_paul-ricard-circuit,https://www.f1academy.com/Racing-Series/Results?raceid=6
fa-7,2023,7,2023-10-20,2023-10-22,Austin,US,austin,https://www.f1academy.com/Racing-Series/Results?raceid=7
fa-8,2024,1,2024-03-07,2024-03-09,Jeddah,SA,jeddah,https://www.f1academy.com/Racing-Series/Results?raceid=8
fa-9,2024,2,2024-05-03,2024-05-05,Miami,MI,miami-international-autodrome_miami-international-autodrome,https://www.f1academy.com/Racing-Series/Results?raceid=9
fa-10,2024,3,2024-06-21,2024-06-23,Barcelona,ES,circuit-de-barcelona-catalunya_circuit-de-barcelona-catalunya,https://www.f1academy.com/Racing-Series/Results?raceid=10
fa-11,2024,4,2024-08-23,2024-08-25,Zandvoort,NL,circuit-zandvoort_circuit-zandvoort,https://www.f1academy.com/Racing-Series/Results?raceid=11
fa-12,2024,5,2024-09-20,2024-09-22,Singapore,SG,marina-bay,https://www.f1academy.com/Racing-Series/Results?raceid=12
fa-13,2024,6,2024-11-29,2024-12-01,Lusail,QA,lusail,https://www.f1academy.com/Racing-Series/Results?raceid=13
fa-14,2024,7,2024-12-06,2024-12-08,Yas Island,AE,yas-marina-circuit_yas-marina-circuit-2,https://www.f1academy.com/Racing-Series/Results?raceid=14
fa-15,2025,1,2025-03-21,2025-03-23,Shanghai,CN,shanghai,https://www.f1academy.com/Racing-Series/Results?raceid=15
fa-16,2025,2,2025-04-18,2025-04-20,Jeddah,SA,jeddah,https://www.f1academy.com/Racing-Series/Results?raceid=16
fa-17,2025,3,2025-05-02,2025-05-04,Miami,MI,miami-international-autodrome_miami-international-autodrome,https://www.f1academy.com/Racing-Series/Results?raceid=17
fa-18,2025,4,2025-06-13,2025-06-15,Montreal,CA,circuit-gilles-villeneuve_circuit-gilles-villeneuve,https://www.f1academy.com/Racing-Series/Results?raceid=18
fa-19,2025,5,2025-08-29,2025-08-31,Zandvoort,NL,circuit-zandvoort_circuit-zandvoort,https://www.f1academy.com/Racing-Series/Results?raceid=19
fa-20,2025,6,2025-10-03,2025-10-05,Singapore,SG,marina-bay,https://www.f1academy.com/Racing-Series/Results?raceid=20
fa-21,2025,7,2025-11-20,2025-11-22,Las Vegas,VG,las-vegas,https://www.f1academy.com/Racing-Series/Results?raceid=21
fa-22,2026,1,2026-03-13,2026-03-15,Shanghai,CN,shanghai,https://www.f1academy.com/Racing-Series/Results?raceid=22
fa-24,2026,2,2026-05-22,2026-05-24,Montreal,CA,circuit-gilles-villeneuve_circuit-gilles-villeneuve,https://www.f1academy.com/Racing-Series/Results?raceid=24
fa-25,2026,3,2026-07-03,2026-07-05,Silverstone,GB,silverstone-circuit_silverstone-circuit,https://www.f1academy.com/Racing-Series/Results?raceid=25
fa-26,2026,4,2026-08-21,2026-08-23,Zandvoort,NL,circuit-zandvoort_circuit-zandvoort,https://www.f1academy.com/Racing-Series/Results?raceid=26
fa-27,2026,5,2026-10-22,2026-10-25,Austin,US,austin,https://www.f1academy.com/Racing-Series/Results?raceid=27
fa-28,2026,6,2026-11-19,2026-11-21,Las Vegas,VG,las-vegas,https://www.f1academy.com/Racing-Series/Results?raceid=28
