year,positionNumber,constructorId,points,championshipWon
2023,1,prema-racing,419,True
2023,2,mp-motorsport,411,False
2023,3,rodin-carlin,320,False
2023,4,art-grand-prix,312,False
2023,5,campos-racing,252,False
2024,1,prema-racing,425,True
2024,2,rodin-motorsport,385,False
2024,3,campos-racing,292,False
2024,4,mp-motorsport,178,False
2024,5,art-grand-prix,146,False
2025,1,prema-racing,296,True
2025,2,campos-racing,236,False
2025,3,mp-motorsport,235,False
2025,4,rodin-motorsport,164,False
2025,5,art-grand-prix,57,False
2025,6,hitech-tgr,20,False
2026,1,campos-racing,212,False
2026,2,rodin-motorsport,139,False
2026,3,mp-motorsport,127,False
2026,4,prema-racing,119,False
2026,5,hitech,52,False
2026,6,art-grand-prix,29,False
