year,positionNumber,driverId,constructorId,points,championshipWon,starts,wins,podiums,poles,fastestLaps,retirements
2023,1,marta-garcia,prema-racing,278,True,21,7,12,4,6,2
2023,2,lena-buhler,art-grand-prix,222,False,19,2,13,2,0,0
2023,3,hamda-al-qubaisi,mp-motorsport,207,False,19,4,7,2,6,0
2023,4,nerea-marti,campos-racing,181,False,20,1,6,1,1,1
2023,5,abbi-pulling,rodin-motorsport,175,False,20,0,7,2,3,1
2023,6,amna-al-qubaisi,mp-motorsport,117,False,21,2,4,0,2,1
2023,7,bianca-bustamante,prema-racing,116,False,19,2,4,0,0,0
2023,8,jessica-edgar,rodin-motorsport,114,False,21,1,4,1,1,0
2023,9,emely-de-heus,mp-motorsport,87,False,19,1,2,1,2,1
2023,10,lola-lovinfosse,campos-racing,65,False,19,0,3,0,0,1
2023,11,carrie-schreiner,art-grand-prix,56,False,19,1,1,0,0,0
2023,12,chloe-grant,art-grand-prix,34,False,18,0,0,0,0,1
2023,13,megan-gilkes,rodin-motorsport,31,False,19,0,0,0,0,1
2023,14,chloe-chong,prema-racing,25,False,20,0,0,0,0,0
2023,15,maite-caceres,campos-racing,6,False,21,0,0,0,0,1
2024,1,abbi-pulling,rodin-motorsport,338,True,15,9,15,10,6,0
2024,2,doriane-pin,prema-racing,217,False,15,4,9,4,4,0
2024,3,maya-weug,prema-racing,177,False,15,1,9,0,1,1
2024,4,nerea-marti,campos-racing,136,False,15,0,4,0,0,0
2024,5,hamda-al-qubaisi,mp-motorsport,133,False,15,0,3,0,0,0
2024,6,chloe-chambers,campos-racing,122,False,15,1,4,0,2,0
2024,7,bianca-bustamante,art-grand-prix,73,False,15,0,1,0,1,0
2024,8,lia-block,art-grand-prix,44,False,15,0,0,0,0,0
2024,9,carrie-schreiner,campos-racing,34,False,15,0,0,0,0,1
2024,10,tina-hausmann,prema-racing,31,False,15,0,0,0,0,2
2024,11,emely-de-heus,mp-motorsport,29,False,15,0,0,0,0,0
2024,12,aurelia-nobels,art-grand-prix,29,False,15,0,0,0,0,0
2024,13,jessica-edgar,rodin-motorsport,28,False,15,0,0,0,0,1
2024,14,lola-lovinfosse,rodin-motorsport,19,False,15,0,0,0,0,1
2024,15,amna-al-qubaisi,mp-motorsport,16,False,15,0,0,0,0,1
2024,16,nina-gademan,prema-racing,13,False,2,0,0,0,0,0
2024,17,alisha-palmowski,prema-racing,10,False,2,0,0,0,0,0
2024,18,ella-lloyd,prema-racing,8,False,2,0,0,0,0,0
2024,19,logan-hannah,prema-racing,1,False,3,0,0,0,0,0
2024,20,courtney-crone,prema-racing,0,False,2,0,0,0,0,0
2024,21,reema-juffali,prema-racing,0,False,2,0,0,0,0,0
2025,1,doriane-pin,prema-racing,172,True,14,4,8,0,7,0
2025,2,maya-weug,mp-motorsport,157,False,14,3,9,3,2,2
2025,3,chloe-chambers,campos-racing,127,False,14,2,7,3,4,2
2025,4,ella-lloyd,rodin-motorsport,109,False,14,1,5,0,0,2
2025,5,alisha-palmowski,campos-racing,91,False,14,1,5,0,0,2
2025,6,nina-gademan,prema-racing,74,False,14,1,4,0,0,0
2025,7,alba-larsen,mp-motorsport,70,False,14,0,0,0,0,1
2025,8,tina-hausmann,prema-racing,50,False,14,0,0,0,1,2
2025,9,lia-block,art-grand-prix,37,False,14,1,2,0,0,1
2025,10,emma-felbermayr,rodin-motorsport,37,False,14,1,1,0,0,1
2025,11,chloe-chong,rodin-motorsport,18,False,14,0,0,0,0,3
2025,12,rafaela-ferreira,campos-racing,18,False,14,0,0,0,0,2
2025,13,aurelia-nobels,art-grand-prix,17,False,14,0,1,0,0,3
2025,14,joanne-ciconte,mp-motorsport,8,False,14,0,0,0,0,3
2025,15,esmee-kosterman-wcd,hitech,6,False,2,0,0,0,0,0
2025,16,rachel-robertson,hitech,5,False,2,0,0,0,0,0
2025,17,aiva-anagnostiadis,hitech,5,False,10,0,0,0,0,1
2025,18,payton-westcott-wcd,hitech,3,False,2,0,0,0,0,1
2025,19,courtney-crone,art-grand-prix,3,False,14,0,0,0,0,2
2025,20,nicole-havrda,hitech,1,False,14,0,0,0,0,5
2025,21,mathilda-paatz-wcd,hitech,0,False,3,0,0,0,0,2
2025,22,megan-bruce,hitech,0,False,2,0,0,0,0,0
2025,23,ava-dobson-wcd,hitech,0,False,1,0,0,0,0,0
2025,24,wei-shi-wcd,hitech,0,False,2,0,0,0,0,1
2025,25,farah-alyousef-wcd,hitech,0,False,2,0,0,0,0,0
2025,26,lisa-billard-wcd,hitech,0,False,2,0,0,0,0,1
2026,1,alisha-palmowski,campos-racing,108,False,8,3,4,2,3,0
2026,2,emma-felbermayr,rodin-motorsport,78,False,8,2,5,0,0,0
2026,3,nina-gademan,mp-motorsport,56,False,8,1,3,0,0,1
2026,4,payton-westcott,prema-racing,47,False,8,1,3,0,1,0
2026,5,ella-lloyd,rodin-motorsport,43,False,8,0,1,0,1,0
2026,6,megan-bruce,campos-racing,41,False,8,0,2,0,0,0
2026,7,mathilda-paatz,prema-racing,35,False,8,1,2,0,0,0
2026,8,alba-larsen,mp-motorsport,32,False,8,0,1,0,1,0
2026,9,rafaela-ferreira,campos-racing,27,False,8,0,0,0,0,1
2026,10,natalia-granada,prema-racing,23,False,8,0,1,0,0,1
2026,11,chiara-battig-wcd,hitech,22,False,2,0,1,1,1,0
2026,12,rachel-robertson,hitech,16,False,8,0,0,0,0,1
2026,13,lisa-billard,art-grand-prix,15,False,8,0,0,0,1,0
2026,14,kaylee-countryman,art-grand-prix,14,False,8,0,1,0,0,0
2026,15,ava-dobson,hitech,8,False,8,0,0,0,0,1
2026,16,esmee-kosterman,mp-motorsport,5,False,8,0,0,0,0,1
2026,17,ella-stevens,rodin-motorsport,4,False,8,0,0,0,0,1
2026,18,autumn-fisher-wcd,hitech,0,False,3,0,0,0,0,0
2026,19,zoe-florescu-wcd,hitech,0,False,1,0,0,0,0,0
2026,20,jade-jacquet,art-grand-prix,0,False,8,0,0,0,0,2
2026,21,wei-shi-wcd,hitech,0,False,2,0,0,0,0,1
