sessionId,raceId,year,round,positionDisplayOrder,positionNumber,points,polePosition,status,driverNumber,driverId,constructorId,laps,time,timeMillis,gapMillis,gapLaps,fastestLap,fastestLapNumber,fastestLapTime,fastestLapTimeMillis,averageSpeed
fa-1,fa-1,2023,1,1,1,,False,,10,abbi-pulling,rodin-carlin,12,1:31.315,91315,,,False,8,1:31.315,91315,170.23
fa-1,fa-1,2023,1,2,2,,False,,15,marta-garcia,prema-racing,10,1:31.417,91417,102,,False,9,1:31.417,91417,170.04
fa-1,fa-1,2023,1,3,3,,False,,7,lena-buhler,art-grand-prix,13,1:31.690,91690,375,,False,12,1:31.690,91690,169.54
fa-1,fa-1,2023,1,4,4,,False,,12,megan-gilkes,rodin-carlin,17,1:31.816,91816,501,,False,13,1:31.816,91816,169.30
fa-1,fa-1,2023,1,5,5,,False,,2,lola-lovinfosse,campos-racing,14,1:31.832,91832,517,,False,11,1:31.832,91832,169.27
fa-1,fa-1,2023,1,6,6,,False,,11,jessica-edgar,rodin-carlin,19,1:31.841,91841,526,,False,16,1:31.841,91841,169.26
fa-1,fa-1,2023,1,7,7,,False,,1,nerea-marti,campos-racing,14,1:31.851,91851,536,,False,12,1:31.851,91851,169.24
fa-1,fa-1,2023,1,8,8,,False,,9,chloe-grant,art-grand-prix,14,1:32.085,92085,770,,False,13,1:32.085,92085,168.81
fa-1,fa-1,2023,1,9,9,,False,,16,bianca-bustamante,prema-racing,9,1:32.263,92263,948,,False,7,1:32.263,92263,168.48
fa-1,fa-1,2023,1,10,10,,False,,8,carrie-schreiner,art-grand-prix,14,1:32.974,92974,1659,,False,11,1:32.974,92974,167.20
fa-1,fa-1,2023,1,11,11,,False,,14,chloe-chong,prema-racing,5,1:35.851,95851,4536,,False,3,1:35.851,95851,162.18
fa-1,fa-1,2023,1,12,12,,False,,3,maite-caceres,campos-racing,6,1:41.931,101931,10610,,False,6,1:41.931,101931,152.50
fa-1,fa-1,2023,1,13,13,,False,,4,hamda-al-qubaisi,mp-motorsport,,,,,,False,,,,
fa-1,fa-1,2023,1,14,14,,False,,5,emely-de-heus,mp-motorsport,,,,,,False,,,,
fa-1,fa-1,2023,1,15,15,,False,,6,amna-al-qubaisi,mp-motorsport,,,,,,False,,,,
fa-2,fa-1,2023,1,1,1,,False,,4,hamda-al-qubaisi,mp-motorsport,19,1:31.362,91362,,,False,19,1:31.362,91362,170.15
fa-2,fa-1,2023,1,2,2,,False,,15,marta-garcia,prema-racing,8,1:31.770,91770,408,,False,8,1:31.770,91770,169.39
fa-2,fa-1,2023,1,3,3,,False,,7,lena-buhler,art-grand-prix,14,1:32.012,92012,650,,False,14,1:32.012,92012,168.94
fa-2,fa-1,2023,1,4,4,,False,,6,amna-al-qubaisi,mp-motorsport,20,1:32.013,92013,651,,False,20,1:32.013,92013,168.94
fa-2,fa-1,2023,1,5,5,,False,,12,megan-gilkes,rodin-carlin,12,1:32.014,92014,652,,False,12,1:32.014,92014,168.94
fa-2,fa-1,2023,1,6,6,,False,,8,carrie-schreiner,art-grand-prix,14,1:32.078,92078,716,,False,14,1:32.078,92078,168.82
fa-2,fa-1,2023,1,7,7,,False,,1,nerea-marti,campos-racing,20,1:32.114,92114,752,,False,20,1:32.114,92114,168.76
fa-2,fa-1,2023,1,8,8,,False,,16,bianca-bustamante,prema-racing,10,1:32.353,92353,991,,False,10,1:32.353,92353,168.32
fa-2,fa-1,2023,1,9,9,,False,,9,chloe-grant,art-grand-prix,15,1:32.389,92389,1027,,False,15,1:32.389,92389,168.25
fa-2,fa-1,2023,1,10,10,,False,,2,lola-lovinfosse,campos-racing,22,1:32.713,92713,1351,,False,22,1:32.713,92713,167.67
