id,raceId,year,round,sessionNumber,code,name,startTimeUtc,endTimeUtc,isRace,cancelled
fa-1,fa-1,2023,1,1,FP1,Free Practice 1,2023-04-28T06:15:00Z,2023-04-28T06:55:00Z,False,False
fa-2,fa-1,2023,1,2,FP2,Free Practice 2,2023-04-28T08:40:00Z,2023-04-28T09:20:00Z,False,False
fa-3,fa-1,2023,1,3,Q1,Qualifying 1,2023-04-28T13:10:00Z,2023-04-28T13:25:00Z,False,False
fa-4,fa-1,2023,1,4,Q2,Qualifying 2,2023-04-28T13:30:00Z,2023-04-28T13:45:00Z,False,False
fa-5,fa-1,2023,1,5,R1,Race 1,2023-04-29T08:45:00Z,2023-04-29T09:15:00Z,True,False
fa-6,fa-1,2023,1,6,R2,Race 2,2023-04-29T12:05:00Z,2023-04-29T12:25:00Z,True,False
fa-7,fa-1,2023,1,7,R3,Race 3,2023-04-29T15:20:00Z,2023-04-29T15:50:00Z,True,False
fa-8,fa-2,2023,2,1,FP1,Free Practice 1,2023-05-05T07:40:00Z,2023-05-05T08:20:00Z,False,False
fa-9,fa-2,2023,2,2,FP2,Free Practice 2,2023-05-05T10:30:00Z,2023-05-05T11:10:00Z,False,False
fa-10,fa-2,2023,2,3,Q1,Qualifying 1,2023-05-05T14:25:00Z,2023-05-05T14:40:00Z,False,False
fa-11,fa-2,2023,2,4,Q2,Qualifying 2,2023-05-05T14:45:00Z,2023-05-05T15:00:00Z,False,False
fa-12,fa-2,2023,2,5,R1,Race 1,2023-05-06T10:10:00Z,2023-05-06T10:40:00Z,True,False
fa-50,fa-2,2023,2,6,R2,Race 2,2023-05-06T14:10:00Z,2023-05-06T14:30:00Z,True,False
fa-14,fa-2,2023,2,7,R3,Race 3,2023-05-07T10:35:00Z,2023-05-07T11:05:00Z,True,False
fa-15,fa-3,2023,3,1,FP1,Free Practice 1,2023-05-19T12:55:00Z,2023-05-19T13:35:00Z,False,False
fa-16,fa-3,2023,3,2,FP2,Free Practice 2,2023-05-19T15:00:00Z,2023-05-19T15:40:00Z,False,False
fa-17,fa-3,2023,3,3,Q1,Qualifying 1,2023-05-20T09:20:00Z,2023-05-20T09:35:00Z,False,False
fa-18,fa-3,2023,3,4,Q2,Qualifying 2,2023-05-20T09:40:00Z,2023-05-20T09:55:00Z,False,False
fa-19,fa-3,2023,3,5,R1,Race 1,2023-05-20T13:05:00Z,2023-05-20T13:35:00Z,True,False
fa-20,fa-3,2023,3,6,R2,Race 2,2023-05-20T16:59:00Z,2023-05-20T17:19:00Z,True,False
fa-21,fa-3,2023,3,7,R3,Race 3,2023-05-21T09:06:00Z,2023-05-21T09:36:00Z,True,False
fa-22,fa-4,2023,4,1,FP1,Free Practice 1,2023-06-23T07:40:00Z,2023-06-23T08:20:00Z,False,False
fa-23,fa-4,2023,4,2,FP2,Free Practice 2,2023-06-23T14:55:00Z,2023-06-23T15:35:00Z,False,False
fa-24,fa-4,2023,4,3,Q1,Qualifying 1,2023-06-24T06:00:00Z,2023-06-24T06:15:00Z,False,False
fa-25,fa-4,2023,4,4,Q2,Qualifying 2,2023-06-24T06:20:00Z,2023-06-24T06:35:00Z,False,False
fa-51,fa-4,2023,4,5,R1,Race 1,2023-06-24T14:30:00Z,2023-06-24T15:00:00Z,True,False
fa-27,fa-4,2023,4,6,R2,Race 2,2023-06-25T06:40:00Z,2023-06-25T07:00:00Z,True,False
fa-28,fa-4,2023,4,7,R3,Race 3,2023-06-25T15:25:00Z,2023-06-25T15:55:00Z,True,False
fa-29,fa-5,2023,5,1,FP1,Free Practice 1,2023-07-07T08:00:00Z,2023-07-07T08:40:00Z,False,False
