id,name,countryCode,placeName,type,direction,lengthMeters,turns,layoutUrl,sourceUrl
beijing,Beijing,cn,Beijing,Street Circuit,,3439,17,,https://www.fiaformulae.com/en/news/6888
berlin,Berlin,de,Berlin,Street Circuit,,2374,15,https://results.formulae.fia.com/api/getfile/formula-e/files/results/11_Season%2012%20-%202025-26/07_R07%20Berlin/Event%20Information/S12_BER_Circuit%20Map%20V1.pdf,https://www.fiaformulae.com/en/results-and-standings?season=12&round=8-berlin
bern,Bern,ch,Bern,Street Circuit,,2750,14,https://results.formulae.fia.com/api/getfile/formula-e/files/results/04_Season%205%20-%202018-19/14_R11%20Bern/00_Event%20Information/03_Bern%20Circuit%20Map.pdf,https://www.fiaformulae.com/en/results-and-standings?season=5&round=11-bern
buenos-aires,Buenos Aires,ar,Buenos Aires,Street Circuit,Anti-clockwise,2480,12,,https://www.fiaformulae.com/en/news/6590
cape-town,Cape Town,za,Cape Town,Street Circuit,,2921,12,https://results.formulae.fia.com/api/getfile/formula-e/files/results/08_Season%209%20-%202022-23/05_R05%20Cape%20Town/Event%20Information/S9_CPT_Circuit%20Map%20V3.pdf,https://www.fiaformulae.com/en/results-and-standings?season=9&round=5-cape-town
ciudad-de-mexico,Ciudad De Mexico,mx,Ciudad De Mexico,Race Circuit,,2608,16,https://results.formulae.fia.com/api/getfile/formula-e/files/results/11_Season%2012%20-%202025-26/02_R02%20Mexico/Event%20Information/S12_R02_MEX_Circuit%20Map%20V2.pdf,https://www.fiaformulae.com/en/results-and-standings?season=12&round=2-ciudad-de-mexico
diriyah,Diriyah,sa,Diriyah,Street Circuit,,2495,21,https://results.formulae.fia.com/api/getfile/formula-e/files/results/09_Season%2010%20-%202023-24/02_R02%20Diriyah/Event%20Information/R02_DRH_Circuit%20Map%20v2.pdf,https://www.fiaformulae.com/en/results-and-standings?season=10&round=3-diriyah
hong-kong,Hong Kong,cn,Hong Kong,Street Circuit,,1860,10,https://results.formulae.fia.com/api/getfile/formula-e/files/results/04_Season%205%20-%202018-19/08_R05%20Hong%20Kong/01_Event%20Information/03_Hong%20Kong%20Circuit%20Map.pdf,https://www.fiaformulae.com/en/results-and-standings?season=5&round=5-hong-kong
hyderabad,Hyderabad,in,Hyderabad,Street Circuit,,2835,18,https://results.formulae.fia.com/api/getfile/formula-e/files/results/08_Season%209%20-%202022-23/04_R04%20Hyderabad/Event%20Information/S9_HYD_CIRCUIT%20MAP%20V4.pdf,https://www.fiaformulae.com/en/results-and-standings?season=9&round=4-hyderabad
jakarta,Jakarta,id,Jakarta,Street Circuit,,2370,18,https://results.formulae.fia.com/api/getfile/formula-e/files/results/10_Season%2011%20-%202024-25/12_R12%20Jakarta/Event%20Information/S11_R12_JKT_Circuit%20Map%20V3.pdf,https://www.fiaformulae.com/en/results-and-standings?season=11&round=12-jakarta
jeddah,Jeddah,sa,Jeddah,Race Circuit,,3001,19,https://results.formulae.fia.com/api/getfile/formula-e/files/results/11_Season%2012%20-%202025-26/04_R04%20Jeddah/Event%20Information/S12_R04&R05%20JED_Circuit%20Map%20V2.pdf,https://www.fiaformulae.com/en/results-and-standings?season=12&round=5-jeddah
london,London,gb,London,Street Circuit,,2077,20,https://results.formulae.fia.com/api/getfile/formula-e/files/results/11_Season%2012%20-%202025-26/16_R16%20London/Event%20Information/S12_R16&R17_LDN_Circuit%20Map%20V3.pdf,https://www.fiaformulae.com/en/results-and-standings?season=12&round=17-london
long-beach,Long Beach,us,Long Beach,Street Circuit,,2100,7,,https://www.fiaformulae.com/en/news/culture/long-beach-track-guide
madrid,Madrid,es,Madrid,Race Circuit,,3934,13,https://results.formulae.fia.com/api/getfile/formula-e/files/results/11_Season%2012%20-%202025-26/06_R06%20Madrid/01_Event%20Information/S12_R06_MAD_Circuit%20Map%20V3.pdf,https://www.fiaformulae.com/en/results-and-standings?season=12&round=6-madrid
marrakesh,Marrakesh,ma,Marrakesh,Street Circuit,,2971,12,https://results.formulae.fia.com/api/getfile/formula-e/files/results/07_Season%208%20-%202021-22/10_R10%20Marrakesh/Event%20Information/S8_R10_MRK_CircuitMap_v2.pdf,https://www.fiaformulae.com/en/results-and-standings?season=8&round=10-marrakesh
mexico-city,Mexico City,mx,Mexico City,Race Circuit,,2630,16,https://results.formulae.fia.com/api/getfile/formula-e/files/results/10_Season%2011%20-%202024-25/02_R02%20Mexico/Event%20Information/S11_R02_MEX_Circuit%20Map%20V1.pdf,https://www.fiaformulae.com/en/results-and-standings?season=11&round=2-mexico-city
