id,name,abbreviation,countryCode,pictureUrl
abt-cupra-formula-e-team,ABT CUPRA FORMULA E TEAM,,de,https://contentfulproxy.stadion.io/eag9z2l5md8w/6rhRhzS13eoY3AcGivaFh7/6408be6f4bcdef91c17df24b231c6056/c57e46c4-8163-44f6-9c0d-b74579d51000.svg?q=75&fm=webp&fit=fill&f=face&w=80&h=32
abt-schaeffler-audi-sport,ABT SCHAEFFLER AUDI SPORT,,de,
amlin-aguri,AMLIN AGURI,,gb,
andretti-autosport-formula-e-team,ANDRETTI AUTOSPORT FORMULA E TEAM,,us,
andretti-formula-e,ANDRETTI FORMULA E,,us,https://contentfulproxy.stadion.io/eag9z2l5md8w/3QY63R4VuvdVCwC2zApcxf/0b99e7e8eed32c6530bb5a342726e381/Andretti_new_white.png?q=75&fm=webp&fit=fill&f=center&w=80&h=78
andretti-formula-e-race-team,Andretti Formula E Race Team,,us,
andretti-formula-e-team,ANDRETTI FORMULA E TEAM,,us,
audi-sport-abt-formula-e-team,AUDI SPORT ABT FORMULA E TEAM,,de,
audi-sport-abt-schaeffler,AUDI SPORT ABT SCHAEFFLER,,de,https://images.ctfassets.net/eag9z2l5md8w/12SGgeOpSZ8ELvZjFa0z3w/646babf92fc8c3e1a3e67c15a4631273/ndDb2Xh0.jpg?w=1200&h=630&fit=crop&f=face
avalanche-andretti-formula-e,AVALANCHE ANDRETTI FORMULA E,,us,https://contentfulproxy.stadion.io/eag9z2l5md8w/3QY63R4VuvdVCwC2zApcxf/0b99e7e8eed32c6530bb5a342726e381/Andretti_new_white.png?q=75&fm=webp&fit=fill&f=center&w=80&h=78
bmw-i-andretti-motorsport,BMW I ANDRETTI MOTORSPORT,,us,
china-racing-formula-e-team,CHINA RACING FORMULA E TEAM,,cn,
citroen-racing,CITROËN RACING,,fr,https://contentfulproxy.stadion.io/eag9z2l5md8w/2BJ9559FyhJGd9FoSIh2y/d923f5c6aa003732978527ef6d244ded/Citroen_new_white.png?q=75&fm=webp&fit=fill&f=center&w=64&h=80
cupra-kiro,CUPRA KIRO,,us,https://contentfulproxy.stadion.io/eag9z2l5md8w/5pxLvH9jS0inP27IH4JH4E/e4746874004835778be1eac570340bbd/5d9905e8-5348-441c-a3be-b14e145c127d.svg?q=75&fm=webp&fit=fill&f=face&w=80&h=27
dragon,DRAGON,,us,
dragon-penske-autosport,DRAGON PENSKE AUTOSPORT,,us,
dragon-racing,DRAGON RACING,,us,
dragon-racing-formula-e-team,DRAGON RACING FORMULA E TEAM,,us,
ds-penske,DS PENSKE,,us,https://contentfulproxy.stadion.io/eag9z2l5md8w/71tsWzgF5ecpXhbUgK2g0V/06dc44a539e9a624f85b820019d7a2ba/DSPenske_new_white.png?q=75&fm=webp&fit=fill&f=center&w=80&h=79
ds-techeetah,DS TECHEETAH,,fr,https://images.ctfassets.net/eag9z2l5md8w/12SGgeOpSZ8ELvZjFa0z3w/646babf92fc8c3e1a3e67c15a4631273/ndDb2Xh0.jpg?w=1200&h=630&fit=crop&f=face
ds-techeetah-formula-e-team,DS TECHEETAH FORMULA E TEAM,,cn,
ds-virgin-racing,DS VIRGIN RACING,,gb,
ds-virgin-racing-formula-e-team,DS VIRGIN RACING FORMULA E TEAM,,gb,
envision-racing,ENVISION RACING,,gb,https://contentfulproxy.stadion.io/eag9z2l5md8w/2J39XBeEC8IL9Cz9c1Bjre/b5418145a8a90ce7d3342284029149cf/c63aedad-a141-4ebc-9794-41a37909ef0c.svg?q=75&fm=webp&fit=fill&f=face&w=80&h=32
envision-virgin-racing,ENVISION VIRGIN RACING,,gb,
ert-formula-e-team,ERT FORMULA E TEAM,,cn,https://contentfulproxy.stadion.io/eag9z2l5md8w/1025m6Y1Q4iTRUSGRs9qSJ/d15e6097b483fa3d5d04ec90ab665d75/5ac8091a-b415-4abb-a7ef-fb5511e545d5.svg?q=75&fm=webp&fit=fill&f=face&w=80&h=32
faraday-future-dragon-racing,FARADAY FUTURE DRAGON RACING,,us,
geox-dragon,GEOX DRAGON,,us,
hwa-racelab,HWA RACELAB,,de,
jaguar-racing,JAGUAR RACING,,gb,
jaguar-tcs-racing,JAGUAR TCS RACING,,gb,https://contentfulproxy.stadion.io/eag9z2l5md8w/5mP5ynNy68QnO8uW9RzxQj/58a599cb3a643e3cee05043ad2dd0455/JaguarTCS_new_white.png?q=75&fm=webp&fit=fill&f=center&w=80&h=54
lola-yamaha-abt-formula-e-team,LOLA YAMAHA ABT FORMULA E TEAM,,gb,https://contentfulproxy.stadion.io/eag9z2l5md8w/2hUnKG5ypYp9KMvbTcmDAM/fa2a816d1bb68f21e486b45b4cc64d42/25Lola_Yam_ABT_Logo__White_RGB.png?q=75&fm=webp&fit=fill&f=face&w=80&h=27
mahindra-racing,MAHINDRA RACING,,in,https://contentfulproxy.stadion.io/eag9z2l5md8w/VVzOEtAaOFW9mEwQeRN56/992fc613c6e117974a19c32b3c2f0ca3/RGB_white_Mahindra_FE_logo_primary.png?q=75&fm=webp&fit=fill&f=face&w=80&h=15
mahindra-racing-formula-e-team,MAHINDRA RACING FORMULA E TEAM,,in,
maserati-msg-racing,MASERATI MSG RACING,,mc,https://contentfulproxy.stadion.io/eag9z2l5md8w/6YPGQatD9ltF10qnKQAHaG/8986e08c0f32240d00d7bd89cc054479/Maserati-MSG-master_team_logo-white.png?q=75&fm=webp&fit=fill&f=face&w=80&h=45
mercedes-benz-eq-formula-e-team,MERCEDES BENZ EQ FORMULA E TEAM,,de,
mercedes-eq-formula-e-team,MERCEDES EQ FORMULA E TEAM,,de,https://images.ctfassets.net/eag9z2l5md8w/12SGgeOpSZ8ELvZjFa0z3w/646babf92fc8c3e1a3e67c15a4631273/ndDb2Xh0.jpg?w=1200&h=630&fit=crop&f=face
ms-ad-andretti-formula-e,MS&AD ANDRETTI FORMULA E,,us,
neom-mclaren-formula-e-team,NEOM MCLAREN FORMULA E TEAM,,gb,https://contentfulproxy.stadion.io/eag9z2l5md8w/1V0oYIltjsfIjFImfhzuLe/ab7762315e12ad0f5982347194b637f5/NMcL_FormulaE_Team_Primary_Horizontal_White_Colour.png?q=75&fm=webp&fit=fill&f=face&w=80&h=20
nextev-nio,NEXTEV NIO,,cn,
nextev-tcr-formula-e-team,NEXTEV TCR FORMULA E TEAM,,cn,
nio-333-fe-team,NIO 333 FE TEAM,,cn,
nio-333-racing,NIO 333 RACING,,cn,
nio-formula-e-team,NIO FORMULA E TEAM,,gb,
nissan-e-dams,NISSAN E.DAMS,,fr,
nissan-formula-e-team,NISSAN FORMULA E TEAM,,jp,https://contentfulproxy.stadion.io/eag9z2l5md8w/53Ys36CzWaGTTNMChRYUiW/c02b19404cec4e934e5f15f54d1e4d45/6c04a435-8357-42f6-8360-5305d00050ee.svg?q=75&fm=webp&fit=fill&f=face&w=80&h=32
panasonic-jaguar-racing,PANASONIC JAGUAR RACING,,gb,
porsche-formula-e-team,PORSCHE FORMULA E TEAM,,de,https://images.ctfassets.net/eag9z2l5md8w/7eYOHK9Qm2oxmHnqp4ey0z/1a7aae307506956ad91130d610b9c5ab/0d4e7ec1-bbce-478f-b187-6e30df1127d4_2x.png?w=1200&h=630&fit=crop&f=face
renault-e-dams,RENAULT E.DAMS,,fr,
rokit-venturi-racing,ROKIT VENTURI RACING,,mc,https://images.ctfassets.net/eag9z2l5md8w/12SGgeOpSZ8ELvZjFa0z3w/646babf92fc8c3e1a3e67c15a4631273/ndDb2Xh0.jpg?w=1200&h=630&fit=crop&f=face
tag-heuer-porsche-formula-e-team,TAG HEUER PORSCHE FORMULA E TEAM,,de,https://contentfulproxy.stadion.io/eag9z2l5md8w/1FLpYdAC3XQa8OcJZHrtLa/2d7db4b6484ed8c7cdf7b5c934f73810/0d4e7ec1-bbce-478f-b187-6e30df1127d4.svg?q=75&fm=webp&fit=fill&f=face&w=80&h=32
team-aguri,TEAM AGURI,,gb,
team-e-dams-renault,TEAM E.DAMS RENAULT,,fr,
techeetah,TECHEETAH,,cn,
trulli-formula-e-team,TRULLI FORMULA E TEAM,,it,
venturi-formula-e,VENTURI FORMULA E,,mc,
venturi-formula-e-team,VENTURI FORMULA E TEAM,,mc,
virgin-racing-formula-e-team,VIRGIN RACING FORMULA E TEAM,,gb,
