id,name,firstName,lastName,abbreviation,countryCode,nationalityCode,pictureUrl
adam-carroll,Adam Carroll,Adam,Carroll,CAR,gb,GBR,
alex-fontana,Alex Fontana,Alex,Fontana,,ch,CHE,
alex-lynn,Alex Lynn,Alex,Lynn,LYN,gb,GBR,
alexander-sims,Alexander Sims,Alexander,Sims,SIM,gb,GBR,
andre-lotterer,André Lotterer,André,Lotterer,LOT,de,DEU,https://images.ctfassets.net/eag9z2l5md8w/12SGgeOpSZ8ELvZjFa0z3w/646babf92fc8c3e1a3e67c15a4631273/ndDb2Xh0.jpg?w=1200&h=630&fit=crop&f=face
antonio-felix-da-costa,António Félix Da Costa,António Félix Da,Costa,DAC,pt,POR,https://images.ctfassets.net/eag9z2l5md8w/139g2BygGsASmQc1c57LBj/47039d7de1705564829bec5c52ff1c94/fqZGSA3d.jpg?w=1200&h=630&fit=crop&f=face
antonio-garcia,Antonio García,Antonio,García,,es,ESP,
antonio-giovinazzi,Antonio Giovinazzi,Antonio,Giovinazzi,GIO,it,ITA,
brendon-hartley,Brendon Hartley,Brendon,Hartley,HAR,nz,NZL,https://images.ctfassets.net/eag9z2l5md8w/12SGgeOpSZ8ELvZjFa0z3w/646babf92fc8c3e1a3e67c15a4631273/ndDb2Xh0.jpg?w=1200&h=630&fit=crop&f=face
bruno-senna,Bruno Senna,Bruno,Senna,,br,BRA,
caio-collet,Caio Collet,Caio,Collet,COL,br,BRA,
charles-pic,Charles Pic,Charles,Pic,,fr,FRA,
dan-ticktum,Dan Ticktum,Dan,Ticktum,TIC,gb,GBR,https://images.ctfassets.net/eag9z2l5md8w/5OD7Hj2j9Phx2HKhE8j4so/6af4d5525f7139c45a6ae1e4a06b7761/4ZezC9Ed.jpg?w=1200&h=630&fit=crop&f=face
daniel-abt,Daniel Abt,Daniel,Abt,ABT,de,DEU,https://images.ctfassets.net/eag9z2l5md8w/12SGgeOpSZ8ELvZjFa0z3w/646babf92fc8c3e1a3e67c15a4631273/ndDb2Xh0.jpg?w=1200&h=630&fit=crop&f=face
david-beckmann,David Beckmann,David,Beckmann,BEC,de,GER,
edoardo-mortara,Edoardo Mortara,Edoardo,Mortara,MOR,ch,SUI,https://images.ctfassets.net/eag9z2l5md8w/12SGgeOpSZ8ELvZjFa0z3w/646babf92fc8c3e1a3e67c15a4631273/ndDb2Xh0.jpg?w=1200&h=630&fit=crop&f=face
esteban-gutierrez,Esteban Gutiérrez,Esteban,Gutiérrez,,mx,MEX,
fabio-leimer,Fabio Leimer,Fabio,Leimer,,ch,CHE,
felipe-drugovich,Felipe Drugovich,Felipe,Drugovich,DRU,br,BRA,https://images.ctfassets.net/eag9z2l5md8w/1Tw9wVWPVmmmWuYQ1VCUQT/5724773580db70d3b73de0e25a2e892f/BDH01334_V31i3fXC_20251029033317.jpeg?w=1200&h=630&fit=crop&f=face
felipe-massa,Felipe Massa,Felipe,Massa,MAS,br,BRA,https://images.ctfassets.net/eag9z2l5md8w/12SGgeOpSZ8ELvZjFa0z3w/646babf92fc8c3e1a3e67c15a4631273/ndDb2Xh0.jpg?w=1200&h=630&fit=crop&f=face
felipe-nasr,Felipe Nasr,Felipe,Nasr,NAS,br,BRA,
felix-rosenqvist,Felix Rosenqvist,Felix,Rosenqvist,FRO,se,SWE,
