id,name
abt-schaeffer-fe02,ABT Schaeffer FE02
abt-schaeffler-fe01,ABT Schaeffler FE01
abt-schaeffler-fe02,ABT Schaeffler FE02
andretti-atec-02,Andretti ATEC-02
andretti-atec-03,Andretti ATEC-03
andretti-atec-04,Andretti ATEC-04
audi-e-tron-fe04,Audi e-tron FE04
audi-e-tron-fe05,Audi e-tron FE05
audi-e-tron-fe06,Audi e-tron FE06
audi-e-tron-fe07,Audi e-tron FE07
bmw-ife-18,BMW iFE.18
bmw-ife-20,BMW iFE.20
bmw-ife-21,BMW iFE.21
citroen-racing-e-cx,Citroën Racing ë-CX
ds-e-tense-fe19,DS E-TENSE FE19
ds-e-tense-fe20,DS E-TENSE FE20
ds-e-tense-fe21,DS E-TENSE FE21
ds-e-tense-fe23,DS E-TENSE FE23
ds-e-tense-fe25,DS E-TENSE FE25
ds-virgin-dsv-02,DS Virgin DSV-02
ds-virgin-dsv-03,DS Virgin DSV-03
ert-x24,ERT X24
jaguar-i-type-1,Jaguar I-Type 1
jaguar-i-type-5,Jaguar I-Type 5
jaguar-i-type-6,Jaguar I-TYPE 6
jaguar-i-type-7,Jaguar I-Type 7
jaguar-i-type-ii,Jaguar I-Type II
jaguar-i-type-iii,Jaguar I-Type III
jaguar-i-type-iv,Jaguar I-Type IV
lola-t001,Lola T001
m11electro,M11Electro
m12electro,M12Electro
mahindra-m10electro,Mahindra M10Electro
mahindra-m2electro,Mahindra M2ELECTRO
mahindra-m3electro,Mahindra M3Electro
mahindra-m4electro,Mahindra M4Electro
mahindra-m5electro,Mahindra M5Electro
mahindra-m6electro,Mahindra M6Electro
mahindra-m7electro,Mahindra M7Electro
mahindra-m8electro,Mahindra M8Electro
mahindra-m9-electro,Mahindra M9 Electro
mahindra-m9electro,Mahindra M9Electro
maserati-tipo-folgore,Maserati Tipo Folgore
mercedes-benz-eq-silver-arrow-01,Mercedes-Benz EQ Silver Arrow 01
mercedes-eq-silver-arrow-02,Mercedes-EQ Silver Arrow 02
nextev-nio-sport-003,NextEV NIO Sport 003
nextev-tcr-formula-002,NextEV TCR Formula 002
nextev-tcr-formulae-001,NEXTEV TCR FormulaE 001
nio-333-001,NIO 333 001
nio-333-er9,NIO 333 ER9
nio-fe-005,NIO FE-005
nio-sport-004,NIO Sport 004
nissan-e-4orce-05,NISSAN e-4ORCE  05
nissan-e-4orce-04,Nissan e-4ORCE 04
nissan-im01,Nissan IM01
nissan-im02,Nissan IM02
nissan-im03,Nissan IM03
penske-701-ev,Penske 701-EV
penske-ev-2,PENSKE EV-2
penske-ev-3,Penske EV-3
penske-ev-4,PENSKE EV-4
penske-ev-5,PENSKE EV-5
porsche-99x-electric,Porsche 99X Electric
porsche-99x-electric-wcg3,Porsche 99X Electric WCG3
renault-z-e-15,Renault Z.E 15
renault-z-e-16,Renault Z.E. 16
renault-z-e-17,Renault Z.E. 17
spark-renault-srt-01-e,Spark - Renault SRT_01 E
srt01-e,SRT01-e
venturi-vfe05,Venturi VFE05
venturi-vm200-fe-01,Venturi VM200-FE-01
venturi-vm200-fe-02,Venturi VM200-FE-02
venturi-vm200-fe-03,Venturi VM200-FE-03
virgin-racing-engineering-dsv-01,Virgin Racing Engineering DSV-01
