raceId,seasonKey,year,round,driverNumber,driverId,constructorId,chassisId,engineId
fe-2014-15-r1-beijing,2014-15,2015,1,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r1-beijing,2014-15,2015,1,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,55,antonio-felix-da-costa,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r2-putrajaya,2014-15,2015,2,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,9,sebastien-buemi,team-e-dams-renault,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,11,lucas-di-grassi,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,27,jean-eric-vergne,andretti-autosport-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,66,daniel-abt,audi-sport-abt-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,55,antonio-felix-da-costa,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r3-punta-del-este,2014-15,2015,3,2,sam-bird,virgin-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,55,antonio-felix-da-costa,amlin-aguri,spark-renault-srt-01e,spark-renault-srt-01-e
fe-2014-15-r4-buenos-aires,2014-15,2015,4,99,nelson-piquet-jr,china-racing-formula-e-team,spark-renault-srt-01e,spark-renault-srt-01-e
