seasonKey,year,positionNumber,constructorId,points,championshipWon
2014-15,2015,1,team-e-dams-renault,232,True
2014-15,2015,2,dragon-racing-formula-e-team,171,False
2014-15,2015,3,audi-sport-abt-formula-e-team,165,False
2014-15,2015,4,china-racing-formula-e-team,152,False
2014-15,2015,5,virgin-racing-formula-e-team,133,False
2014-15,2015,6,andretti-autosport-formula-e-team,119,False
2014-15,2015,7,amlin-aguri,66,False
2014-15,2015,8,mahindra-racing-formula-e-team,58,False
2014-15,2015,9,venturi-formula-e-team,53,False
2014-15,2015,10,trulli-formula-e-team,17,False
2015-16,2016,1,renault-e-dams,270,True
2015-16,2016,2,abt-schaeffler-audi-sport,221,False
2015-16,2016,3,ds-virgin-racing-formula-e-team,144,False
2015-16,2016,4,dragon-racing-formula-e-team,143,False
2015-16,2016,5,mahindra-racing-formula-e-team,105,False
2015-16,2016,6,venturi-formula-e-team,77,False
2015-16,2016,7,andretti-formula-e-team,49,False
2015-16,2016,8,team-aguri,32,False
2015-16,2016,9,nextev-tcr-formula-e-team,19,False
2016-17,2017,1,renault-e-dams,268,True
2016-17,2017,2,abt-schaeffler-audi-sport,248,False
2016-17,2017,3,mahindra-racing,215,False
2016-17,2017,4,ds-virgin-racing,190,False
2016-17,2017,5,techeetah,156,False
2016-17,2017,6,nextev-nio,59,False
2016-17,2017,7,andretti-formula-e,34,False
2016-17,2017,8,faraday-future-dragon-racing,33,False
2016-17,2017,9,venturi-formula-e,30,False
2016-17,2017,10,panasonic-jaguar-racing,27,False
2017-18,2018,1,audi-sport-abt-schaeffler,264,True
2017-18,2018,2,techeetah,262,False
2017-18,2018,3,ds-virgin-racing,160,False
2017-18,2018,4,mahindra-racing,138,False
2017-18,2018,5,renault-e-dams,133,False
2017-18,2018,6,panasonic-jaguar-racing,119,False
2017-18,2018,7,venturi-formula-e-team,72,False
2017-18,2018,8,nio-formula-e-team,47,False
2017-18,2018,9,dragon-racing,41,False
2017-18,2018,10,ms-ad-andretti-formula-e,24,False
2018-19,2019,1,ds-techeetah-formula-e-team,222,True
2018-19,2019,2,audi-sport-abt-schaeffler,203,False
2018-19,2019,3,envision-virgin-racing,191,False
2018-19,2019,4,nissan-e-dams,190,False
2018-19,2019,5,bmw-i-andretti-motorsport,156,False
2018-19,2019,6,mahindra-racing,125,False
2018-19,2019,7,panasonic-jaguar-racing,116,False
2018-19,2019,8,venturi-formula-e-team,88,False
2018-19,2019,9,hwa-racelab,44,False
2018-19,2019,10,geox-dragon,23,False
2018-19,2019,11,nio-formula-e-team,7,False
2019-20,2020,1,ds-techeetah,244,True
2019-20,2020,2,nissan-e-dams,167,False
2019-20,2020,3,mercedes-benz-eq-formula-e-team,147,False
2019-20,2020,4,envision-virgin-racing,121,False
2019-20,2020,5,bmw-i-andretti-motorsport,118,False
2019-20,2020,6,audi-sport-abt-schaeffler,114,False
2019-20,2020,7,panasonic-jaguar-racing,81,False
2019-20,2020,8,tag-heuer-porsche-formula-e-team,79,False
2019-20,2020,9,mahindra-racing,49,False
2019-20,2020,10,rokit-venturi-racing,44,False
2019-20,2020,11,geox-dragon,2,False
2019-20,2020,12,nio-333-fe-team,0,False
2020-21,2021,1,mercedes-eq-formula-e-team,181,True
2020-21,2021,2,jaguar-racing,177,False
2020-21,2021,3,ds-techeetah,166,False
2020-21,2021,4,audi-sport-abt-schaeffler,165,False
2020-21,2021,5,envision-virgin-racing,165,False
2020-21,2021,6,bmw-i-andretti-motorsport,157,False
2020-21,2021,7,rokit-venturi-racing,146,False
2020-21,2021,8,tag-heuer-porsche-formula-e-team,137,False
2020-21,2021,9,mahindra-racing,132,False
2020-21,2021,10,nissan-e-dams,97,False
2020-21,2021,11,dragon-penske-autosport,47,False
2020-21,2021,12,nio-333-fe-team,19,False
2021-22,2022,1,mercedes-eq-formula-e-team,319,True
2021-22,2022,2,rokit-venturi-racing,295,False
2021-22,2022,3,ds-techeetah,266,False
2021-22,2022,4,jaguar-tcs-racing,231,False
2021-22,2022,5,envision-racing,194,False
2021-22,2022,6,avalanche-andretti-formula-e,150,False
2021-22,2022,7,tag-heuer-porsche-formula-e-team,134,False
2021-22,2022,8,mahindra-racing,46,False
2021-22,2022,9,nissan-e-dams,36,False
2021-22,2022,10,nio-333-fe-team,7,False
2021-22,2022,11,dragon-penske-autosport,2,False
2022-23,2023,1,envision-racing,304,True
2022-23,2023,2,jaguar-tcs-racing,292,False
2022-23,2023,3,avalanche-andretti-formula-e,252,False
