seasonKey,seasonNumber,year,label,startYear,endYear,sourceUrl
2014-15,1,2015,2014–15,2014,2015,https://www.fiaformulae.com/en/results-and-standings?season=1
2015-16,2,2016,2015–16,2015,2016,https://www.fiaformulae.com/en/results-and-standings?season=2
2016-17,3,2017,2016–17,2016,2017,https://www.fiaformulae.com/en/results-and-standings?season=3
2017-18,4,2018,2017–18,2017,2018,https://www.fiaformulae.com/en/results-and-standings?season=4
2018-19,5,2019,2018–19,2018,2019,https://www.fiaformulae.com/en/results-and-standings?season=5
2019-20,6,2020,2019–20,2019,2020,https://www.fiaformulae.com/en/results-and-standings?season=6
2020-21,7,2021,2020–21,2020,2021,https://www.fiaformulae.com/en/results-and-standings?season=7
2021-22,8,2022,2021–22,2021,2022,https://www.fiaformulae.com/en/results-and-standings?season=8
2022-23,9,2023,2022–23,2022,2023,https://www.fiaformulae.com/en/results-and-standings?season=9
2023-24,10,2024,2023–24,2023,2024,https://www.fiaformulae.com/en/results-and-standings?season=10
2024-25,11,2025,2024–25,2024,2025,https://www.fiaformulae.com/en/results-and-standings?season=11
2025-26,12,2026,2025–26,2025,2026,https://www.fiaformulae.com/en/results-and-standings?season=12
