sessionId,raceId,seasonKey,year,round,positionDisplayOrder,positionNumber,points,polePosition,status,driverNumber,driverId,constructorId,laps,time,timeMillis,gapMillis,gapLaps,fastestLap,fastestLapNumber,fastestLapTime,fastestLapTimeMillis,averageSpeed
fe-2014-15-r1-beijing-race,fe-2014-15-r1-beijing,2014-15,2015,1,1,1,25,False,,11,lucas-di-grassi,audi-sport-abt-formula-e-team,25,52:23.413,3143413,,,False,19,1:46.718,106718,116.5
fe-2014-15-r1-beijing-race,fe-2014-15-r1-beijing,2014-15,2015,1,3,3,15,False,,2,sam-bird,virgin-racing-formula-e-team,25,+6.559,,6559,,False,21,1:46.563,106563,116.7
fe-2014-15-r1-beijing-race,fe-2014-15-r1-beijing,2014-15,2015,1,8,8,4,False,,99,nelson-piquet-jr,china-racing-formula-e-team,25,+43.896,,43896,,False,18,1:47.819,107819,115.3
fe-2014-15-r1-beijing-race,fe-2014-15-r1-beijing,2014-15,2015,1,10,10,1,False,,66,daniel-abt,audi-sport-abt-formula-e-team,25,+1:02.507,,62507,,False,17,1:46.551,106551,116.7
fe-2014-15-r1-beijing-race,fe-2014-15-r1-beijing,2014-15,2015,1,18,,0,False,NC,9,sebastien-buemi,team-e-dams-renault,14,37:24.671,,,,False,13,1:45.874,105874,117.4
fe-2014-15-r1-beijing-qualifying,fe-2014-15-r1-beijing,2014-15,2015,1,2,2,0,False,,11,lucas-di-grassi,audi-sport-abt-formula-e-team,5,1:42.306,102306,106,,False,5,1:42.306,102306,121.5
fe-2014-15-r1-beijing-qualifying,fe-2014-15-r1-beijing,2014-15,2015,1,3,3,0,False,,66,daniel-abt,audi-sport-abt-formula-e-team,5,1:42.454,102454,254,,False,5,1:42.454,102454,121.3
fe-2014-15-r1-beijing-qualifying,fe-2014-15-r1-beijing,2014-15,2015,1,9,9,0,False,,9,sebastien-buemi,team-e-dams-renault,4,1:42.746,102746,546,,False,3,1:42.746,102746,121
fe-2014-15-r1-beijing-qualifying,fe-2014-15-r1-beijing,2014-15,2015,1,10,10,0,False,,99,nelson-piquet-jr,china-racing-formula-e-team,5,1:42.785,102785,585,,False,5,1:42.785,102785,120.9
fe-2014-15-r1-beijing-qualifying,fe-2014-15-r1-beijing,2014-15,2015,1,12,12,0,False,,2,sam-bird,virgin-racing-formula-e-team,5,1:42.918,102918,718,,False,5,1:42.918,102918,120.8
fe-2014-15-r1-beijing-free-practice-2,fe-2014-15-r1-beijing,2014-15,2015,1,2,2,0,False,,11,lucas-di-grassi,audi-sport-abt-formula-e-team,,1:41.676,101676,,,False,,,,
fe-2014-15-r1-beijing-free-practice-2,fe-2014-15-r1-beijing,2014-15,2015,1,5,5,0,False,,66,daniel-abt,audi-sport-abt-formula-e-team,,1:42.172,102172,,,False,,,,
fe-2014-15-r1-beijing-free-practice-2,fe-2014-15-r1-beijing,2014-15,2015,1,10,10,0,False,,99,nelson-piquet-jr,china-racing-formula-e-team,,1:42.788,102788,,,False,,,,
fe-2014-15-r1-beijing-free-practice-2,fe-2014-15-r1-beijing,2014-15,2015,1,19,19,0,False,,2,sam-bird,virgin-racing-formula-e-team,,1:48.956,108956,,,False,,,,
fe-2014-15-r1-beijing-free-practice-2,fe-2014-15-r1-beijing,2014-15,2015,1,21,20,0,False,,9,sebastien-buemi,team-e-dams-renault,,2:24.162,144162,,,False,,,,
fe-2014-15-r1-beijing-free-practice-1,fe-2014-15-r1-beijing,2014-15,2015,1,1,1,0,False,,11,lucas-di-grassi,audi-sport-abt-formula-e-team,,1:41.937,101937,,,False,,,,
fe-2014-15-r1-beijing-free-practice-1,fe-2014-15-r1-beijing,2014-15,2015,1,2,2,0,False,,9,sebastien-buemi,team-e-dams-renault,,1:42.510,102510,,,False,,,,
