id,raceId,seasonKey,year,round,sessionNumber,code,name,startTimeUtc,endTimeUtc,isRace,cancelled,sourceUrl
fe-2014-15-r1-beijing-free-practice-2,fe-2014-15-r1-beijing,2014-15,2015,1,1,free-practice-2,FP2,2014-09-12T20:30:00Z,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=1-beijing&session=free-practice-2
fe-2014-15-r1-beijing-free-practice-1,fe-2014-15-r1-beijing,2014-15,2015,1,2,free-practice-1,FP1,2014-09-12T18:15:00Z,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=1-beijing&session=free-practice-1
fe-2014-15-r1-beijing-qualifying,fe-2014-15-r1-beijing,2014-15,2015,1,3,qualifying,Qualifying,2014-09-12T22:00:00Z,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=1-beijing&session=qualifying
fe-2014-15-r1-beijing-starting-grid,fe-2014-15-r1-beijing,2014-15,2015,1,4,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=1-beijing&session=race
fe-2014-15-r1-beijing-race,fe-2014-15-r1-beijing,2014-15,2015,1,5,race,Race,2014-09-13T02:06:00Z,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=1-beijing&session=race
fe-2014-15-r2-putrajaya-free-practice,fe-2014-15-r2-putrajaya,2014-15,2015,2,1,free-practice,FP,2014-11-21T23:45:00Z,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=2-putrajaya&session=free-practice
fe-2014-15-r2-putrajaya-qualifying,fe-2014-15-r2-putrajaya,2014-15,2015,2,2,qualifying,Qualifying,2014-11-22T02:00:00Z,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=2-putrajaya&session=qualifying
fe-2014-15-r2-putrajaya-starting-grid,fe-2014-15-r2-putrajaya,2014-15,2015,2,3,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=2-putrajaya&session=race
fe-2014-15-r2-putrajaya-race,fe-2014-15-r2-putrajaya,2014-15,2015,2,4,race,Race,2014-11-22T06:05:00Z,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=2-putrajaya&session=race
fe-2014-15-r3-punta-del-este-free-practice-2,fe-2014-15-r3-punta-del-este,2014-15,2015,3,1,free-practice-2,FP2,2014-12-13T12:30:00Z,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=3-punta-del-este&session=free-practice-2
fe-2014-15-r3-punta-del-este-free-practice-1,fe-2014-15-r3-punta-del-este,2014-15,2015,3,2,free-practice-1,FP1,2014-12-13T10:15:00Z,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=3-punta-del-este&session=free-practice-1
fe-2014-15-r3-punta-del-este-qualifying,fe-2014-15-r3-punta-del-este,2014-15,2015,3,3,qualifying,Qualifying,2014-12-13T14:00:00Z,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=3-punta-del-este&session=qualifying
fe-2014-15-r3-punta-del-este-starting-grid,fe-2014-15-r3-punta-del-este,2014-15,2015,3,4,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=3-punta-del-este&session=race
fe-2014-15-r3-punta-del-este-race,fe-2014-15-r3-punta-del-este,2014-15,2015,3,5,race,Race,2014-12-13T18:04:00Z,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=3-punta-del-este&session=race
fe-2014-15-r4-buenos-aires-free-practice-2,fe-2014-15-r4-buenos-aires,2014-15,2015,4,1,free-practice-2,FP2,2015-01-10T13:30:00Z,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=4-buenos-aires&session=free-practice-2
fe-2014-15-r4-buenos-aires-free-practice-1,fe-2014-15-r4-buenos-aires,2014-15,2015,4,2,free-practice-1,FP1,2015-01-10T11:15:00Z,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=1&round=4-buenos-aires&session=free-practice-1
