id,seasonId,name,entityType,classId,classIds,sourceUrl
wec-2012-lmp1-drivers,wec-2012,2012 FIAWEC DRIVERS WORLD CHAMPIONSHIP AFTER SHANGHAI,driver,wec-2012-lmp1,wec-2012-lmp1|wec-2012-lmp2|wec-2012-lmgte-pro|wec-2012-lmgte-am|wec-2012-cdnt,https://fiawec.alkamelsystems.com/Results/02_2012/08_SHANGHAI%20INTERNATIONAL%20CIRCUIT/29_FIA%20WEC/201210281100_Race/Hour%206/98_2012_FIAWEC_Drivers_World_Championship_after_Shanghai.PDF
wec-2012-lmp1-manufacturers,wec-2012,2012 FIAWEC LMP1 MANUFACTURERS WORLD CHAMPIONSHIP AFTER SHANGHAI,manufacturer,wec-2012-lmp1,wec-2012-lmp1,https://fiawec.alkamelsystems.com/Results/02_2012/08_SHANGHAI%20INTERNATIONAL%20CIRCUIT/29_FIA%20WEC/201210281100_Race/Hour%206/98_2012_FIAWEC_LMP1_Manufacturers_World_Championship_after_Shanghai.PDF
wec-2012-lmgte-pro-manufacturers,wec-2012,2012 LMGTE MANUFACTURERS WORLD CUP AFTER SHANGHAI,manufacturer,wec-2012-lmgte-pro,wec-2012-lmgte-pro|wec-2012-lmgte-am,https://fiawec.alkamelsystems.com/Results/02_2012/08_SHANGHAI%20INTERNATIONAL%20CIRCUIT/29_FIA%20WEC/201210281100_Race/Hour%206/98_2012_LMGTE_Manufacturers_World_Cup_after_Shanghai.PDF
wec-2012-lmp1-private-teams,wec-2012,FIA Endurance Trophy for Private LMP1 Teams,team,wec-2012-lmp1,wec-2012-lmp1,https://fiawec.alkamelsystems.com/Results/02_2012/08_SHANGHAI%20INTERNATIONAL%20CIRCUIT/29_FIA%20WEC/201210281100_Race/Hour%206/98_2012_Teams_Trophy_after_Shanghai.PDF
wec-2012-lmp2-teams,wec-2012,FIA Endurance Trophy for LMP2 Teams,team,wec-2012-lmp2,wec-2012-lmp2,https://fiawec.alkamelsystems.com/Results/02_2012/08_SHANGHAI%20INTERNATIONAL%20CIRCUIT/29_FIA%20WEC/201210281100_Race/Hour%206/98_2012_Teams_Trophy_after_Shanghai.PDF
wec-2012-lmgte-pro-teams,wec-2012,FIA Endurance Trophy for LMGTE Pro Teams,team,wec-2012-lmgte-pro,wec-2012-lmgte-pro,https://fiawec.alkamelsystems.com/Results/02_2012/08_SHANGHAI%20INTERNATIONAL%20CIRCUIT/29_FIA%20WEC/201210281100_Race/Hour%206/98_2012_Teams_Trophy_after_Shanghai.PDF
wec-2012-lmgte-am-teams,wec-2012,FIA Endurance Trophy for LMGTE Am Teams,team,wec-2012-lmgte-am,wec-2012-lmgte-am,https://fiawec.alkamelsystems.com/Results/02_2012/08_SHANGHAI%20INTERNATIONAL%20CIRCUIT/29_FIA%20WEC/201210281100_Race/Hour%206/98_2012_Teams_Trophy_after_Shanghai.PDF
wec-2013-lmgte-pro-drivers,wec-2013,FIAWEC FINAL GT DRIVERS ENDURANCE CUP CLASSIFICATION AFTER BAHRAIN,driver,wec-2013-lmgte-pro,wec-2013-lmgte-pro|wec-2013-lmgte-am,https://fiawec.alkamelsystems.com/Results/03_2013/09_BAHRAIN%20INTERNATIONAL%20CIRCUIT/27_FIA%20WEC/201311301500_Race/zz_Championships/FIAWEC_FINAL_GT_DRIVERS_ENDURANCE_CUP_CLASSIFICATION_AFTER_BAHRAIN.pdf
wec-2013-lmgte-pro-manufacturers,wec-2013,FIAWEC FINAL GT MANUFACTURERS ENDURANCE CUP CLASSIFICATION AFTER BAHRAIN,manufacturer,wec-2013-lmgte-pro,wec-2013-lmgte-pro|wec-2013-lmgte-am,https://fiawec.alkamelsystems.com/Results/03_2013/09_BAHRAIN%20INTERNATIONAL%20CIRCUIT/27_FIA%20WEC/201311301500_Race/zz_Championships/FIAWEC_FINAL_GT_MANUFACTURERS_ENDURANCE_CUP_CLASSIFICATION_AFTER_BAHRAIN.pdf
wec-2013-lmgte-am-drivers,wec-2013,FIAWEC FINAL LMGTE AM DRIVERS ENDURANCE TROPHY AFTER BAHRAIN,driver,wec-2013-lmgte-am,wec-2013-lmgte-am,https://fiawec.alkamelsystems.com/Results/03_2013/09_BAHRAIN%20INTERNATIONAL%20CIRCUIT/27_FIA%20WEC/201311301500_Race/zz_Championships/FIAWEC_FINAL_LMGTE_AM_DRIVERS_ENDURANCE_TROPHY_AFTER_BAHRAIN.pdf
wec-2013-lmgte-am-teams,wec-2013,FIAWEC FINAL LMGTE AM TEAMS TROPHY AFTER BAHRAIN,competitor,wec-2013-lmgte-am,wec-2013-lmgte-am,https://fiawec.alkamelsystems.com/Results/03_2013/09_BAHRAIN%20INTERNATIONAL%20CIRCUIT/27_FIA%20WEC/201311301500_Race/zz_Championships/FIAWEC_FINAL_LMGTE_AM_TEAMS_TROPHY_AFTER_BAHRAIN.pdf
wec-2013-lmgte-pro-teams,wec-2013,FIAWEC FINAL LMGTE PRO TEAMS ENDURANCE TROPHY AFTER BAHRAIN,competitor,wec-2013-lmgte-pro,wec-2013-lmgte-pro,https://fiawec.alkamelsystems.com/Results/03_2013/09_BAHRAIN%20INTERNATIONAL%20CIRCUIT/27_FIA%20WEC/201311301500_Race/zz_Championships/FIAWEC_FINAL_LMGTE_PRO_TEAMS_ENDURANCE_TROPHY_AFTER_BAHRAIN.pdf
wec-2013-lmp1-private-teams,wec-2013,FIAWEC FINAL LMP1 PRIVATE TEAMS ENDURANCE TROPHY AFTER BAHRAIN,competitor,wec-2013-lmp1,wec-2013-lmp1,https://fiawec.alkamelsystems.com/Results/03_2013/09_BAHRAIN%20INTERNATIONAL%20CIRCUIT/27_FIA%20WEC/201311301500_Race/zz_Championships/FIAWEC_FINAL_LMP1_PRIVATE_TEAMS_ENDURANCE_TROPHY_AFTER_BAHRAIN.pdf
wec-2013-lmp2-drivers,wec-2013,FIAWEC FINAL LMP2 DRIVERS ENDURANCE TROPHY AFTER BAHRAIN,driver,wec-2013-lmp2,wec-2013-lmp2,https://fiawec.alkamelsystems.com/Results/03_2013/09_BAHRAIN%20INTERNATIONAL%20CIRCUIT/27_FIA%20WEC/201311301500_Race/zz_Championships/FIAWEC_FINAL_LMP2_DRIVERS_ENDURANCE_TROPHY_AFTER_BAHRAIN.pdf
wec-2013-lmp2-teams,wec-2013,FIAWEC FINAL LMP2 TEAMS ENDURANCE TROPHY AFTER BAHRAIN,competitor,wec-2013-lmp2,wec-2013-lmp2,https://fiawec.alkamelsystems.com/Results/03_2013/09_BAHRAIN%20INTERNATIONAL%20CIRCUIT/27_FIA%20WEC/201311301500_Race/zz_Championships/FIAWEC_FINAL_LMP2_TEAMS_ENDURANCE_TROPHY_AFTER_BAHRAIN.pdf
wec-2013-lmp1-drivers,wec-2013,FIAWEC FINAL LMP DRIVERS CHAMPIONSHIP CLASSIFICATION AFTER BAHRAIN,driver,wec-2013-lmp1,wec-2013-lmp1|wec-2013-lmp2,https://fiawec.alkamelsystems.com/Results/03_2013/09_BAHRAIN%20INTERNATIONAL%20CIRCUIT/27_FIA%20WEC/201311301500_Race/zz_Championships/FIAWEC_FINAL_LMP_DRIVERS_CHAMPIONSHIP_CLASSIFICATION_AFTER_BAHRAIN.pdf
wec-2013-lmp1-manufacturers,wec-2013,FIAWEC FINAL MANUFACTURER CHAMPIONSHIP CLASSIFICATION AFTER BAHRAIN,manufacturer,wec-2013-lmp1,wec-2013-lmp1,https://fiawec.alkamelsystems.com/Results/03_2013/09_BAHRAIN%20INTERNATIONAL%20CIRCUIT/27_FIA%20WEC/201311301500_Race/zz_Championships/FIAWEC_FINAL_MANUFACTURER_CHAMPIONSHIP_CLASSIFICATION_AFTER_BAHRAIN.pdf
wec-2014-lmgte-pro-drivers,wec-2014,FIAWEC GT DRIVERS ENDURANCE CUP CLASSIFICATION AFTER SAO PAULO,driver,wec-2014-lmgte-pro,wec-2014-lmgte-pro|wec-2014-lmgte-am,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_GT_DRIVERS_ENDURANCE_CUP_CLASSIFICATION_AFTER_SAO_PAULO.pdf
wec-2014-lmgte-pro-manufacturers,wec-2014,FIAWEC GT MANUFACTURERS ENDURANCE CUP CLASSIFICATION AFTER SAO PAULO,manufacturer,wec-2014-lmgte-pro,wec-2014-lmgte-pro|wec-2014-lmgte-am,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_GT_MANUFACTURERS_ENDURANCE_CUP_CLASSIFICATION_AFTER_SAO_PAULO.pdf
wec-2014-lmgte-am-drivers,wec-2014,FIAWEC LMGTE AM DRIVERS ENDURANCE TROPHY AFTER SAO PAULO,driver,wec-2014-lmgte-am,wec-2014-lmgte-am,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_LMGTE_AM_DRIVERS_ENDURANCE_TROPHY_AFTER_SAO_PAULO.pdf
wec-2014-lmgte-am-teams,wec-2014,FIAWEC LMGTE AM TEAMS TROPHY AFTER SAO PAULO,competitor,wec-2014-lmgte-am,wec-2014-lmgte-am,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_LMGTE_AM_TEAMS_TROPHY_AFTER_SAO_PAULO.pdf
wec-2014-lmgte-pro-teams,wec-2014,FIAWEC LMGTE PRO TEAMS ENDURANCE TROPHY AFTER SAO PAULO,competitor,wec-2014-lmgte-pro,wec-2014-lmgte-pro,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_LMGTE_PRO_TEAMS_ENDURANCE_TROPHY_AFTER_SAO_PAULO.pdf
wec-2014-lmp1-private-drivers,wec-2014,FIAWEC LMP1 PRIVATE TEAMS DRIVERS TROPHY CLASSIFICATION AFTER SAO PAULO,driver,wec-2014-lmp1,wec-2014-lmp1,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_LMP1_PRIVATE_TEAMS_DRIVERS_TROPHY_CLASSIFICATION_AFTER_SAO_PAULO.pdf
wec-2014-lmp1-private-teams,wec-2014,FIAWEC LMP1 PRIVATE TEAMS ENDURANCE TROPHY AFTER SAO PAULO,competitor,wec-2014-lmp1,wec-2014-lmp1,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_LMP1_PRIVATE_TEAMS_ENDURANCE_TROPHY_AFTER_SAO_PAULO.pdf
wec-2014-lmp2-drivers,wec-2014,FIAWEC LMP2 DRIVERS ENDURANCE TROPHY AFTER SAO PAULO,driver,wec-2014-lmp2,wec-2014-lmp2,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_LMP2_DRIVERS_ENDURANCE_TROPHY_AFTER_SAO_PAULO.pdf
wec-2014-lmp2-teams,wec-2014,FIAWEC LMP2 TEAMS ENDURANCE TROPHY AFTER SAO PAULO,competitor,wec-2014-lmp2,wec-2014-lmp2,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_LMP2_TEAMS_ENDURANCE_TROPHY_AFTER_SAO_PAULO.pdf
wec-2014-lmp1-drivers,wec-2014,FIAWEC LMP DRIVERS CHAMPIONSHIP CLASSIFICATION AFTER SAO PAULO,driver,wec-2014-lmp1,wec-2014-lmp1|wec-2014-lmp2,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_LMP_DRIVERS_CHAMPIONSHIP_CLASSIFICATION_AFTER_SAO_PAULO.pdf
wec-2014-lmp1-manufacturers,wec-2014,FIAWEC MANUFACTURER CHAMPIONSHIP CLASSIFICATION AFTER SAO PAULO,manufacturer,wec-2014-lmp1,wec-2014-lmp1,https://fiawec.alkamelsystems.com/Results/04_2014/08_INTERLAGOS/73_FIA%20WEC/201411301300_Race/Championships/FIAWEC_MANUFACTURER_CHAMPIONSHIP_CLASSIFICATION_AFTER_SAO_PAULO.pdf
wec-2015-lmgte-pro-drivers,wec-2015,FIAWEC GT DRIVERS ENDURANCE CUP CLASSIFICATION AFTER BAHRAIN,driver,wec-2015-lmgte-pro,wec-2015-lmgte-pro|wec-2015-lmgte-am,https://fiawec.alkamelsystems.com/Results/05_2015/08_BAHRAIN%20INTERNATIONAL%20CIRCUIT/102_FIA%20WEC/201511211500_Race/Championships/FIAWEC_GT_DRIVERS_ENDURANCE_CUP_CLASSIFICATION_AFTER_BAHRAIN.pdf
wec-2015-lmgte-pro-manufacturers,wec-2015,FIAWEC GT MANUFACTURERS ENDURANCE CUP CLASSIFICATION AFTER BAHRAIN,manufacturer,wec-2015-lmgte-pro,wec-2015-lmgte-pro|wec-2015-lmgte-am,https://fiawec.alkamelsystems.com/Results/05_2015/08_BAHRAIN%20INTERNATIONAL%20CIRCUIT/102_FIA%20WEC/201511211500_Race/Championships/FIAWEC_GT_MANUFACTURERS_ENDURANCE_CUP_CLASSIFICATION_AFTER_BAHRAIN.pdf
wec-2015-lmgte-am-drivers,wec-2015,FIAWEC LMGTE AM DRIVERS ENDURANCE TROPHY AFTER BAHRAIN,driver,wec-2015-lmgte-am,wec-2015-lmgte-am,https://fiawec.alkamelsystems.com/Results/05_2015/08_BAHRAIN%20INTERNATIONAL%20CIRCUIT/102_FIA%20WEC/201511211500_Race/Championships/FIAWEC_LMGTE_AM_DRIVERS_ENDURANCE_TROPHY_AFTER_BAHRAIN.pdf
