id,seasonId,classId,carNumber,teamId,manufacturerId,carModelId,championshipEligible
wec-2012-lmp1-2,wec-2012,wec-2012-lmp1,2,audi-sport-team-joest,audi,audi-r18-e-tron-quattro,true
wec-2012-lmp1-3,wec-2012,wec-2012-lmp1,3,audi-sport-team-joest,audi,audi-r18-ultra,true
wec-2012-lmp2-44,wec-2012,wec-2012-lmp2,44,starworks-motorsports,hpd,hpd-arx-03b-honda,true
wec-2012-lmp2-24,wec-2012,wec-2012-lmp2,24,oak-racing,morgan,morgan-nissan,true
wec-2012-lmp1-16,wec-2012,wec-2012-lmp1,16,pescarolo-team,pescarolo,pescarolo-03-judd,true
wec-2012-lmp2-49,wec-2012,wec-2012-lmp2,49,pecom-racing,oreca,oreca-03-nissan,true
wec-2012-lmp2-41,wec-2012,wec-2012-lmp2,41,greaves-motorsport,zytek,zytek-z11sn-nissan,true
wec-2012-lmp1-21,wec-2012,wec-2012-lmp1,21,strakka-racing,hpd,hpd-arx-03a-honda,true
wec-2012-lmp2-25,wec-2012,wec-2012-lmp2,25,adr-delta,oreca,oreca-03-nissan,true
wec-2012-lmp2-31,wec-2012,wec-2012-lmp2,31,lotus,lola,lola-b12-80-coupe-lotus,true
wec-2012-lmp1-1,wec-2012,wec-2012-lmp1,1,audi-sport-team-joest,audi,audi-r18-e-tron-quattro,true
wec-2012-lmp1-22,wec-2012,wec-2012-lmp1,22,jrm,hpd,hpd-arx-03a-honda,true
wec-2012-lmgte-pro-71,wec-2012,wec-2012-lmgte-pro,71,af-corse,ferrari,ferrari-f458-italia,true
wec-2012-lmgte-pro-77,wec-2012,wec-2012-lmgte-pro,77,team-felbermayr-proton,porsche,porsche-911-rsr-997,true
wec-2012-lmgte-am-88,wec-2012,wec-2012-lmgte-am,88,team-felbermayr-proton,porsche,porsche-911-rsr-997,true
wec-2012-lmgte-am-70,wec-2012,wec-2012-lmgte-am,70,larbre-competition,chevrolet,chevrolet-corvette-c6-zr1,true
wec-2012-lmp1-12,wec-2012,wec-2012-lmp1,12,rebellion-racing,lola,lola-b12-60-coupe-toyota,true
wec-2012-lmgte-pro-97,wec-2012,wec-2012-lmgte-pro,97,aston-martin-racing,aston-martin,aston-martin-vantage-v8,true
wec-2012-lmp1-13,wec-2012,wec-2012-lmp1,13,rebellion-racing,lola,lola-b12-60-coupe-toyota,true
wec-2012-lmgte-am-50,wec-2012,wec-2012-lmgte-am,50,larbre-competition,chevrolet,chevrolet-corvette-c6-zr1,true
wec-2012-lmgte-am-61,wec-2012,wec-2012-lmgte-am,61,af-corse-waltrip,ferrari,ferrari-f458-italia,true
wec-2012-lmp2-28,wec-2012,wec-2012-lmp2,28,gulf-racing-middle-east,lola,lola-b12-80-coupe-nissan,true
wec-2012-lmgte-am-57,wec-2012,wec-2012-lmgte-am,57,krohn-racing,ferrari,ferrari-f458-italia,true
wec-2012-lmgte-am-55,wec-2012,wec-2012-lmgte-am,55,jwa-avila,porsche,porsche-911-rsr-997,true
wec-2012-lmp1-15,wec-2012,wec-2012-lmp1,15,oak-racing,oak,oak-pescarolo-honda,true
wec-2012-lmp2-23,wec-2012,wec-2012-lmp2,23,signatech-nissan,oreca,oreca-03-nissan,true
wec-2012-lmgte-pro-59,wec-2012,wec-2012-lmgte-pro,59,luxury-racing,ferrari,ferrari-458-italia,true
wec-2012-lmgte-am-58,wec-2012,wec-2012-lmgte-am,58,luxury-racing,ferrari,ferrari-458-italia,true
wec-2012-lmgte-pro-51,wec-2012,wec-2012-lmgte-pro,51,af-corse,ferrari,ferrari-f458-italia,true
wec-2012-lmp1-4,wec-2012,wec-2012-lmp1,4,audi-sport-north-america,audi,audi-r18-ultra,true
wec-2012-lmp2-38,wec-2012,wec-2012-lmp2,38,jota,zytek,zytek-z11sn-nissan,true
wec-2012-lmp2-48,wec-2012,wec-2012-lmp2,48,murphy-prototypes,oreca,oreca-03-nissan,true
wec-2012-lmp2-35,wec-2012,wec-2012-lmp2,35,oak-racing,morgan,morgan-nissan,true
wec-2012-lmp2-45,wec-2012,wec-2012-lmp2,45,boutsen-ginion-racing,oreca,oreca-03-nissan,true
wec-2012-lmp1-17,wec-2012,wec-2012-lmp1,17,pescarolo-team,dome,dome-judd,true
wec-2012-lmgte-am-67,wec-2012,wec-2012-lmgte-am,67,imsa-performance-matmut,porsche,porsche-911-rsr-997,true
wec-2012-lmp2-29,wec-2012,wec-2012-lmp2,29,gulf-racing-middle-east,lola,lola-b12-80-coupe-nissan,true
wec-2012-lmgte-am-81,wec-2012,wec-2012-lmgte-am,81,af-corse,ferrari,ferrari-458-italia,true
wec-2012-lmp2-32,wec-2012,wec-2012-lmp2,32,lotus,lola,lola-b12-80-coupe-lotus,true
wec-2012-lmp2-26,wec-2012,wec-2012-lmp2,26,signatech-nissan,oreca,oreca-03-nissan,true
wec-2012-lmp2-43,wec-2012,wec-2012-lmp2,43,extreme-limit-aric,norma,norma-mp-2000-judd,true
