id,name,abbreviation,nationalityCountryId
dindo-capello,Dindo Capello,DC,italy
tom-kristensen,Tom Kristensen,TK,denmark
allan-mcnish,Allan Mcnish,AM,united-kingdom
timo-bernhard,Timo Bernhard,TB,germany
romain-dumas,Romain Dumas,RD,france
loic-duval,Loic Duval,LD,france
vicente-potolicchio,Vicente Potolicchio,VP,venezuela
ryan-dalziel,Ryan Dalziel,RD,united-kingdom
stephane-sarrazin,Stéphane Sarrazin,SS,france
jacques-nicolet,Jacques Nicolet,JN,france
matthieu-lahaye,Matthieu Lahaye,ML,france
olivier-pla,Olivier Pla,OP,france
emmanuel-collard,Emmanuel Collard,EC,france
jean-christophe-boullion,Jean-Christophe Boullion,JB,france
julien-jousse,Julien Jousse,JJ,france
luis-perez-companc,Luis Perez Companc,LPC,argentina
soheil-ayari,Soheil Ayari,SA,france
pierre-kaffer,Pierre Kaffer,PK,germany
christian-zugel,Christian Zugel,CZ,germany
ricardo-gonzalez,Ricardo Gonzalez,RG,mexico
elton-julian,Elton Julian,EJ,ecuador
nick-leventis,Nick Leventis,NL,united-kingdom
danny-watts,Danny Watts,DW,united-kingdom
jonny-kane,Jonny Kane,JK,united-kingdom
tor-graves,Tor Graves,TG,united-kingdom
robbie-kerr,Robbie Kerr,RK,united-kingdom
john-martin,John Martin,JM,australia
thomas-holzer,Thomas Holzer,TH,germany
mirco-schultis,Mirco Schultis,MS,germany
luca-moro,Luca Moro,LM,italy
marcel-fassler,Marcel Fässler,MF,switzerland
andre-lotterer,André Lotterer,AL,germany
benoit-treluyer,Benoit Tréluyer,BT,france
david-brabham,David Brabham,DB,australia
karun-chandhok,Karun Chandhok,KC,india
peter-dumbreck,Peter Dumbreck,PD,united-kingdom
andrea-bertolini,Andrea Bertolini,AB,italy
olivier-beretta,Olivier Beretta,OB,monaco
marco-cioci,Marco Cioci,MC,italy
marc-lieb,Marc Lieb,ML,germany
richard-lietz,Richard Lietz,RL,austria
patrick-pilet,Patrick Pilet,PP,france
christian-ried,Christian Ried,CR,germany
gianluca-roda,Gianluca Roda,GR,italy
paolo-ruberti,Paolo Ruberti,PR,italy
jean-philippe-belloc,Jean-Philippe Belloc,JB,france
christophe-bourret,Christophe Bourret,CB,france
pascal-gibon,Pascal Gibon,PG,france
