id,eventId,seasonId,classId,competitorId,carNumber,teamId,manufacturerId,carModelId,championshipEligible
wec-2012-r1-sebring-2,wec-2012-r1-sebring,wec-2012,wec-2012-lmp1,wec-2012-lmp1-2,2,audi-sport-team-joest,audi,audi-r18,true
wec-2012-r1-sebring-3,wec-2012-r1-sebring,wec-2012,wec-2012-lmp1,wec-2012-lmp1-3,3,audi-sport-team-joest,audi,audi-r18,true
wec-2012-r1-sebring-44,wec-2012-r1-sebring,wec-2012,wec-2012-lmp2,wec-2012-lmp2-44,44,starworks-motorsports,hpd,hpd-arx-03b-honda,true
wec-2012-r1-sebring-24,wec-2012-r1-sebring,wec-2012,wec-2012-lmp2,wec-2012-lmp2-24,24,oak-racing,morgan,morgan-judd,true
wec-2012-r1-sebring-16,wec-2012-r1-sebring,wec-2012,wec-2012-lmp1,wec-2012-lmp1-16,16,pescarolo-team,pescarolo,pescarolo-judd,true
wec-2012-r1-sebring-49,wec-2012-r1-sebring,wec-2012,wec-2012-lmp2,wec-2012-lmp2-49,49,pecom-racing,oreca,oreca-03-nissan,true
wec-2012-r1-sebring-41,wec-2012-r1-sebring,wec-2012,wec-2012-lmp2,wec-2012-lmp2-41,41,greaves-motorsport,zytek,zytek-z11sn-nissan,true
wec-2012-r1-sebring-21,wec-2012-r1-sebring,wec-2012,wec-2012-lmp1,wec-2012-lmp1-21,21,strakka-racing,hpd,hpd-arx-03a-honda,true
wec-2012-r1-sebring-25,wec-2012-r1-sebring,wec-2012,wec-2012-lmp2,wec-2012-lmp2-25,25,adr-delta,oreca,oreca-03-nissan,true
wec-2012-r1-sebring-31,wec-2012-r1-sebring,wec-2012,wec-2012-lmp2,wec-2012-lmp2-31,31,lotus,lola,lola-b12-80-coupe-lotus,true
wec-2012-r1-sebring-1,wec-2012-r1-sebring,wec-2012,wec-2012-lmp1,wec-2012-lmp1-1,1,audi-sport-team-joest,audi,audi-r18,true
wec-2012-r1-sebring-22,wec-2012-r1-sebring,wec-2012,wec-2012-lmp1,wec-2012-lmp1-22,22,jrm,hpd,hpd-arx-03a-honda,true
wec-2012-r1-sebring-71,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-pro,wec-2012-lmgte-pro-71,71,af-corse,ferrari,ferrari-f458-italia,true
wec-2012-r1-sebring-77,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-pro,wec-2012-lmgte-pro-77,77,team-felbermayr-proton,porsche,porsche-911-rsr-997,true
wec-2012-r1-sebring-88,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-am,wec-2012-lmgte-am-88,88,team-felbermayr-proton,porsche,porsche-911-rsr-997,true
wec-2012-r1-sebring-70,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-am,wec-2012-lmgte-am-70,70,larbre-competition,chevrolet,chevrolet-corvette-c6-zr1,true
wec-2012-r1-sebring-12,wec-2012-r1-sebring,wec-2012,wec-2012-lmp1,wec-2012-lmp1-12,12,rebellion-racing,lola,lola-b12-60-coupe-toyota,true
wec-2012-r1-sebring-97,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-pro,wec-2012-lmgte-pro-97,97,aston-martin-racing,aston-martin,aston-martin-vantage-v8,true
wec-2012-r1-sebring-13,wec-2012-r1-sebring,wec-2012,wec-2012-lmp1,wec-2012-lmp1-13,13,rebellion-racing,lola,lola-b12-60-coupe-toyota,true
wec-2012-r1-sebring-50,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-am,wec-2012-lmgte-am-50,50,larbre-competition,chevrolet,chevrolet-corvette-c6-zr1,true
wec-2012-r1-sebring-61,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-am,wec-2012-lmgte-am-61,61,af-corse-waltrip,ferrari,ferrari-f458-italia,true
wec-2012-r1-sebring-28,wec-2012-r1-sebring,wec-2012,wec-2012-lmp2,wec-2012-lmp2-28,28,gulf-racing-middle-east,lola,lola-b12-80-coupe-nissan,true
wec-2012-r1-sebring-57,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-am,wec-2012-lmgte-am-57,57,krohn-racing,ferrari,ferrari-f458-italia,true
wec-2012-r1-sebring-55,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-am,wec-2012-lmgte-am-55,55,jwa-avila,porsche,porsche-911-rsr-997,true
wec-2012-r1-sebring-15,wec-2012-r1-sebring,wec-2012,wec-2012-lmp1,wec-2012-lmp1-15,15,oak-racing,oak,oak-pescarolo-judd,true
wec-2012-r1-sebring-23,wec-2012-r1-sebring,wec-2012,wec-2012-lmp2,wec-2012-lmp2-23,23,signatech-nissan,oreca,oreca-03-nissan,true
wec-2012-r1-sebring-59,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-pro,wec-2012-lmgte-pro-59,59,luxury-racing,ferrari,ferrari-f458-italia,true
wec-2012-r1-sebring-58,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-am,wec-2012-lmgte-am-58,58,luxury-racing,ferrari,ferrari-f458-italia,true
wec-2012-r1-sebring-51,wec-2012-r1-sebring,wec-2012,wec-2012-lmgte-pro,wec-2012-lmgte-pro-51,51,af-corse,ferrari,ferrari-f458-italia,true
wec-2012-r2-spa-3,wec-2012-r2-spa,wec-2012,wec-2012-lmp1,wec-2012-lmp1-3,3,audi-sport-team-joest,audi,audi-r18-ultra,true
