entryId,eventId,driverId,crewOrder,category,championshipEligible
wec-2012-r1-sebring-2,wec-2012-r1-sebring,dindo-capello,1,platinum,true
wec-2012-r1-sebring-2,wec-2012-r1-sebring,tom-kristensen,2,platinum,true
wec-2012-r1-sebring-2,wec-2012-r1-sebring,allan-mcnish,3,platinum,true
wec-2012-r1-sebring-3,wec-2012-r1-sebring,timo-bernhard,1,platinum,true
wec-2012-r1-sebring-3,wec-2012-r1-sebring,romain-dumas,2,platinum,true
wec-2012-r1-sebring-3,wec-2012-r1-sebring,loic-duval,3,platinum,true
wec-2012-r1-sebring-44,wec-2012-r1-sebring,vicente-potolicchio,1,silver,true
wec-2012-r1-sebring-44,wec-2012-r1-sebring,ryan-dalziel,2,platinum,true
wec-2012-r1-sebring-44,wec-2012-r1-sebring,stephane-sarrazin,3,platinum,true
wec-2012-r1-sebring-24,wec-2012-r1-sebring,jacques-nicolet,1,silver,true
wec-2012-r1-sebring-24,wec-2012-r1-sebring,matthieu-lahaye,2,gold,true
wec-2012-r1-sebring-24,wec-2012-r1-sebring,olivier-pla,3,platinum,true
wec-2012-r1-sebring-16,wec-2012-r1-sebring,emmanuel-collard,1,platinum,true
wec-2012-r1-sebring-16,wec-2012-r1-sebring,jean-christophe-boullion,2,platinum,true
wec-2012-r1-sebring-16,wec-2012-r1-sebring,julien-jousse,3,platinum,true
wec-2012-r1-sebring-49,wec-2012-r1-sebring,luis-perez-companc,1,silver,true
wec-2012-r1-sebring-49,wec-2012-r1-sebring,soheil-ayari,2,platinum,true
wec-2012-r1-sebring-49,wec-2012-r1-sebring,pierre-kaffer,3,platinum,true
wec-2012-r1-sebring-41,wec-2012-r1-sebring,christian-zugel,1,bronze,true
wec-2012-r1-sebring-41,wec-2012-r1-sebring,ricardo-gonzalez,2,silver,true
wec-2012-r1-sebring-41,wec-2012-r1-sebring,elton-julian,3,gold,true
wec-2012-r1-sebring-21,wec-2012-r1-sebring,nick-leventis,1,silver,true
wec-2012-r1-sebring-21,wec-2012-r1-sebring,danny-watts,2,platinum,true
wec-2012-r1-sebring-21,wec-2012-r1-sebring,jonny-kane,3,platinum,true
wec-2012-r1-sebring-25,wec-2012-r1-sebring,tor-graves,1,silver,true
wec-2012-r1-sebring-25,wec-2012-r1-sebring,robbie-kerr,2,platinum,true
wec-2012-r1-sebring-25,wec-2012-r1-sebring,john-martin,3,gold,true
wec-2012-r1-sebring-31,wec-2012-r1-sebring,thomas-holzer,1,silver,true
wec-2012-r1-sebring-31,wec-2012-r1-sebring,mirco-shultis,2,silver,true
wec-2012-r1-sebring-31,wec-2012-r1-sebring,luca-moro,3,bronze,true
wec-2012-r1-sebring-1,wec-2012-r1-sebring,marcel-fassler,1,platinum,true
wec-2012-r1-sebring-1,wec-2012-r1-sebring,andre-lotterer,2,platinum,true
wec-2012-r1-sebring-1,wec-2012-r1-sebring,benoit-treluyer,3,platinum,true
wec-2012-r1-sebring-22,wec-2012-r1-sebring,david-brabham,1,platinum,true
wec-2012-r1-sebring-22,wec-2012-r1-sebring,karun-chandhok,2,platinum,true
wec-2012-r1-sebring-22,wec-2012-r1-sebring,peter-dumbreck,3,platinum,true
wec-2012-r1-sebring-71,wec-2012-r1-sebring,andrea-bertolini,1,platinum,true
wec-2012-r1-sebring-71,wec-2012-r1-sebring,olivier-beretta,2,platinum,true
wec-2012-r1-sebring-71,wec-2012-r1-sebring,marco-cioci,3,gold,true
wec-2012-r1-sebring-77,wec-2012-r1-sebring,marc-lieb,1,platinum,true
wec-2012-r1-sebring-77,wec-2012-r1-sebring,richard-lietz,2,platinum,true
wec-2012-r1-sebring-77,wec-2012-r1-sebring,patrick-pilet,3,platinum,true
wec-2012-r1-sebring-88,wec-2012-r1-sebring,christian-ried,1,silver,true
wec-2012-r1-sebring-88,wec-2012-r1-sebring,gianluca-roda,2,silver,true
wec-2012-r1-sebring-88,wec-2012-r1-sebring,paolo-ruberti,3,gold,true
wec-2012-r1-sebring-70,wec-2012-r1-sebring,jean-phillipe-belloc,1,gold,true
wec-2012-r1-sebring-70,wec-2012-r1-sebring,christophe-bourret,2,silver,true
wec-2012-r1-sebring-70,wec-2012-r1-sebring,pascal-gibon,3,silver,true
wec-2012-r1-sebring-12,wec-2012-r1-sebring,nicolas-prost,1,platinum,true
wec-2012-r1-sebring-12,wec-2012-r1-sebring,neel-jani,2,platinum,true
wec-2012-r1-sebring-12,wec-2012-r1-sebring,nick-heidfeld,3,platinum,true
wec-2012-r1-sebring-97,wec-2012-r1-sebring,adrian-fernandez,1,platinum,true
wec-2012-r1-sebring-97,wec-2012-r1-sebring,stefan-mucke,2,platinum,true
wec-2012-r1-sebring-97,wec-2012-r1-sebring,darren-turner,3,platinum,true
wec-2012-r1-sebring-13,wec-2012-r1-sebring,andrea-belicchi,1,platinum,true
wec-2012-r1-sebring-13,wec-2012-r1-sebring,harold-primat,2,gold,true
wec-2012-r1-sebring-13,wec-2012-r1-sebring,jeroen-bleekemolen,3,platinum,true
wec-2012-r1-sebring-50,wec-2012-r1-sebring,patrick-bornhauser,1,silver,true
wec-2012-r1-sebring-50,wec-2012-r1-sebring,julien-canal,2,silver,true
wec-2012-r1-sebring-50,wec-2012-r1-sebring,pedro-lamy,3,platinum,true
wec-2012-r1-sebring-61,wec-2012-r1-sebring,robert-kauffman,1,bronze,true
wec-2012-r1-sebring-61,wec-2012-r1-sebring,michael-waltrip,2,platinum,true
wec-2012-r1-sebring-61,wec-2012-r1-sebring,rui-aguas,3,silver,true
wec-2012-r1-sebring-28,wec-2012-r1-sebring,fabien-giroix,1,gold,true
wec-2012-r1-sebring-28,wec-2012-r1-sebring,maxime-jousse,2,silver,true
wec-2012-r1-sebring-28,wec-2012-r1-sebring,stefan-johansson,3,gold,true
wec-2012-r1-sebring-57,wec-2012-r1-sebring,tracy-krohn,1,silver,true
wec-2012-r1-sebring-57,wec-2012-r1-sebring,niclas-jonsson,2,gold,true
wec-2012-r1-sebring-57,wec-2012-r1-sebring,michele-rugolo,3,silver,true
wec-2012-r1-sebring-55,wec-2012-r1-sebring,joel-camathias,1,gold,true
wec-2012-r1-sebring-55,wec-2012-r1-sebring,markus-palttala,2,silver,true
wec-2012-r1-sebring-55,wec-2012-r1-sebring,bill-binnie,3,silver,true
wec-2012-r1-sebring-15,wec-2012-r1-sebring,guillaume-moreau,1,gold,true
wec-2012-r1-sebring-15,wec-2012-r1-sebring,bertrand-baguette,2,platinum,true
wec-2012-r1-sebring-15,wec-2012-r1-sebring,dominik-kraihamer,3,gold,true
wec-2012-r1-sebring-23,wec-2012-r1-sebring,franck-mailleux,1,gold,true
wec-2012-r1-sebring-23,wec-2012-r1-sebring,olivier-lombard,2,gold,true
wec-2012-r1-sebring-23,wec-2012-r1-sebring,jordan-tresson,3,silver,true
wec-2012-r1-sebring-59,wec-2012-r1-sebring,frederic-makowiecki,1,gold,true
wec-2012-r1-sebring-59,wec-2012-r1-sebring,jaime-melo,2,platinum,true
wec-2012-r1-sebring-59,wec-2012-r1-sebring,jean-karl-vernay,3,platinum,true
wec-2012-r1-sebring-58,wec-2012-r1-sebring,pierre-ehret,1,silver,true
wec-2012-r1-sebring-58,wec-2012-r1-sebring,dominik-farnbacher,2,gold,true
wec-2012-r1-sebring-58,wec-2012-r1-sebring,francois-jakubowski,3,silver,true
wec-2012-r1-sebring-51,wec-2012-r1-sebring,giancarlo-fisichella,1,platinum,true
wec-2012-r1-sebring-51,wec-2012-r1-sebring,gianmaria-bruni,2,platinum,true
wec-2012-r1-sebring-51,wec-2012-r1-sebring,toni-vilander,3,platinum,true
wec-2012-r2-spa-3,wec-2012-r2-spa,romain-dumas,1,platinum,true
wec-2012-r2-spa-3,wec-2012-r2-spa,loic-duval,2,platinum,true
wec-2012-r2-spa-3,wec-2012-r2-spa,marc-gene,3,platinum,true
wec-2012-r2-spa-1,wec-2012-r2-spa,marcel-fassler,1,platinum,true
wec-2012-r2-spa-1,wec-2012-r2-spa,andre-lotterer,2,platinum,true
wec-2012-r2-spa-1,wec-2012-r2-spa,benoit-treluyer,3,platinum,true
wec-2012-r2-spa-4,wec-2012-r2-spa,marco-bonanomi,1,platinum,true
wec-2012-r2-spa-4,wec-2012-r2-spa,oliver-jarvis,2,platinum,true
wec-2012-r2-spa-2,wec-2012-r2-spa,dindo-capello,1,platinum,true
wec-2012-r2-spa-2,wec-2012-r2-spa,tom-kristensen,2,platinum,true
wec-2012-r2-spa-2,wec-2012-r2-spa,allan-mcnish,3,platinum,true
wec-2012-r2-spa-12,wec-2012-r2-spa,nicolas-prost,1,platinum,true
wec-2012-r2-spa-12,wec-2012-r2-spa,neel-jani,2,platinum,true
wec-2012-r2-spa-12,wec-2012-r2-spa,nick-heidfeld,3,platinum,true
wec-2012-r2-spa-13,wec-2012-r2-spa,andrea-belicchi,1,platinum,true
wec-2012-r2-spa-13,wec-2012-r2-spa,harold-primat,2,gold,true
wec-2012-r2-spa-21,wec-2012-r2-spa,nick-leventis,1,silver,true
wec-2012-r2-spa-21,wec-2012-r2-spa,danny-watts,2,platinum,true
wec-2012-r2-spa-21,wec-2012-r2-spa,jonny-kane,3,platinum,true
wec-2012-r2-spa-38,wec-2012-r2-spa,simon-dolan,1,silver,true
wec-2012-r2-spa-38,wec-2012-r2-spa,sam-hancock,2,gold,true
