id,seasonId,year,round,date,endDate,name,circuitId,formatType,scheduledMinutes,scheduledDistanceKm,pointsScale,status,sourceUrl
wec-2012-r1-sebring,wec-2012,2012,1,2012-03-17,2012-03-17,1000 Miles of Sebring,sebring,distance,,1609,extended,completed,https://fiawec.alkamelsystems.com/?season=02_2012
wec-2012-r2-spa,wec-2012,2012,2,2012-05-05,2012-05-05,6 Hours of Spa-Francorchamps,spa-francorchamps,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=02_2012
wec-2012-r3-le-mans,wec-2012,2012,3,2012-06-16,2012-06-17,24 Hours of Le Mans,le-mans,duration,1440,,le-mans,completed,https://fiawec.alkamelsystems.com/?season=02_2012
wec-2012-r4-silverstone,wec-2012,2012,4,2012-08-26,2012-08-26,6 Hours of Silverstone,silverstone,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=02_2012
wec-2012-r5-sao-paulo,wec-2012,2012,5,2012-09-15,2012-09-15,6 Hours of Sao Paulo,interlagos,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=02_2012
wec-2012-r6-bahrain,wec-2012,2012,6,2012-09-29,2012-09-29,6 Hours of Bahrain,bahrain,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=02_2012
wec-2012-r7-fuji,wec-2012,2012,7,2012-10-14,2012-10-14,6 Hours of Fuji,fuji,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=02_2012
wec-2012-r8-shanghai,wec-2012,2012,8,2012-10-28,2012-10-28,6 Hours of Shanghai,shanghai,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=02_2012
wec-2013-r1-silverstone,wec-2013,2013,1,2013-04-14,2013-04-14,6 Hours of Silverstone,silverstone,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=03_2013
wec-2013-r2-spa,wec-2013,2013,2,2013-05-04,2013-05-04,6 Hours of Spa-Francorchamps,spa-francorchamps,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=03_2013
wec-2013-r3-le-mans,wec-2013,2013,3,2013-06-22,2013-06-23,24 Hours of Le Mans,le-mans,duration,1440,,le-mans,completed,https://fiawec.alkamelsystems.com/?season=03_2013
wec-2013-r4-sao-paulo,wec-2013,2013,4,2013-09-01,2013-09-01,6 Hours of Sao Paulo,interlagos,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=03_2013
wec-2013-r5-cota,wec-2013,2013,5,2013-09-22,2013-09-22,Lone Star Le Mans,circuit-of-the-americas,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=03_2013
wec-2013-r6-fuji,wec-2013,2013,6,2013-10-20,2013-10-20,6 Hours of Fuji,fuji,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=03_2013
wec-2013-r7-shanghai,wec-2013,2013,7,2013-11-09,2013-11-09,6 Hours of Shanghai,shanghai,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=03_2013
wec-2013-r8-bahrain,wec-2013,2013,8,2013-11-30,2013-11-30,6 Hours of Bahrain,bahrain,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=03_2013
wec-2014-r1-silverstone,wec-2014,2014,1,2014-04-20,2014-04-20,6 Hours of Silverstone,silverstone,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=04_2014
wec-2014-r2-spa,wec-2014,2014,2,2014-05-03,2014-05-03,6 Hours of Spa-Francorchamps,spa-francorchamps,duration,360,,standard,completed,https://fiawec.alkamelsystems.com/?season=04_2014
