id,name,countryId
audi,Audi,germany
hpd,HPD,united-states-of-america
morgan,Morgan,united-kingdom
pescarolo,Pescarolo,france
oreca,Oreca,france
zytek,Zytek,united-kingdom
lola,Lola,united-kingdom
ferrari,Ferrari,italy
porsche,Porsche,germany
chevrolet,Chevrolet,united-states-of-america
aston-martin,Aston Martin,united-kingdom
oak,Oak,france
dome,Dome,japan
norma,Norma,france
toyota,Toyota,japan
delta,Delta,united-kingdom
lotus,Lotus,united-kingdom
alpine,Alpine,france
viper,Viper,united-states-of-america
rebellion,Rebellion,switzerland
ligier,Ligier,france
nissan,Nissan,japan
clm,CLM,austria
gibson,Gibson,united-kingdom
strakka,Strakka,united-kingdom
br01,BR01,russia
srt,Srt,united-states-of-america
ford,Ford,united-states-of-america
enso,ENSO,austria
dallara,Dallara,italy
riley,Riley,united-states-of-america
br,BR,russia
bmw,BMW,germany
ginetta,Ginetta,united-kingdom
aurus,Aurus,russia
glickenhaus,Glickenhaus,united-states-of-america
peugeot,Peugeot,france
cadillac,Cadillac,united-states-of-america
vanwall,Vanwall,united-kingdom
lamborghini,Lamborghini,italy
corvette,Corvette,united-states-of-america
mclaren,McLaren,united-kingdom
lexus,Lexus,japan
isotta-fraschini,Isotta Fraschini,italy
mercedes-amg,Mercedes-AMG,germany
