sessionId,eventId,entryId,classId,overallPosition,classPosition,status,laps,time,timeMillis,gap,bestLap,bestLapMillis,points
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-2,wec-2012-lmp1,1,1,classified,325,12:00:15.243,43215243,,1:47.534,107534,38
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-3,wec-2012-lmp1,2,2,classified,321,12:00:42.168,43242168,4 Laps,1:47.438,107438,27
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-44,wec-2012-lmp2,3,1,classified,319,12:01:28.511,43288511,6 Laps,1:52.295,112295,38
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-24,wec-2012-lmp2,4,2,classified,318,12:01:02.039,43262039,7 Laps,1:51.306,111306,27
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-16,wec-2012-lmp1,5,3,classified,318,12:01:08.914,43268914,7 Laps,1:51.285,111285,23
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-49,wec-2012-lmp2,6,3,classified,317,12:01:23.639,43283639,8 Laps,1:52.616,112616,23
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-41,wec-2012-lmp2,7,4,classified,316,12:00:44.900,43244900,9 Laps,1:53.506,113506,18
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-21,wec-2012-lmp1,8,4,classified,316,12:01:42.494,43302494,9 Laps,1:50.348,110348,18
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-25,wec-2012-lmp2,9,5,classified,315,12:03:40.489,43420489,10 Laps,1:52.929,112929,15
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-31,wec-2012-lmp2,10,6,classified,310,11:59:56.852,43196852,15 Laps,1:54.474,114474,12
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-1,wec-2012-lmp1,11,5,classified,310,12:02:02.296,43322296,15 Laps,1:46.567,106567,15
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-22,wec-2012-lmp1,12,6,classified,309,12:03:13.341,43393341,16 Laps,1:49.482,109482,12
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-71,wec-2012-lmgte-pro,13,1,classified,307,12:01:26.088,43286088,18 Laps,2:00.504,120504,38
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-77,wec-2012-lmgte-pro,14,2,classified,306,12:01:22.371,43282371,19 Laps,2:01.225,121225,27
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-88,wec-2012-lmgte-am,15,1,classified,298,12:00:19.336,43219336,27 Laps,2:02.445,122445,38
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-70,wec-2012-lmgte-am,16,2,classified,297,12:00:41.989,43241989,28 Laps,2:02.892,122892,27
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-12,wec-2012-lmp1,17,7,classified,296,12:00:20.972,43220972,29 Laps,1:49.946,109946,9
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-97,wec-2012-lmgte-pro,18,3,classified,292,12:02:18.900,43338900,33 Laps,2:00.606,120606,23
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-13,wec-2012-lmp1,19,8,classified,291,12:01:29.678,43289678,34 Laps,1:49.477,109477,6
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012-r1-sebring-50,wec-2012-lmgte-am,20,3,classified,288,11:38:19.629,41899629,37 Laps,2:02.701,122701,23
