id,eventId,seasonId,name,type,classId,startTimeUtc,status
wec-2012-r1-sebring-race,wec-2012-r1-sebring,wec-2012,Race,race,,2012-03-17T14:30:00.000Z,completed
wec-2012-r1-sebring-free-practice-1,wec-2012-r1-sebring,wec-2012,Free Practice 1,practice,,2012-03-15T14:00:00.000Z,completed
wec-2012-r1-sebring-free-practice-2,wec-2012-r1-sebring,wec-2012,Free Practice 2,practice,,2012-03-15T18:50:00.000Z,completed
wec-2012-r1-sebring-free-practice-3,wec-2012-r1-sebring,wec-2012,Free Practice 3,practice,,2012-03-15T23:35:00.000Z,completed
wec-2012-r1-sebring-free-practice-4,wec-2012-r1-sebring,wec-2012,Free Practice 4,practice,,2012-03-16T13:55:00.000Z,completed
wec-2012-r1-sebring-qualifying-practice,wec-2012-r1-sebring,wec-2012,Qualifying Practice,qualifying,,2012-03-16T19:20:00.000Z,completed
wec-2012-r2-spa-race,wec-2012-r2-spa,wec-2012,Race,race,,2012-05-05T12:30:00.000Z,completed
wec-2012-r2-spa-free-practice-1,wec-2012-r2-spa,wec-2012,Free Practice 1,practice,,2012-05-03T09:45:00.000Z,completed
wec-2012-r2-spa-free-practice-2,wec-2012-r2-spa,wec-2012,Free Practice 2,practice,,2012-05-03T14:50:00.000Z,completed
wec-2012-r2-spa-free-practice-3,wec-2012-r2-spa,wec-2012,Free Practice 3,practice,,2012-05-04T08:00:00.000Z,completed
wec-2012-r2-spa-qualifying-practice,wec-2012-r2-spa,wec-2012,Qualifying Practice,qualifying,,2012-05-04T13:10:00.000Z,completed
wec-2012-r2-spa-warm-up,wec-2012-r2-spa,wec-2012,Warm Up,warm-up,,2012-05-05T08:05:00.000Z,completed
wec-2012-r3-le-mans-race,wec-2012-r3-le-mans,wec-2012,Race,race,,2012-06-16T13:00:00.000Z,completed
wec-2012-r3-le-mans-free-practice,wec-2012-r3-le-mans,wec-2012,Free Practice,practice,,2012-06-13T14:00:00.000Z,completed
wec-2012-r3-le-mans-qualifying-practice-session-1,wec-2012-r3-le-mans,wec-2012,Qualifying Practice Session 1,qualifying,,2012-06-13T20:00:00.000Z,completed
wec-2012-r3-le-mans-qualifying-practice-session-2,wec-2012-r3-le-mans,wec-2012,Qualifying Practice Session 2,qualifying,,2012-06-14T17:00:00.000Z,completed
wec-2012-r3-le-mans-qualifying-practice-session-3,wec-2012-r3-le-mans,wec-2012,Qualifying Practice Session 3,qualifying,,2012-06-14T20:00:00.000Z,completed
wec-2012-r3-le-mans-warm-up,wec-2012-r3-le-mans,wec-2012,Warm Up,warm-up,,2012-06-16T07:00:00.000Z,completed
wec-2012-r4-silverstone-race,wec-2012-r4-silverstone,wec-2012,Race,race,,2012-08-26T11:00:00.000Z,completed
wec-2012-r4-silverstone-free-practice-1,wec-2012-r4-silverstone,wec-2012,Free Practice 1,practice,,2012-08-24T10:30:00.000Z,completed
wec-2012-r4-silverstone-free-practice-2,wec-2012-r4-silverstone,wec-2012,Free Practice 2,practice,,2012-08-24T15:00:00.000Z,completed
wec-2012-r4-silverstone-free-practice-3,wec-2012-r4-silverstone,wec-2012,Free Practice 3,practice,,2012-08-25T10:00:00.000Z,completed
wec-2012-r4-silverstone-qualifying-practice,wec-2012-r4-silverstone,wec-2012,Qualifying Practice,qualifying,,2012-08-25T13:50:00.000Z,completed
wec-2012-r4-silverstone-warm-up,wec-2012-r4-silverstone,wec-2012,Warm Up,warm-up,,2012-08-26T07:55:00.000Z,completed
wec-2012-r5-sao-paulo-race,wec-2012-r5-sao-paulo,wec-2012,Race,race,,2012-09-15T15:00:00.000Z,completed
wec-2012-r5-sao-paulo-free-practice-1,wec-2012-r5-sao-paulo,wec-2012,Free Practice 1,practice,,2012-09-13T14:00:00.000Z,completed
wec-2012-r5-sao-paulo-free-practice-2,wec-2012-r5-sao-paulo,wec-2012,Free Practice 2,practice,,2012-09-13T18:30:00.000Z,completed
wec-2012-r5-sao-paulo-free-practice-3,wec-2012-r5-sao-paulo,wec-2012,Free Practice 3,practice,,2012-09-14T12:45:00.000Z,completed
wec-2012-r5-sao-paulo-qualifying-practice,wec-2012-r5-sao-paulo,wec-2012,Qualifying Practice,qualifying,,2012-09-14T17:00:00.000Z,completed
wec-2012-r5-sao-paulo-warm-up,wec-2012-r5-sao-paulo,wec-2012,Warm Up,warm-up,,2012-09-15T11:00:00.000Z,completed
wec-2012-r6-bahrain-race,wec-2012-r6-bahrain,wec-2012,Race,race,,2012-09-29T13:00:00.000Z,completed
wec-2012-r6-bahrain-free-practice-1,wec-2012-r6-bahrain,wec-2012,Free Practice 1,practice,,2012-09-27T13:00:00.000Z,completed
wec-2012-r6-bahrain-free-practice-2,wec-2012-r6-bahrain,wec-2012,Free Practice 2,practice,,2012-09-27T17:30:00.000Z,completed
wec-2012-r6-bahrain-free-practice-3,wec-2012-r6-bahrain,wec-2012,Free Practice 3,practice,,2012-09-28T07:50:00.000Z,completed
wec-2012-r6-bahrain-qualifying-practice,wec-2012-r6-bahrain,wec-2012,Qualifying Practice,qualifying,,2012-09-28T13:00:00.000Z,completed
wec-2012-r6-bahrain-warm-up,wec-2012-r6-bahrain,wec-2012,Warm Up,warm-up,,2012-09-29T09:25:00.000Z,completed
wec-2012-r7-fuji-race,wec-2012-r7-fuji,wec-2012,Race,race,,2012-10-14T02:00:00.000Z,completed
wec-2012-r7-fuji-free-practice-1,wec-2012-r7-fuji,wec-2012,Free Practice 1,practice,,2012-10-12T02:00:00.000Z,completed
wec-2012-r7-fuji-free-practice-2,wec-2012-r7-fuji,wec-2012,Free Practice 2,practice,,2012-10-12T06:30:00.000Z,completed
wec-2012-r7-fuji-free-practice-3,wec-2012-r7-fuji,wec-2012,Free Practice 3,practice,,2012-10-13T00:25:00.000Z,completed
