championshipId,round,position,entityId,points,championshipWon
wec-2012-lmp1-drivers,1,27,marcel-fassler,1.5,false
wec-2012-lmp1-drivers,1,27,benoit-treluyer,1.5,false
wec-2012-lmp1-drivers,1,27,andre-lotterer,1.5,false
wec-2012-lmp1-drivers,1,1,tom-kristensen,25,false
wec-2012-lmp1-drivers,1,1,allan-mcnish,25,false
wec-2012-lmp1-drivers,1,73,alexander-wurz,0,false
wec-2012-lmp1-drivers,1,73,nicolas-lapierre,0,false
wec-2012-lmp1-drivers,1,36,neel-jani,0.5,false
wec-2012-lmp1-drivers,1,36,nicolas-prost,0.5,false
wec-2012-lmp1-drivers,1,1,dindo-capello,25,false
wec-2012-lmp1-drivers,1,4,romain-dumas,18,false
wec-2012-lmp1-drivers,1,4,loic-duval,18,false
wec-2012-lmp1-drivers,1,21,jonny-kane,4,false
wec-2012-lmp1-drivers,1,21,danny-watts,4,false
wec-2012-lmp1-drivers,1,21,nick-leventis,4,false
wec-2012-lmp1-drivers,1,36,harold-primat,0.5,false
wec-2012-lmp1-drivers,1,36,andrea-belicchi,0.5,false
wec-2012-lmp1-drivers,1,7,vicente-potolicchio,15,false
wec-2012-lmp1-drivers,1,36,peter-dumbreck,0.5,false
wec-2012-lmp1-drivers,1,36,karun-chandhok,0.5,false
wec-2012-lmp1-drivers,1,36,david-brabham,0.5,false
wec-2012-lmp1-drivers,1,73,marc-gene,0,false
wec-2012-lmp1-drivers,1,7,ryan-dalziel,15,false
wec-2012-lmp1-drivers,1,73,kazuki-nakajima,0,false
wec-2012-lmp1-drivers,1,36,nick-heidfeld,0.5,false
wec-2012-lmp1-drivers,1,7,stephane-sarrazin,15,false
wec-2012-lmp1-drivers,1,15,pierre-kaffer,8,false
wec-2012-lmp1-drivers,1,15,luis-perez-companc,8,false
wec-2012-lmp1-drivers,1,24,tor-graves,2,false
wec-2012-lmp1-drivers,1,24,john-martin,2,false
wec-2012-lmp1-drivers,1,15,soheil-ayari,8,false
wec-2012-lmp1-drivers,1,73,thomas-kimber-smith,0,false
wec-2012-lmp1-drivers,1,10,olivier-pla,13,false
wec-2012-lmp1-drivers,1,10,jacques-nicolet,13,false
wec-2012-lmp1-drivers,1,4,timo-bernhard,18,false
wec-2012-lmp1-drivers,1,73,lucas-di-grassi,0,false
wec-2012-lmp1-drivers,1,73,nicolas-minassian,0,false
wec-2012-lmp1-drivers,1,73,cong-fu-cheng,0,false
wec-2012-lmp1-drivers,1,73,roman-rusinov,0,false
wec-2012-lmp1-drivers,1,73,pierre-ragues,0,false
wec-2012-lmp1-drivers,1,73,nelson-panciatici,0,false
wec-2012-lmp1-drivers,1,18,elton-julian,6,false
wec-2012-lmp1-drivers,1,18,christian-zugel,6,false
wec-2012-lmp1-drivers,1,18,ricardo-gonzalez,6,false
wec-2012-lmp1-drivers,1,12,julien-jousse,10,false
wec-2012-lmp1-drivers,1,12,emmanuel-collard,10,false
wec-2012-lmp1-drivers,1,12,jean-christophe-boullion,10,false
wec-2012-lmp1-drivers,1,24,robbie-kerr,2,false
wec-2012-lmp1-drivers,1,73,olivier-lombard,0,false
wec-2012-lmp1-drivers,1,73,jordan-tresson,0,false
wec-2012-lmp1-drivers,1,73,franck-mailleux,0,false
wec-2012-lmp1-drivers,1,73,jan-charouz,0,false
