id,name,countryId
audi-sport-team-joest,Audi Sport Team Joest,germany
starworks-motorsports,Starworks Motorsports,united-states-of-america
oak-racing,Oak Racing,france
pescarolo-team,Pescarolo Team,france
pecom-racing,Pecom Racing,argentina
greaves-motorsport,Greaves Motorsport,united-kingdom
strakka-racing,Strakka Racing,united-kingdom
adr-delta,ADR-Delta,united-kingdom
lotus,Lotus,czechia
jrm,JRM,united-kingdom
af-corse,AF Corse,italy
team-felbermayr-proton,Team Felbermayr-Proton,germany
larbre-competition,Larbre Competition,france
rebellion-racing,Rebellion Racing,switzerland
aston-martin-racing,Aston Martin Racing,united-kingdom
af-corse-waltrip,AF Corse-Waltrip,italy
gulf-racing-middle-east,Gulf Racing Middle East,united-arab-emirates
krohn-racing,Krohn Racing,united-states-of-america
jwa-avila,JWA-Avila,united-kingdom
signatech-nissan,Signatech Nissan,france
luxury-racing,Luxury Racing,france
audi-sport-north-america,Audi Sport North America,united-states-of-america
jota,JOTA,united-kingdom
murphy-prototypes,Murphy Prototypes,ireland
boutsen-ginion-racing,Boutsen Ginion Racing,belgium
imsa-performance-matmut,IMSA Performance Matmut,france
extreme-limite-aric,Extreme Limite Aric,france
race-performance,Race Performance,switzerland
status-gp,Status GP,canada
thiriet-by-tds-racing,Thiriet By Tds Racing,france
corvette-racing,Corvette Racing,united-states-of-america
flying-lizard-motorsports,Flying Lizard Motorsports,united-states-of-america
extreme-limit-aric,Extreme Limit Aric,france
jmb-racing,JMB  Racing,monaco
level-5-motorsport,Level 5 Motorsport,united-states-of-america
status-grand-prix,Status Grand Prix,canada
jmw-motorsport,JMW Motorsport,united-kingdom
prospeed-competition,Prospeed Competition,belgium
toyota-racing,Toyota Racing,japan
highcroft-racing,Highcroft Racing,united-states-of-america
delta-adr,Delta-ADR,united-kingdom
kcmg,KCMG,hong-kong
g-drive-racing,G-Drive Racing,russia
porsche-ag-team-manthey,Porsche AG Team Manthey,germany
8-star-motorsports,8 Star Motorsports,united-states-of-america
proton-competition,Proton Competition,germany
morand-racing,Morand Racing,switzerland
jota-sport,JOTA Sport,united-kingdom
signatech-alpine,Signatech Alpine,france
srt-motorsports,SRT Motorsports,united-states-of-america
dempsey-del-piero-proton,Dempsey Del Piero-Proton,germany
prospeed-racing,Prospeed Racing,belgium
dkr-engineering,DKR Engineering,luxembourg
level-5-motorsports,Level 5 Motorsports,united-states-of-america
hvm-status-gp,HVM Status GP,united-states-of-america
gainer-international,Gainer International,japan
porsche-team,Porsche Team,germany
porsche-team-manthey,Porsche Team Manthey,germany
ram-racing,RAM Racing,united-kingdom
smp-racing,SMP Racing,russia
sebastien-loeb-racing,Sebastien Loeb Racing,france
newblood-by-morand-racing,Newblood By Morand Racing,switzerland
oak-racing-team-asia,OAK Racing - Team Asia,france
pegasus-racing,Pegasus Racing,germany
dempsey-racing-proton,Dempsey Racing - Proton,germany
caterham-racing,Caterham Racing,united-kingdom
team-taisan,Team Taisan,japan
team-sofrev-asp,Team Sofrev ASP,france
nissan-motorsports-global,Nissan Motorsports Global,japan
extreme-speed-motorsports,Extreme Speed Motorsports,united-states-of-america
aston-martin-racing-v8,Aston Martin Racing V8,united-kingdom
abu-dhabi-proton-racing,Abu Dhabi-Proton Racing,united-arab-emirates
team-bykolles,Team Bykolles,austria
team-sard-morand,Team Sard Morand,switzerland
dempsey-proton-racing,Dempsey - Proton Racing,germany
ibanez-racing,Ibanez Racing,spain
corvette-racing-gm,Corvette Racing - GM,united-states-of-america
scuderia-corsa,Scuderia Corsa,united-states-of-america
team-aai,Team AAI,taiwan
nissan-motorsports,Nissan Motorsports,japan
riley-motorsports-ti-auto,Riley Motorsports-TI Auto,united-states-of-america
af-racing,AF Racing,russia
toyota-gazoo-racing,Toyota Gazoo Racing,japan
rgr-sport-by-morand,RGR Sport by Morand,mexico
manor,Manor,united-kingdom
baxi-dc-racing-alpine,Baxi DC Racing Alpine,china
bykolles-racing-team,Bykolles Racing Team,austria
ford-chip-ganassi-team-uk,Ford Chip Ganassi Team UK,united-states-of-america
gulf-racing,Gulf Racing,united-kingdom
eurasia-motorsport,Eurasia Motorsport,philippines
panis-barthez-competition,Panis Barthez Competition,france
michael-shank-racing,Michael Shank Racing,united-states-of-america
algarve-pro-racing,Algarve Pro Racing,puerto-rico
ford-chip-ganassi-team-usa,Ford Chip Ganassi Team USA,united-states-of-america
risi-competizione,Risi Competizione,united-states-of-america
clearwater-racing,Clearwater Racing,singapore
so24-by-lombard-racing,SO24 ! By Lombard Racing,france
formula-racing,Formula Racing,denmark
srt41-by-oak-racing,SRT41 By OAK Racing,france
porsche-motorsport,Porsche Motorsport,germany
porsche-lmp-team,Porsche LMP Team,germany
jackie-chan-dc-racing,Jackie Chan DC Racing,china
vaillante-rebellion,Vaillante Rebellion,switzerland
tds-racing,TDS Racing,france
signatech-alpine-matmut,Signatech Alpine Matmut,france
