id,name,abbreviation,countryCode,pictureUrl
abt-schaeffler-audi-sport,ABT SCHAEFFLER AUDI SPORT,,de,
andretti-formula-e-race-team,Andretti Formula E Race Team,,us,
andretti-formula-e-team,ANDRETTI FORMULA E TEAM,,us,
dragon-racing,Dragon Racing,,,
dragon-racing-formula-e-team,DRAGON RACING FORMULA E TEAM,,,
ds-virgin-racing-formula-e-team,DS VIRGIN RACING FORMULA E TEAM,,gb,
mahindra-racing-formula-e-team,MAHINDRA RACING FORMULA E TEAM,,,
nextev-tcr-formula-e-team,NEXTEV TCR FORMULA E TEAM,,cn,
renault-e-dams,RENAULT E.DAMS,,,
team-aguri,TEAM AGURI,,gb,
venturi-formula-e-team,VENTURI FORMULA E TEAM,,,
