id,name,firstName,lastName,abbreviation,countryCode,nationalityCode,pictureUrl
antonio-felix-da-costa,António Félix Da Costa,António Félix Da,Costa,DAC,pt,PRT,https://contentfulproxy.stadion.io/eag9z2l5md8w/7gklvYWlaRwFWsP4IULDFV/32613f175249cc58f041426c9965e608/fcc99980-3e5d-4a96-856a-8773641ceebe.png?q=75&fm=webp&fit=crop&f=face&w=300&h=300
bruno-senna,Bruno Senna,Bruno,Senna,,br,BRA,
daniel-abt,Daniel Abt,Daniel,Abt,ABT,de,DEU,
jacques-villeneuve,Jacques Villeneuve,Jacques,Villeneuve,,ca,CAN,
jean-eric-vergne,Jean-Éric Vergne,Jean-Éric,Vergne,JEV,fr,FRA,https://contentfulproxy.stadion.io/eag9z2l5md8w/35aPbFhprxoaKKsW4ljFD3/5f50539e8789ae542089047d87761a8e/3d5b4033-31b9-442b-a0b5-183d51ebde5e.png?q=75&fm=webp&fit=crop&f=face&w=300&h=300
jerome-d-ambrosio,Jérôme D'Ambrosio,Jérôme,D'Ambrosio,,be,BEL,
loic-duval,Loïc Duval,Loïc,Duval,,fr,FRA,
lucas-di-grassi,Lucas Di Grassi,Lucas Di,Grassi,DIG,br,BRA,https://contentfulproxy.stadion.io/eag9z2l5md8w/QP4XjmtDo1etn9KcAOHcI/812deabd9cae2b04cf5c5cfbe2f4b379/4a390151-89af-4931-9907-bcbaabb5a152.png?q=75&fm=webp&fit=crop&f=face&w=300&h=300
mike-conway,Mike Conway,Mike,Conway,,gb,GBR,
nathanael-berthon,Nathanaël Berthon,Nathanaël,Berthon,,fr,FRA,
nelson-piquet-jr,Nelson Piquet Jr.,Nelson Piquet,Jr.,PIQ,br,BRA,
nick-heidfeld,Nick Heidfeld,Nick,Heidfeld,,de,DEU,
nicolas-prost,Nicolas Prost,Nicolas,Prost,,fr,FRA,
oliver-rowland,Oliver Rowland,Oliver,Rowland,ROW,gb,GBR,https://contentfulproxy.stadion.io/eag9z2l5md8w/3WiDfcilpS0L8W2C8FfKE7/7f99141508e3da5d0f117044f0d38c7b/00098f8a-69be-4f84-a7ac-baedcc5f9e9c.png?q=75&fm=webp&fit=fill&f=faces&w=92&h=92
oliver-turvey,Oliver Turvey,Oliver,Turvey,TUR,gb,GBR,
ma-qinghua,Qing Hua MA,Qing Hua,MA,,cn,CHN,
rene-rast,René Rast,René,Rast,RAS,de,DEU,
robin-frijns,Robin Frijns,Robin,Frijns,FRI,nl,NED,
salvador-duran,Salvador Durán,Salvador,Durán,,mx,MEX,
sam-bird,Sam Bird,Sam,Bird,BIR,gb,GBR,https://contentfulproxy.stadion.io/eag9z2l5md8w/66TFJNsg2YGDqupS9y21i2/445d9ca0a1f8e8868afcaf473eb11fb4/BIR_Tight_3Q_left_arms_folded_v1.jpg?q=75&fm=webp&fit=crop&f=face&w=300&h=300
sebastien-buemi,Sébastien Buemi,Sébastien,Buemi,BUE,ch,CHE,https://contentfulproxy.stadion.io/eag9z2l5md8w/4fOhkCgKe3jFD6qoANE1aE/b33f9a6465da2c5f6ac54422efe33fbb/d001837f-806a-4ccf-adac-3f5dccee21ed.png?q=75&fm=webp&fit=crop&f=face&w=300&h=300
simona-de-silvestro,Simona de Silvestro,Simona de,Silvestro,,ch,CHE,
stephane-sarrazin,Stéphane Sarrazin,Stéphane,Sarrazin,,fr,FRA,
