raceId,seasonKey,year,round,driverNumber,driverId,constructorId
fe-2015-16-r1-beijing,2015-16,2016,1,9,sebastien-buemi,renault-e-dams
fe-2015-16-r1-beijing,2015-16,2016,1,11,lucas-di-grassi,abt-schaeffler-audi-sport
fe-2015-16-r1-beijing,2015-16,2016,1,88,oliver-turvey,nextev-tcr-formula-e-team
fe-2015-16-r1-beijing,2015-16,2016,1,2,sam-bird,ds-virgin-racing-formula-e-team
fe-2015-16-r1-beijing,2015-16,2016,1,27,robin-frijns,andretti-formula-e-team
fe-2015-16-r1-beijing,2015-16,2016,1,66,daniel-abt,abt-schaeffler-audi-sport
fe-2015-16-r1-beijing,2015-16,2016,1,25,jean-eric-vergne,ds-virgin-racing-formula-e-team
fe-2015-16-r1-beijing,2015-16,2016,1,1,nelson-piquet-jr,nextev-tcr-formula-e-team
fe-2015-16-r1-beijing,2015-16,2016,1,55,antonio-felix-da-costa,team-aguri
fe-2015-16-r2-putrajaya,2015-16,2016,2,11,lucas-di-grassi,abt-schaeffler-audi-sport
fe-2015-16-r2-putrajaya,2015-16,2016,2,2,sam-bird,ds-virgin-racing-formula-e-team
fe-2015-16-r2-putrajaya,2015-16,2016,2,27,robin-frijns,andretti-formula-e-team
fe-2015-16-r2-putrajaya,2015-16,2016,2,55,antonio-felix-da-costa,team-aguri
fe-2015-16-r2-putrajaya,2015-16,2016,2,66,daniel-abt,abt-schaeffler-audi-sport
fe-2015-16-r2-putrajaya,2015-16,2016,2,1,nelson-piquet-jr,nextev-tcr-formula-e-team
fe-2015-16-r2-putrajaya,2015-16,2016,2,9,sebastien-buemi,renault-e-dams
fe-2015-16-r2-putrajaya,2015-16,2016,2,25,jean-eric-vergne,ds-virgin-racing-formula-e-team
fe-2015-16-r2-putrajaya,2015-16,2016,2,88,oliver-turvey,nextev-tcr-formula-e-team
fe-2015-16-r3-punta-del-este,2015-16,2016,3,9,sebastien-buemi,renault-e-dams
fe-2015-16-r3-punta-del-este,2015-16,2016,3,11,lucas-di-grassi,abt-schaeffler-audi-sport
fe-2015-16-r3-punta-del-este,2015-16,2016,3,55,antonio-felix-da-costa,team-aguri
fe-2015-16-r3-punta-del-este,2015-16,2016,3,25,jean-eric-vergne,ds-virgin-racing-formula-e-team
fe-2015-16-r3-punta-del-este,2015-16,2016,3,66,daniel-abt,abt-schaeffler-audi-sport
fe-2015-16-r3-punta-del-este,2015-16,2016,3,27,robin-frijns,andretti-formula-e-team
fe-2015-16-r3-punta-del-este,2015-16,2016,3,88,oliver-turvey,nextev-tcr-formula-e-team
fe-2015-16-r3-punta-del-este,2015-16,2016,3,23,oliver-rowland,mahindra-racing-formula-e-team
fe-2015-16-r3-punta-del-este,2015-16,2016,3,1,nelson-piquet-jr,nextev-tcr-formula-e-team
fe-2015-16-r3-punta-del-este,2015-16,2016,3,2,sam-bird,ds-virgin-racing-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,2,sam-bird,ds-virgin-racing-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,9,sebastien-buemi,renault-e-dams
fe-2015-16-r4-buenos-aires,2015-16,2016,4,11,lucas-di-grassi,abt-schaeffler-audi-sport
fe-2015-16-r4-buenos-aires,2015-16,2016,4,27,robin-frijns,andretti-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,88,oliver-turvey,nextev-tcr-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,25,jean-eric-vergne,ds-virgin-racing-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,1,nelson-piquet-jr,nextev-tcr-formula-e-team
fe-2015-16-r4-buenos-aires,2015-16,2016,4,66,daniel-abt,abt-schaeffler-audi-sport
fe-2015-16-r4-buenos-aires,2015-16,2016,4,55,antonio-felix-da-costa,team-aguri
fe-2015-16-r5-mexico-city,2015-16,2016,5,9,sebastien-buemi,renault-e-dams
fe-2015-16-r5-mexico-city,2015-16,2016,5,27,robin-frijns,andretti-formula-e-team
fe-2015-16-r5-mexico-city,2015-16,2016,5,2,sam-bird,ds-virgin-racing-formula-e-team
fe-2015-16-r5-mexico-city,2015-16,2016,5,66,daniel-abt,abt-schaeffler-audi-sport
fe-2015-16-r5-mexico-city,2015-16,2016,5,88,oliver-turvey,nextev-tcr-formula-e-team
fe-2015-16-r5-mexico-city,2015-16,2016,5,1,nelson-piquet-jr,nextev-tcr-formula-e-team
fe-2015-16-r5-mexico-city,2015-16,2016,5,25,jean-eric-vergne,ds-virgin-racing-formula-e-team
