seasonKey,year,positionNumber,driverId,constructorId,points,championshipWon,starts,wins,podiums,poles,fastestLaps,retirements
2015-16,2016,1,sebastien-buemi,renault-e-dams,155,True,10,3,6,4,5,1
2015-16,2016,2,lucas-di-grassi,abt-schaeffler-audi-sport,153,False,10,3,7,0,0,2
2015-16,2016,3,nicolas-prost,renault-e-dams,115,False,10,2,3,0,1,1
2015-16,2016,4,sam-bird,ds-virgin-racing-formula-e-team,88,False,10,1,2,2,0,2
2015-16,2016,5,jerome-d-ambrosio,dragon-racing,83,False,10,1,3,2,1,0
2015-16,2016,6,stephane-sarrazin,venturi-formula-e-team,70,False,10,0,1,0,0,0
2015-16,2016,7,daniel-abt,abt-schaeffler-audi-sport,68,False,10,0,3,0,0,1
2015-16,2016,8,loic-duval,dragon-racing,60,False,10,0,0,0,0,3
2015-16,2016,9,jean-eric-vergne,ds-virgin-racing-formula-e-team,56,False,10,0,2,1,0,1
2015-16,2016,10,nick-heidfeld,mahindra-racing-formula-e-team,53,False,9,0,1,0,1,0
2015-16,2016,11,bruno-senna,mahindra-racing-formula-e-team,52,False,10,0,1,0,1,1
2015-16,2016,12,robin-frijns,andretti-formula-e-team,45,False,10,0,1,0,0,2
2015-16,2016,13,antonio-felix-da-costa,team-aguri,28,False,9,0,0,1,0,4
2015-16,2016,14,oliver-turvey,nextev-tcr-formula-e-team,11,False,10,0,0,0,0,1
2015-16,2016,15,nelson-piquet-jr,nextev-tcr-formula-e-team,8,False,10,0,0,0,1,2
2015-16,2016,16,mike-conway,venturi-formula-e-team,7,False,7,0,0,0,0,0
2015-16,2016,17,nathanael-berthon,team-aguri,4,False,3,0,0,0,0,0
2015-16,2016,18,simona-de-silvestro,andretti-formula-e-race-team,4,False,10,0,0,0,0,2
2015-16,2016,19,ma-qinghua,team-aguri,0,False,0,0,0,0,0,0
2015-16,2016,20,jacques-villeneuve,venturi-formula-e-team,0,False,2,0,0,0,0,0
2015-16,2016,21,oliver-rowland,mahindra-racing-formula-e-team,0,False,1,0,0,0,0,0
2015-16,2016,22,salvador-duran,team-aguri,0,False,3,0,0,0,0,1
2015-16,2016,23,rene-rast,team-aguri,0,False,1,0,0,0,0,1
