sessionId,raceId,seasonKey,year,round,positionDisplayOrder,positionNumber,points,polePosition,status,driverNumber,driverId,constructorId,laps,time,timeMillis,gapMillis,gapLaps,fastestLap,fastestLapNumber,fastestLapTime,fastestLapTimeMillis,averageSpeed
fe-2015-16-r1-beijing-race,fe-2015-16-r1-beijing,2015-16,2016,1,1,1,30,False,,9,sebastien-buemi,renault-e-dams,26,50:08.835,3008835,,,True,24,1:39.993,99993,123.8
fe-2015-16-r1-beijing-race,fe-2015-16-r1-beijing,2015-16,2016,1,2,2,18,False,,11,lucas-di-grassi,abt-schaeffler-audi-sport,26,+11.006,,11006,,False,21,1:41.721,101721,121.7
fe-2015-16-r1-beijing-race,fe-2015-16-r1-beijing,2015-16,2016,1,6,6,8,False,,88,oliver-turvey,nextev-tcr-formula-e-team,26,+39.466,,39466,,False,19,1:42.427,102427,120.9
fe-2015-16-r1-beijing-race,fe-2015-16-r1-beijing,2015-16,2016,1,7,7,6,False,,2,sam-bird,ds-virgin-racing-formula-e-team,26,+47.531,,47531,,False,25,1:41.201,101201,122.3
fe-2015-16-r1-beijing-race,fe-2015-16-r1-beijing,2015-16,2016,1,10,10,1,False,,27,robin-frijns,andretti-formula-e-team,26,+1:09.260,,69260,,False,22,1:42.242,102242,121.1
fe-2015-16-r1-beijing-race,fe-2015-16-r1-beijing,2015-16,2016,1,11,11,0,False,,66,daniel-abt,abt-schaeffler-audi-sport,26,+1:13.351,,73351,,False,24,1:42.539,102539,120.7
fe-2015-16-r1-beijing-race,fe-2015-16-r1-beijing,2015-16,2016,1,12,12,0,False,,25,jean-eric-vergne,ds-virgin-racing-formula-e-team,26,+1:31.040,,91040,,False,22,1:42.844,102844,120.4
fe-2015-16-r1-beijing-race,fe-2015-16-r1-beijing,2015-16,2016,1,15,15,0,False,,1,nelson-piquet-jr,nextev-tcr-formula-e-team,24,2 Laps,,,2,False,20,1:41.500,101500,122
fe-2015-16-r1-beijing-race,fe-2015-16-r1-beijing,2015-16,2016,1,16,,0,False,NC,55,antonio-felix-da-costa,team-aguri,13,26:52.142,1612142,,,False,9,1:42.672,102672,120.6
fe-2015-16-r1-beijing-qualifying,fe-2015-16-r1-beijing,2015-16,2016,1,1,1,0,True,,9,sebastien-buemi,renault-e-dams,,1:37.488,97488,,,False,,,,
fe-2015-16-r1-beijing-qualifying,fe-2015-16-r1-beijing,2015-16,2016,1,2,2,0,False,,25,jean-eric-vergne,ds-virgin-racing-formula-e-team,,1:38.028,98028,,,False,,,,
fe-2015-16-r1-beijing-qualifying,fe-2015-16-r1-beijing,2015-16,2016,1,5,5,0,False,,11,lucas-di-grassi,abt-schaeffler-audi-sport,,1:38.519,98519,,,False,,,,
fe-2015-16-r1-beijing-qualifying,fe-2015-16-r1-beijing,2015-16,2016,1,9,9,0,False,,2,sam-bird,ds-virgin-racing-formula-e-team,,1:38.884,98884,,,False,,,,
fe-2015-16-r1-beijing-qualifying,fe-2015-16-r1-beijing,2015-16,2016,1,11,11,0,False,,66,daniel-abt,abt-schaeffler-audi-sport,,1:39.220,99220,,,False,,,,
fe-2015-16-r1-beijing-qualifying,fe-2015-16-r1-beijing,2015-16,2016,1,13,13,0,False,,27,robin-frijns,andretti-formula-e-team,,1:39.672,99672,,,False,,,,
fe-2015-16-r1-beijing-qualifying,fe-2015-16-r1-beijing,2015-16,2016,1,15,15,0,False,,88,oliver-turvey,nextev-tcr-formula-e-team,,1:39.734,99734,,,False,,,,
fe-2015-16-r1-beijing-qualifying,fe-2015-16-r1-beijing,2015-16,2016,1,16,16,0,False,,55,antonio-felix-da-costa,team-aguri,,1:40.295,100295,,,False,,,,
