id,raceId,seasonKey,year,round,sessionNumber,code,name,startTimeUtc,endTimeUtc,isRace,cancelled,sourceUrl
fe-2015-16-r1-beijing-free-practice-2,fe-2015-16-r1-beijing,2015-16,2016,1,1,free-practice-2,FP2,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=1-beijing&session=free-practice-2
fe-2015-16-r1-beijing-free-practice-1,fe-2015-16-r1-beijing,2015-16,2016,1,2,free-practice-1,FP1,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=1-beijing&session=free-practice-1
fe-2015-16-r1-beijing-qualifying,fe-2015-16-r1-beijing,2015-16,2016,1,3,qualifying,Qualifying,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=1-beijing&session=qualifying
fe-2015-16-r1-beijing-starting-grid,fe-2015-16-r1-beijing,2015-16,2016,1,4,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=1-beijing&session=race
fe-2015-16-r1-beijing-race,fe-2015-16-r1-beijing,2015-16,2016,1,5,race,Race,,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=1-beijing&session=race
fe-2015-16-r2-putrajaya-free-practice,fe-2015-16-r2-putrajaya,2015-16,2016,2,1,free-practice,FP,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=2-putrajaya&session=free-practice
fe-2015-16-r2-putrajaya-qualifying,fe-2015-16-r2-putrajaya,2015-16,2016,2,2,qualifying,Qualifying,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=2-putrajaya&session=qualifying
fe-2015-16-r2-putrajaya-starting-grid,fe-2015-16-r2-putrajaya,2015-16,2016,2,3,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=2-putrajaya&session=race
fe-2015-16-r2-putrajaya-race,fe-2015-16-r2-putrajaya,2015-16,2016,2,4,race,Race,,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=2-putrajaya&session=race
fe-2015-16-r3-punta-del-este-free-practice-2,fe-2015-16-r3-punta-del-este,2015-16,2016,3,1,free-practice-2,FP2,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=3-punta-del-este&session=free-practice-2
fe-2015-16-r3-punta-del-este-free-practice-1,fe-2015-16-r3-punta-del-este,2015-16,2016,3,2,free-practice-1,FP1,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=3-punta-del-este&session=free-practice-1
fe-2015-16-r3-punta-del-este-qualifying,fe-2015-16-r3-punta-del-este,2015-16,2016,3,3,qualifying,Qualifying,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=3-punta-del-este&session=qualifying
fe-2015-16-r3-punta-del-este-starting-grid,fe-2015-16-r3-punta-del-este,2015-16,2016,3,4,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=3-punta-del-este&session=race
fe-2015-16-r3-punta-del-este-race,fe-2015-16-r3-punta-del-este,2015-16,2016,3,5,race,Race,,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=3-punta-del-este&session=race
fe-2015-16-r4-buenos-aires-free-practice-2,fe-2015-16-r4-buenos-aires,2015-16,2016,4,1,free-practice-2,FP2,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=4-buenos-aires&session=free-practice-2
fe-2015-16-r4-buenos-aires-free-practice-1,fe-2015-16-r4-buenos-aires,2015-16,2016,4,2,free-practice-1,FP1,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=4-buenos-aires&session=free-practice-1
fe-2015-16-r4-buenos-aires-qualifying,fe-2015-16-r4-buenos-aires,2015-16,2016,4,3,qualifying,Qualifying,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=4-buenos-aires&session=qualifying
fe-2015-16-r4-buenos-aires-starting-grid,fe-2015-16-r4-buenos-aires,2015-16,2016,4,4,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=4-buenos-aires&session=race
fe-2015-16-r4-buenos-aires-race,fe-2015-16-r4-buenos-aires,2015-16,2016,4,5,race,Race,,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=4-buenos-aires&session=race
fe-2015-16-r5-mexico-city-free-practice-2,fe-2015-16-r5-mexico-city,2015-16,2016,5,1,free-practice-2,FP2,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=5-mexico-city&session=free-practice-2
fe-2015-16-r5-mexico-city-free-practice-1,fe-2015-16-r5-mexico-city,2015-16,2016,5,2,free-practice-1,FP1,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=5-mexico-city&session=free-practice-1
fe-2015-16-r5-mexico-city-qualifying,fe-2015-16-r5-mexico-city,2015-16,2016,5,3,qualifying,Qualifying,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=5-mexico-city&session=qualifying
fe-2015-16-r5-mexico-city-starting-grid,fe-2015-16-r5-mexico-city,2015-16,2016,5,4,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=5-mexico-city&session=race
fe-2015-16-r5-mexico-city-race,fe-2015-16-r5-mexico-city,2015-16,2016,5,5,race,Race,,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=5-mexico-city&session=race
fe-2015-16-r6-long-beach-free-practice-2,fe-2015-16-r6-long-beach,2015-16,2016,6,1,free-practice-2,FP2,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=6-long-beach&session=free-practice-2
fe-2015-16-r6-long-beach-free-practice-1,fe-2015-16-r6-long-beach,2015-16,2016,6,2,free-practice-1,FP1,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=6-long-beach&session=free-practice-1
fe-2015-16-r6-long-beach-qualifying,fe-2015-16-r6-long-beach,2015-16,2016,6,3,qualifying,Qualifying,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=6-long-beach&session=qualifying
fe-2015-16-r6-long-beach-starting-grid,fe-2015-16-r6-long-beach,2015-16,2016,6,4,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=6-long-beach&session=race
fe-2015-16-r6-long-beach-race,fe-2015-16-r6-long-beach,2015-16,2016,6,5,race,Race,,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=6-long-beach&session=race
fe-2015-16-r7-paris-free-practice-2,fe-2015-16-r7-paris,2015-16,2016,7,1,free-practice-2,FP2,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=7-paris&session=free-practice-2
fe-2015-16-r7-paris-free-practice-1,fe-2015-16-r7-paris,2015-16,2016,7,2,free-practice-1,FP1,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=7-paris&session=free-practice-1
fe-2015-16-r7-paris-qualifying,fe-2015-16-r7-paris,2015-16,2016,7,3,qualifying,Qualifying,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=7-paris&session=qualifying
fe-2015-16-r7-paris-starting-grid,fe-2015-16-r7-paris,2015-16,2016,7,4,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=7-paris&session=race
fe-2015-16-r7-paris-race,fe-2015-16-r7-paris,2015-16,2016,7,5,race,Race,,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=7-paris&session=race
fe-2015-16-r8-berlin-free-practice-2,fe-2015-16-r8-berlin,2015-16,2016,8,1,free-practice-2,FP2,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=8-berlin&session=free-practice-2
fe-2015-16-r8-berlin-free-practice-1,fe-2015-16-r8-berlin,2015-16,2016,8,2,free-practice-1,FP1,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=8-berlin&session=free-practice-1
fe-2015-16-r8-berlin-qualifying,fe-2015-16-r8-berlin,2015-16,2016,8,3,qualifying,Qualifying,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=8-berlin&session=qualifying
fe-2015-16-r8-berlin-starting-grid,fe-2015-16-r8-berlin,2015-16,2016,8,4,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=8-berlin&session=race
fe-2015-16-r8-berlin-race,fe-2015-16-r8-berlin,2015-16,2016,8,5,race,Race,,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=8-berlin&session=race
fe-2015-16-r9-london-free-practice-2,fe-2015-16-r9-london,2015-16,2016,9,1,free-practice-2,FP2,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=9-london&session=free-practice-2
fe-2015-16-r9-london-free-practice-1,fe-2015-16-r9-london,2015-16,2016,9,2,free-practice-1,FP1,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=9-london&session=free-practice-1
fe-2015-16-r9-london-qualifying,fe-2015-16-r9-london,2015-16,2016,9,3,qualifying,Qualifying,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=9-london&session=qualifying
fe-2015-16-r9-london-starting-grid,fe-2015-16-r9-london,2015-16,2016,9,4,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=9-london&session=race
fe-2015-16-r9-london-race,fe-2015-16-r9-london,2015-16,2016,9,5,race,Race,,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=9-london&session=race
fe-2015-16-r10-london-free-practice-1,fe-2015-16-r10-london,2015-16,2016,10,1,free-practice-1,FP1,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=10-london&session=free-practice-1
fe-2015-16-r10-london-qualifying,fe-2015-16-r10-london,2015-16,2016,10,2,qualifying,Qualifying,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=10-london&session=qualifying
fe-2015-16-r10-london-starting-grid,fe-2015-16-r10-london,2015-16,2016,10,3,grid,Starting Grid,,,False,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=10-london&session=race
fe-2015-16-r10-london-race,fe-2015-16-r10-london,2015-16,2016,10,4,race,Race,,,True,False,https://www.fiaformulae.com/en/results-and-standings?season=2&round=10-london&session=race
